 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
Ano Diagnóstico: 2022
UF Residência: Maranhão
Região Res.: Região Nordeste
UF Notificação: Maranhão
Região Not.: Região Nordeste
Período:2022
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"Total"
"210005 Açailândia";1;0;1;3;0;0;0;0;0;5
"210015 Água Doce do Maranhão";0;0;0;0;0;0;1;0;0;1
"210043 Alto Alegre do Maranhão";1;0;0;0;0;0;0;0;0;1
"210047 Alto Alegre do Pindaré";0;0;0;0;0;1;0;0;0;1
"210060 Amarante do Maranhão";0;0;1;0;0;0;0;0;0;1
"210070 Anajatuba";0;0;0;0;0;0;1;0;0;1
"210083 Apicum-Açu";0;0;0;1;0;0;1;0;0;2
"210087 Araguanã";1;0;0;0;0;0;0;0;0;1
"210095 Arame";0;0;0;0;0;0;0;0;1;1
"210110 Axixá";1;0;0;0;0;0;0;0;0;1
"210120 Bacabal";3;9;7;11;4;4;14;0;2;54
"210125 Bacabeira";0;1;0;0;0;1;0;0;0;2
"210130 Bacuri";0;1;0;0;0;0;0;0;0;1
"210140 Balsas";1;0;0;0;1;0;0;0;0;2
"210160 Barra do Corda";0;2;0;0;0;2;1;0;0;5
"210170 Barreirinhas";0;0;0;1;1;2;0;0;0;4
"210190 Bequimão";1;1;1;0;0;0;0;0;0;3
"210220 Buriti";0;0;0;0;0;0;2;0;0;2
"210230 Buriti Bravo";0;0;0;0;0;0;1;0;0;1
"210232 Buriticupu";0;0;0;0;0;1;0;0;0;1
"210235 Buritirana";0;0;1;1;0;0;0;0;0;2
"210250 Cajari";0;1;0;0;0;0;0;0;0;1
"210255 Campestre do Maranhão";0;0;0;1;0;0;0;0;0;1
"210270 Cantanhede";0;0;0;1;1;0;0;0;0;2
"210280 Carolina";0;1;0;0;0;0;0;0;0;1
"210300 Caxias";2;6;4;7;2;2;9;0;2;34
"210317 Centro Novo do Maranhão";0;0;0;0;0;1;0;0;0;1
"210320 Chapadinha";1;0;2;0;0;0;0;0;0;3
"210330 Codó";6;1;3;4;1;3;6;0;0;24
"210340 Coelho Neto";2;1;0;1;1;0;0;0;0;5
"210350 Colinas";1;0;0;1;0;1;1;0;0;4
"210360 Coroatá";2;5;0;3;1;0;0;0;0;11
"210370 Cururupu";1;2;1;1;1;0;1;0;0;7
"210380 Dom Pedro";0;0;0;0;0;0;0;0;1;1
"210390 Duque Bacelar";0;0;0;1;0;0;0;0;0;1
"210400 Esperantinópolis";1;0;0;1;0;0;0;0;0;2
"210405 Estreito";0;0;1;0;0;0;1;0;0;2
"210410 Fortaleza dos Nogueiras";0;1;0;1;0;0;0;0;0;2
"210455 Governador Edison Lobão";0;1;0;0;0;0;1;0;0;2
"210460 Governador Eugênio Barros";0;0;0;2;0;0;0;0;0;2
"210467 Governador Nunes Freire";0;0;0;1;0;0;0;0;0;1
