 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
Ano Diagnóstico: 2023
UF Residência: Maranhão
Região Res.: Região Nordeste
UF Notificação: Maranhão
Região Not.: Região Nordeste
Período:2023
"Município (Res)";"Masculino";"Feminino";"Total"
"210005 Açailândia";7;4;11
"210020 Alcântara";0;1;1
"210030 Aldeias Altas";0;1;1
"210043 Alto Alegre do Maranhão";1;2;3
"210060 Amarante do Maranhão";0;2;2
"210070 Anajatuba";1;0;1
"210080 Anapurus";0;2;2
"210083 Apicum-Açu";1;1;2
"210087 Araguanã";0;1;1
"210090 Araioses";1;1;2
"210100 Arari";1;0;1
"210110 Axixá";1;0;1
"210120 Bacabal";42;29;71
"210130 Bacuri";1;0;1
"210140 Balsas";22;4;26
"210160 Barra do Corda";7;6;13
"210170 Barreirinhas";1;1;2
"210177 Bela Vista do Maranhão";2;0;2
"210180 Benedito Leite";0;1;1
"210190 Bequimão";0;1;1
"210193 Bernardo do Mearim";1;0;1
"210197 Boa Vista do Gurupi";1;0;1
"210200 Bom Jardim";1;0;1
"210203 Bom Jesus das Selvas";1;0;1
"210210 Brejo";1;2;3
"210220 Buriti";1;1;2
"210230 Buriti Bravo";2;0;2
"210232 Buriticupu";0;1;1
"210255 Campestre do Maranhão";1;0;1
"210260 Cândido Mendes";1;1;2
"210270 Cantanhede";1;1;2
"210280 Carolina";0;1;1
"210290 Carutapera";3;1;4
"210300 Caxias";26;12;38
"210320 Chapadinha";0;1;1
"210325 Cidelândia";1;0;1
"210330 Codó";20;10;30
"210340 Coelho Neto";4;3;7
"210350 Colinas";1;1;2
"210355 Conceição do Lago-Açu";1;0;1
"210360 Coroatá";32;6;38
"210370 Cururupu";5;0;5
"210375 Davinópolis";1;0;1
"210405 Estreito";0;3;3
"210410 Fortaleza dos Nogueiras";2;0;2
"210430 Godofredo Viana";1;1;2
"210450 Governador Archer";0;1;1
"210460 Governador Eugênio Barros";1;0;1
"210465 Governador Newton Bello";0;1;1
"210467 Governador Nunes Freire";1;1;2
"210480 Grajaú";5;3;8
"210520 Igarapé Grande";1;0;1
"210530 Imperatriz";151;54;205
"210540 Itapecuru Mirim";6;5;11
"210542 Itinga do Maranhão";3;1;4
"210550 João Lisboa";3;0;3
"210560 Joselândia";1;1;2
"210570 Lago da Pedra";1;0;1
"210596 Lagoa Grande do Maranhão";1;0;1
"210600 Lima Campos";2;0;2
"210620 Luís Domingues";1;1;2
"210632 Maracaçumé";2;1;3
"210635 Marajá do Sena";1;0;1
"210637 Maranhãozinho";2;0;2
"210640 Mata Roma";1;0;1
"210660 Matões";1;1;2
"210675 Miranda do Norte";1;1;2
"210680 Mirinzal";1;0;1
"210690 Monção";1;0;1
"210725 Nova Colinas";0;1;1
"210735 Nova Olinda do Maranhão";1;1;2
"210740 Olho d'Água das Cunhãs";1;0;1
"210745 Olinda Nova do Maranhão";1;1;2
"210750 Paço do Lumiar";5;0;5
"210770 Paraibano";0;1;1
"210780 Parnarama";2;0;2
"210790 Passagem Franca";2;2;4
"210800 Pastos Bons";1;0;1
"210805 Paulino Neves";1;0;1
"210810 Paulo Ramos";1;1;2
"210820 Pedreiras";4;4;8
"210825 Pedro do Rosário";2;0;2
"210830 Penalva";2;0;2
"210845 Peritoró";0;1;1
"210850 Pindaré-Mirim";0;2;2
"210860 Pinheiro";15;15;30
"210870 Pio XII";0;1;1
"210890 Poção de Pedras";0;1;1
"210910 Presidente Dutra";1;2;3
"210923 Presidente Médici";0;1;1
"210927 Presidente Sarney";0;1;1
"210930 Presidente Vargas";0;1;1
"210940 Primeira Cruz";1;0;1
"210945 Raposa";4;2;6
"210950 Riachão";1;0;1
"210960 Rosário";2;0;2
"210975 Santa Filomena do Maranhão";1;0;1
"210980 Santa Helena";2;1;3
"210990 Santa Inês";27;12;39
"211000 Santa Luzia";1;1;2
"211003 Santa Luzia do Paruá";1;2;3
"211010 Santa Quitéria do Maranhão";1;0;1
"211020 Santa Rita";2;1;3
"211030 Santo Antônio dos Lopes";1;0;1
"211040 São Benedito do Rio Preto";1;1;2
"211050 São Bento";1;1;2
"211060 São Bernardo";2;0;2
"211070 São Domingos do Maranhão";3;0;3
"211090 São Francisco do Maranhão";1;0;1
"211100 São João Batista";2;0;2
"211102 São João do Carú";0;1;1
"211105 São João do Paraíso";1;0;1
"211107 São João do Soter";1;1;2
"211120 São José de Ribamar";28;11;39
"211130 São Luís";404;146;550
"211160 São Raimundo das Mangabeiras";1;0;1
"211172 Satubinha";0;1;1
"211174 Senador Alexandre Costa";1;0;1
"211178 Serrano do Maranhão";3;1;4
"211200 Tasso Fragoso";1;0;1
"211210 Timbiras";3;2;5
"211220 Timon";32;12;44
"211223 Trizidela do Vale";1;0;1
"211230 Tuntum";2;0;2
"211240 Turiaçu";2;0;2
"211245 Turilândia";2;2;4
"211250 Tutóia";2;0;2
"211260 Urbano Santos";2;0;2
"211270 Vargem Grande";1;0;1
"211280 Viana";2;0;2
"211290 Vitória do Mearim";1;0;1
"211300 Vitorino Freire";1;2;3
"211400 Zé Doca";1;0;1
"Total";968;409;1377
