 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
Ano Diagnóstico: 2024
UF Residência: Maranhão
Região Res.: Região Nordeste
UF Notificação: Maranhão
Região Not.: Região Nordeste
Período:2024
"Município (Res)";"< 1 ano";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"210005 Açailândia";0;0;0;0;0;2;2;2;1;0;0;0;7
"210010 Afonso Cunha";0;0;0;0;0;0;0;0;1;0;0;0;1
"210030 Aldeias Altas";0;0;0;0;0;0;1;1;1;0;0;0;3
"210043 Alto Alegre do Maranhão";0;0;0;0;1;2;2;1;1;1;0;0;8
"210047 Alto Alegre do Pindaré";0;0;0;0;0;0;0;1;0;0;1;0;2
"210050 Alto Parnaíba";0;0;0;0;0;0;1;0;0;0;0;0;1
"210070 Anajatuba";0;0;0;0;0;0;0;0;1;0;0;0;1
"210083 Apicum-Açu";0;0;0;0;0;0;1;2;1;0;0;0;4
"210090 Araioses";0;0;0;0;0;0;0;1;1;1;0;0;3
"210120 Bacabal";0;0;0;0;0;4;16;15;10;10;2;1;58
"210130 Bacuri";0;0;0;0;0;0;1;0;0;0;0;0;1
"210140 Balsas";0;0;0;0;1;12;16;12;10;1;0;0;52
"210150 Barão de Grajaú";0;0;0;0;0;0;0;0;0;0;1;0;1
"210160 Barra do Corda";0;0;0;0;1;0;4;2;2;2;0;0;11
"210170 Barreirinhas";0;0;0;0;0;3;4;1;1;0;1;1;11
"210193 Bernardo do Mearim";0;0;0;0;0;1;1;0;0;0;0;0;2
"210200 Bom Jardim";0;0;0;0;0;0;0;2;0;0;0;0;2
"210203 Bom Jesus das Selvas";0;0;0;0;0;0;0;1;0;0;0;0;1
"210215 Brejo de Areia";0;0;0;0;0;0;1;0;0;0;0;0;1
"210220 Buriti";0;0;0;0;0;0;0;0;1;0;0;0;1
"210230 Buriti Bravo";0;0;0;0;0;0;0;1;0;0;0;1;2
"210232 Buriticupu";0;0;0;0;0;0;1;0;0;0;0;0;1
"210240 Cajapió";0;0;0;0;0;0;1;0;0;0;0;0;1
"210260 Cândido Mendes";0;0;0;0;0;1;2;1;0;0;0;0;4
"210270 Cantanhede";0;0;0;0;0;0;0;2;0;0;0;0;2
"210275 Capinzal do Norte";0;0;0;0;0;0;0;1;0;0;0;0;1
"210280 Carolina";0;0;0;0;0;0;2;0;0;0;0;0;2
"210290 Carutapera";0;0;0;0;0;0;0;0;1;0;0;0;1
"210300 Caxias";0;0;0;0;1;4;7;7;5;1;1;1;27
"210310 Cedral";0;0;0;0;0;0;0;2;0;0;0;0;2
"210312 Central do Maranhão";0;0;0;0;0;1;0;0;0;0;0;0;1
"210317 Centro Novo do Maranhão";0;0;0;0;0;0;0;1;0;0;0;0;1
"210320 Chapadinha";0;0;0;0;0;0;0;1;0;0;0;0;1
"210325 Cidelândia";0;0;0;0;0;1;0;0;0;0;0;0;1
"210330 Codó";0;0;0;0;1;6;6;7;1;0;1;0;22
"210340 Coelho Neto";0;0;0;0;0;1;1;1;2;1;1;0;7
"210350 Colinas";0;0;0;0;0;0;1;0;0;0;0;0;1
"210360 Coroatá";0;0;0;0;0;4;2;4;1;6;3;0;20
"210370 Cururupu";0;0;0;0;0;1;0;0;0;0;0;0;1
"210380 Dom Pedro";0;0;0;0;0;1;0;0;0;0;0;0;1
"210405 Estreito";0;0;0;0;0;0;1;0;0;0;0;0;1
"210407 Feira Nova do Maranhão";0;0;0;0;0;0;0;1;0;0;0;0;1
"210410 Fortaleza dos Nogueiras";0;0;0;0;0;1;0;0;0;0;0;0;1
"210420 Fortuna";0;0;0;0;0;1;0;0;0;0;0;0;1
"210440 Gonçalves Dias";0;0;0;0;0;0;1;0;0;0;0;0;1
"210450 Governador Archer";0;0;0;0;0;0;0;0;1;0;0;0;1
"210470 Graça Aranha";0;0;0;0;0;1;0;0;0;0;0;0;1
"210480 Grajaú";0;0;0;0;1;2;4;1;1;2;1;0;12
"210500 Humberto de Campos";0;0;0;0;0;0;0;0;0;0;1;0;1
"210520 Igarapé Grande";0;0;0;0;0;0;1;0;0;0;0;0;1
"210530 Imperatriz";0;0;0;0;11;63;60;47;17;10;2;2;212
"210540 Itapecuru Mirim";0;0;0;0;0;0;2;6;0;1;0;0;9
"210542 Itinga do Maranhão";0;0;0;0;0;1;0;1;1;0;0;0;3
"210545 Jatobá";0;0;0;0;0;0;0;1;0;0;0;0;1
"210547 Jenipapo dos Vieiras";0;0;0;0;0;1;0;0;0;0;0;0;1
"210550 João Lisboa";0;0;0;0;0;0;2;0;0;0;0;0;2
"210560 Joselândia";0;0;0;0;0;1;0;0;0;0;0;0;1
"210570 Lago da Pedra";0;0;0;0;0;1;0;0;0;0;0;0;1
"210580 Lago do Junco";0;0;0;0;0;0;0;0;1;0;0;0;1
"210590 Lago Verde";0;0;2;0;0;0;0;0;0;0;0;0;2
"210620 Luís Domingues";0;0;0;0;0;0;1;0;0;0;0;0;1
"210640 Mata Roma";0;0;0;0;0;0;0;2;0;0;0;0;2
"210650 Matinha";0;0;0;0;0;0;1;2;0;0;0;0;3
"210660 Matões";0;0;0;0;0;0;1;1;1;0;0;0;3
"210667 Milagres do Maranhão";0;0;0;0;0;0;1;0;0;0;0;0;1
"210690 Monção";0;0;0;0;0;0;0;0;0;1;0;0;1
"210700 Montes Altos";0;0;0;0;0;1;0;0;0;0;0;0;1
