 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
Ano Diagnóstico: 2025
UF Residência: Maranhão
Região Res.: Região Nordeste
UF Notificação: Maranhão
Região Not.: Região Nordeste
Período:2025
"Município (Res)";"< 1 ano";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"210005 Açailândia";0;0;0;0;0;2;0;0;1;2;0;0;5
"210043 Alto Alegre do Maranhão";0;0;0;0;0;0;0;2;1;0;0;0;3
"210080 Anapurus";0;0;0;0;0;0;0;0;1;0;0;0;1
"210090 Araioses";0;0;0;0;0;1;0;0;0;0;0;0;1
"210095 Arame";0;0;0;0;0;0;1;0;0;0;0;0;1
"210110 Axixá";0;0;0;0;0;0;0;0;0;1;0;0;1
"210120 Bacabal";0;0;0;0;0;6;10;13;5;2;1;0;37
"210125 Bacabeira";0;0;0;0;0;0;0;1;0;0;0;0;1
"210130 Bacuri";0;0;0;0;0;1;0;0;0;0;0;0;1
"210140 Balsas";0;0;0;0;0;16;10;8;2;0;1;0;37
"210160 Barra do Corda";0;0;0;0;1;2;3;3;0;2;0;0;11
"210170 Barreirinhas";0;0;0;0;0;2;3;1;0;0;0;0;6
"210190 Bequimão";0;0;0;0;0;0;0;0;1;1;0;0;2
"210210 Brejo";0;0;0;0;0;0;0;0;0;0;1;0;1
"210230 Buriti Bravo";0;0;0;0;0;0;0;0;0;0;1;0;1
"210232 Buriticupu";0;0;0;0;0;1;0;0;0;0;0;0;1
"210240 Cajapió";0;0;0;0;0;0;1;0;0;0;0;0;1
"210250 Cajari";0;0;0;0;0;0;1;0;0;0;0;0;1
"210290 Carutapera";0;0;0;0;0;0;0;1;0;0;0;0;1
"210300 Caxias";0;0;0;0;0;4;4;8;2;1;0;0;19
"210320 Chapadinha";0;0;0;0;1;0;0;0;0;0;0;0;1
"210330 Codó";0;0;0;0;0;2;6;6;4;4;4;0;26
"210340 Coelho Neto";0;0;0;0;0;1;2;1;0;0;0;0;4
"210360 Coroatá";0;0;0;0;0;2;4;2;0;3;1;1;13
"210370 Cururupu";0;0;0;0;0;1;2;3;1;0;0;0;7
"210405 Estreito";0;0;0;0;0;0;0;0;1;0;0;0;1
"210410 Fortaleza dos Nogueiras";0;0;1;0;0;0;0;0;0;0;0;0;1
"210420 Fortuna";0;0;0;0;0;1;1;0;0;0;0;0;2
"210450 Governador Archer";0;0;0;0;0;0;1;0;0;0;0;0;1
"210465 Governador Newton Bello";0;0;0;0;0;0;0;1;0;0;0;0;1
"210467 Governador Nunes Freire";0;0;0;0;0;0;0;0;1;0;0;0;1
"210480 Grajaú";0;0;0;0;0;0;4;2;1;0;0;0;7
"210510 Icatu";0;0;0;0;0;0;1;0;0;0;0;0;1
"210530 Imperatriz";0;1;0;1;4;50;52;33;11;4;0;0;156
"210540 Itapecuru Mirim";0;0;0;0;0;0;4;4;1;0;0;0;9
"210547 Jenipapo dos Vieiras";0;0;0;0;0;0;0;0;0;1;0;0;1
"210560 Joselândia";0;0;0;0;0;1;0;0;0;0;0;0;1
"210565 Junco do Maranhão";0;0;0;0;0;1;1;0;0;0;0;0;2
"210570 Lago da Pedra";0;0;0;0;0;0;1;0;0;0;0;0;1
"210594 Lago dos Rodrigues";0;0;0;0;0;1;0;0;0;0;0;0;1
"210620 Luís Domingues";0;0;1;0;0;0;0;0;0;0;0;0;1
"210660 Matões";0;0;0;0;0;0;0;1;0;0;0;0;1
"210670 Mirador";0;0;0;0;0;0;0;0;0;1;0;0;1
"210750 Paço do Lumiar";0;0;0;0;0;1;3;1;0;0;0;0;5
"210760 Palmeirândia";0;0;0;0;0;0;1;0;0;0;0;0;1
"210820 Pedreiras";0;0;0;0;0;1;3;2;1;0;1;0;8
"210860 Pinheiro";0;0;0;0;2;3;11;10;6;4;0;0;36
"210880 Pirapemas";0;0;0;1;0;0;0;0;1;1;0;0;3
"210927 Presidente Sarney";0;0;0;0;0;1;0;0;0;0;0;0;1
"210970 Sambaíba";0;0;0;0;0;0;0;1;0;0;0;0;1
"210980 Santa Helena";0;0;0;0;0;0;0;1;0;0;0;0;1
"210990 Santa Inês";0;0;0;0;1;7;9;3;4;0;0;0;24
"211000 Santa Luzia";0;0;0;0;0;0;0;1;0;0;0;0;1
"211060 São Bernardo";0;0;0;0;0;1;1;0;0;1;0;0;3
"211085 São Francisco do Brejão";0;0;0;0;0;0;0;1;0;0;0;0;1
"211120 São José de Ribamar";0;0;0;0;0;11;14;9;4;2;0;0;40
"211130 São Luís";1;1;1;1;8;116;115;90;56;27;8;2;426
"211150 São Mateus do Maranhão";0;0;0;0;1;0;1;2;2;1;0;0;7
"211174 Senador Alexandre Costa";0;0;0;0;0;0;0;1;0;0;0;0;1
"211178 Serrano do Maranhão";0;0;0;0;0;0;0;1;0;0;0;0;1
"211220 Timon";0;0;0;0;2;10;5;6;4;2;0;0;29
"211227 Tufilândia";0;0;0;0;0;0;0;0;1;0;0;0;1
"211245 Turilândia";0;0;0;0;0;0;1;1;0;0;0;0;2
"211250 Tutóia";0;0;0;0;0;0;0;1;0;0;0;0;1
"211290 Vitória do Mearim";0;0;0;0;0;0;1;0;0;0;0;0;1
"211400 Zé Doca";0;0;0;0;0;0;0;1;0;0;0;0;1
"Total";1;2;3;3;20;246;277;222;112;60;18;3;967
