 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
Ano Diagnóstico: 2025
UF Residência: Maranhão
Região Res.: Região Nordeste
UF Notificação: Maranhão
Região Not.: Região Nordeste
Período:2025
"Município (Res)";"Masculino";"Feminino";"Ignorado";"Total"
"210005 Açailândia";3;2;0;5
"210043 Alto Alegre do Maranhão";2;1;0;3
"210080 Anapurus";1;0;0;1
"210090 Araioses";0;1;0;1
"210095 Arame";1;0;0;1
"210110 Axixá";1;0;0;1
"210120 Bacabal";24;13;0;37
"210125 Bacabeira";1;0;0;1
"210130 Bacuri";1;0;0;1
"210140 Balsas";30;7;0;37
"210160 Barra do Corda";10;1;0;11
"210170 Barreirinhas";3;3;0;6
"210190 Bequimão";1;1;0;2
"210210 Brejo";1;0;0;1
"210230 Buriti Bravo";1;0;0;1
"210232 Buriticupu";1;0;0;1
"210240 Cajapió";1;0;0;1
"210250 Cajari";0;1;0;1
"210290 Carutapera";1;0;0;1
"210300 Caxias";13;6;0;19
"210320 Chapadinha";1;0;0;1
"210330 Codó";18;8;0;26
"210340 Coelho Neto";2;2;0;4
"210360 Coroatá";10;3;0;13
"210370 Cururupu";6;1;0;7
"210405 Estreito";0;1;0;1
"210410 Fortaleza dos Nogueiras";1;0;0;1
"210420 Fortuna";1;1;0;2
"210450 Governador Archer";1;0;0;1
"210465 Governador Newton Bello";1;0;0;1
"210467 Governador Nunes Freire";1;0;0;1
"210480 Grajaú";5;2;0;7
"210510 Icatu";0;1;0;1
"210530 Imperatriz";102;54;0;156
"210540 Itapecuru Mirim";6;3;0;9
"210547 Jenipapo dos Vieiras";1;0;0;1
"210560 Joselândia";1;0;0;1
"210565 Junco do Maranhão";2;0;0;2
"210570 Lago da Pedra";1;0;0;1
"210594 Lago dos Rodrigues";1;0;0;1
"210620 Luís Domingues";0;1;0;1
"210660 Matões";1;0;0;1
"210670 Mirador";1;0;0;1
"210750 Paço do Lumiar";3;2;0;5
"210760 Palmeirândia";0;1;0;1
"210820 Pedreiras";8;0;0;8
"210860 Pinheiro";24;12;0;36
"210880 Pirapemas";1;2;0;3
"210927 Presidente Sarney";1;0;0;1
"210970 Sambaíba";1;0;0;1
"210980 Santa Helena";1;0;0;1
"210990 Santa Inês";20;4;0;24
"211000 Santa Luzia";1;0;0;1
"211060 São Bernardo";1;1;1;3
"211085 São Francisco do Brejão";1;0;0;1
"211120 São José de Ribamar";32;8;0;40
"211130 São Luís";320;104;2;426
"211150 São Mateus do Maranhão";5;2;0;7
"211174 Senador Alexandre Costa";1;0;0;1
"211178 Serrano do Maranhão";1;0;0;1
"211220 Timon";21;7;1;29
"211227 Tufilândia";0;1;0;1
"211245 Turilândia";2;0;0;2
"211250 Tutóia";0;1;0;1
"211290 Vitória do Mearim";1;0;0;1
"211400 Zé Doca";1;0;0;1
"Total";705;258;4;967
