 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
Ano Diagnóstico: 2015
UF Residência: Paraíba
Região Res.: Região Nordeste
UF Notificação: Paraíba
Período:2015
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"Total"
"250030 Alagoa Grande";1;1;0;0;0;0;0;0;0;2
"250050 Alagoinha";0;1;0;0;0;0;0;0;0;1
"250080 Araçagi";0;0;0;0;0;0;1;0;0;1
"250090 Arara";0;0;0;1;0;0;0;0;0;1
"250110 Areia";0;0;0;0;0;0;0;0;1;1
"250140 Baía da Traição";0;0;0;0;1;0;0;0;0;1
"250180 Bayeux";0;1;1;1;0;0;0;0;0;3
"250190 Belém";0;0;0;1;0;0;0;0;0;1
"250220 Bom Jesus";0;0;0;0;0;0;0;0;1;1
"250320 Cabedelo";0;0;3;0;0;1;1;1;1;7
"250350 Cacimba de Dentro";1;0;0;0;0;0;0;0;0;1
"250370 Cajazeiras";0;0;0;0;0;0;0;0;1;1
"250400 Campina Grande";5;2;5;5;3;5;6;2;5;38
"250403 Capim";0;0;0;0;1;0;0;0;0;1
"250430 Catolé do Rocha";0;0;0;0;0;1;0;0;0;1
"250435 Caturité";1;0;0;0;0;0;0;0;0;1
"250440 Conceição";1;0;0;0;0;0;0;0;0;1
"250460 Conde";0;2;0;1;1;1;2;0;0;7
"250490 Cruz do Espírito Santo";0;0;1;1;0;0;0;0;0;2
"250500 Cubati";0;0;0;0;1;0;0;0;0;1
"250510 Cuité";1;0;0;0;0;0;0;0;0;1
"250520 Cuitegi";0;0;0;0;0;1;0;0;0;1
"250570 Dona Inês";0;0;0;1;0;0;0;0;0;1
"250600 Esperança";0;1;0;0;0;0;0;0;0;1
"250630 Guarabira";0;1;1;0;0;1;1;0;0;4
"250640 Gurinhém";0;0;0;1;0;0;0;0;0;1
"250690 Itabaiana";0;0;0;1;0;0;0;0;0;1
"250710 Itapororoca";1;0;0;0;0;0;0;0;0;1
"250720 Itatuba";0;0;0;1;0;0;0;0;0;1
"250740 Jericó";0;0;0;0;0;0;1;0;0;1
"250750 João Pessoa";28;28;14;41;32;25;63;17;53;301
"250790 Juripiranga";0;0;0;2;0;0;0;0;0;2
"250820 Lagoa de Dentro";1;0;0;0;0;0;0;0;0;1
"250890 Mamanguape";0;1;0;2;0;0;1;0;0;4
"250905 Marcação";0;2;0;0;0;0;0;0;0;2
"250910 Mari";0;1;0;0;0;0;0;0;0;1
"250915 Marizópolis";0;0;1;1;0;0;0;0;0;2
"250920 Massaranduba";0;0;0;0;0;0;0;1;0;1
"250930 Mataraca";0;0;0;0;0;0;1;0;0;1
"251080 Patos";0;0;0;1;0;0;0;0;0;1
"251100 Pedra Branca";0;0;0;0;1;0;0;0;0;1
"251190 Pitimbu";1;1;0;1;0;1;0;0;0;4
"251210 Pombal";0;1;0;1;0;0;0;0;0;2
"251250 Queimadas";0;1;0;0;0;0;2;0;0;3
"251270 Remígio";0;1;0;0;0;0;0;0;0;1
"251280 Riacho dos Cavalos";0;0;0;0;1;0;0;0;0;1
"251290 Rio Tinto";0;0;0;1;0;0;0;0;1;2
"251370 Santa Rita";0;1;0;0;1;2;3;0;1;8
"251390 São Bento";0;0;0;1;0;0;1;0;0;2
"251510 São Sebastião de Lagoa de Roça";0;1;0;1;0;0;0;0;0;2
"251530 Sapé";0;0;0;0;1;0;0;0;0;1
"251540 Seridó";2;0;0;0;0;0;0;0;0;2
"251620 Sousa";1;1;0;0;0;0;2;0;1;5
"251630 Sumé";0;0;0;1;0;0;0;0;0;1
"Total";44;48;26;67;43;38;85;21;65;437
