 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Ano Diagnóstico
Ano Diagnóstico: 2016
UF Residência: Paraíba
Região Res.: Região Nordeste
UF Notificação: Paraíba
Período:2016
"Município (Res)";"2016";"Total"
"250020 Aguiar";1;1
"250030 Alagoa Grande";3;3
"250053 Alcantil";1;1
"250057 Algodão de Jandaíra";1;1
"250060 Alhandra";2;2
"250110 Areia";1;1
"250160 Barra de Santa Rosa";2;2
"250180 Bayeux";4;4
"250200 Belém do Brejo do Cruz";1;1
"250280 Brejo do Cruz";1;1
"250320 Cabedelo";11;11
"250370 Cajazeiras";2;2
"250400 Campina Grande";40;40
"251640 Campo de Santana";1;1
"250430 Catolé do Rocha";1;1
"250435 Caturité";1;1
"250460 Conde";2;2
"250490 Cruz do Espírito Santo";1;1
"250600 Esperança";2;2
"250610 Fagundes";1;1
"250630 Guarabira";6;6
"250690 Itabaiana";2;2
"250700 Itaporanga";1;1
"250710 Itapororoca";4;4
"250730 Jacaraú";1;1
"250750 João Pessoa";316;316
"250760 Juarez Távora";2;2
"250770 Juazeirinho";1;1
"250790 Juripiranga";1;1
"250860 Lucena";2;2
"250890 Mamanguape";2;2
"250905 Marcação";1;1
"250910 Mari";1;1
"251000 Nazarezinho";1;1
"251080 Patos";8;8
"251110 Pedra Lavrada";1;1
"251120 Pedras de Fogo";3;3
"251140 Picuí";1;1
"251200 Pocinhos";1;1
"251250 Queimadas";2;2
"251278 Riacho de Santo Antônio";1;1
"251290 Rio Tinto";4;4
"251315 Santa Cecília";2;2
"251370 Santa Rita";5;5
"251360 Santana dos Garrotes";1;1
"251394 São Domingos do Cariri";1;1
"251530 Sapé";2;2
"251580 Serra Redonda";1;1
"251597 Sobrado";1;1
"251610 Soledade";1;1
"251620 Sousa";1;1
"251680 Triunfo";1;1
"Total";457;457
