 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
Ano Diagnóstico: 2016
UF Residência: Paraíba
Região Res.: Região Nordeste
UF Notificação: Paraíba
Período:2016
"Município (Res)";"< 1 ano";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"Total"
"250020 Aguiar";0;0;0;0;1;0;0;0;1
"250030 Alagoa Grande";0;0;0;2;1;0;0;0;3
"250053 Alcantil";0;0;0;0;0;0;1;0;1
"250057 Algodão de Jandaíra";0;0;0;1;0;0;0;0;1
"250060 Alhandra";0;0;1;1;0;0;0;0;2
"250110 Areia";0;0;0;0;0;0;1;0;1
"250160 Barra de Santa Rosa";0;0;0;0;1;1;0;0;2
"250180 Bayeux";0;0;2;0;1;1;0;0;4
"250200 Belém do Brejo do Cruz";0;1;0;0;0;0;0;0;1
"250280 Brejo do Cruz";0;1;0;0;0;0;0;0;1
"250320 Cabedelo";0;0;7;1;1;2;0;0;11
"250370 Cajazeiras";0;0;1;1;0;0;0;0;2
"250400 Campina Grande";0;2;13;11;7;3;3;1;40
"251640 Campo de Santana";0;0;0;0;0;1;0;0;1
"250430 Catolé do Rocha";0;0;1;0;0;0;0;0;1
"250435 Caturité";0;0;0;0;0;0;1;0;1
"250460 Conde";0;0;2;0;0;0;0;0;2
"250490 Cruz do Espírito Santo";0;0;0;0;0;1;0;0;1
"250600 Esperança";0;0;1;1;0;0;0;0;2
"250610 Fagundes";0;0;0;0;1;0;0;0;1
"250630 Guarabira";0;1;0;2;2;1;0;0;6
"250690 Itabaiana";0;0;1;1;0;0;0;0;2
"250700 Itaporanga";0;0;0;1;0;0;0;0;1
"250710 Itapororoca";0;0;1;1;0;0;2;0;4
"250730 Jacaraú";0;0;0;0;0;0;1;0;1
"250750 João Pessoa";1;12;84;103;64;39;12;1;316
"250760 Juarez Távora";0;0;0;0;0;2;0;0;2
"250770 Juazeirinho";0;0;1;0;0;0;0;0;1
"250790 Juripiranga";0;0;0;1;0;0;0;0;1
"250860 Lucena";0;0;0;1;0;1;0;0;2
"250890 Mamanguape";0;0;1;0;1;0;0;0;2
"250905 Marcação";0;0;0;1;0;0;0;0;1
"250910 Mari";0;0;0;0;1;0;0;0;1
"251000 Nazarezinho";0;0;0;0;0;1;0;0;1
"251080 Patos";0;1;4;0;1;2;0;0;8
"251110 Pedra Lavrada";0;0;0;0;1;0;0;0;1
"251120 Pedras de Fogo";0;0;2;0;1;0;0;0;3
"251140 Picuí";0;0;0;0;0;1;0;0;1
"251200 Pocinhos";0;0;0;1;0;0;0;0;1
"251250 Queimadas";0;0;2;0;0;0;0;0;2
"251278 Riacho de Santo Antônio";0;0;1;0;0;0;0;0;1
"251290 Rio Tinto";0;0;2;1;1;0;0;0;4
"251315 Santa Cecília";0;0;1;1;0;0;0;0;2
"251370 Santa Rita";0;0;2;0;2;1;0;0;5
"251360 Santana dos Garrotes";0;0;1;0;0;0;0;0;1
"251394 São Domingos do Cariri";0;0;0;0;0;1;0;0;1
"251530 Sapé";0;0;0;0;1;0;1;0;2
"251580 Serra Redonda";0;0;0;0;1;0;0;0;1
"251597 Sobrado";0;0;0;0;1;0;0;0;1
"251610 Soledade";0;0;0;0;1;0;0;0;1
"251620 Sousa";0;0;0;0;1;0;0;0;1
"251680 Triunfo";0;0;0;1;0;0;0;0;1
"Total";1;18;131;133;92;58;22;2;457
