 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
Ano Diagnóstico: 2017
UF Residência: Paraíba
Região Res.: Região Nordeste
UF Notificação: Paraíba
Período:2017
"Município (Res)";"< 1 ano";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"250030 Alagoa Grande";0;0;0;0;2;1;1;0;0;0;4
"250057 Algodão de Jandaíra";0;0;0;0;0;0;1;0;0;0;1
"250060 Alhandra";1;0;0;0;0;0;1;0;0;0;2
"250080 Araçagi";0;0;0;0;1;0;0;0;0;0;1
"250090 Arara";0;0;0;0;0;0;0;1;0;0;1
"250100 Araruna";0;0;0;0;0;1;0;0;0;0;1
"250130 Aroeiras";0;0;0;1;0;0;0;0;0;0;1
"250140 Baía da Traição";0;0;0;0;0;0;0;1;0;0;1
"250160 Barra de Santa Rosa";0;0;0;1;0;0;0;0;0;0;1
"250157 Barra de Santana";0;0;0;0;0;1;0;0;0;0;1
"250180 Bayeux";0;0;0;7;3;3;0;0;1;0;14
"250240 Bonito de Santa Fé";0;0;0;1;2;1;0;0;0;0;4
"250250 Boqueirão";0;0;0;0;0;1;2;0;0;0;3
"250280 Brejo do Cruz";0;0;0;0;1;0;0;0;0;0;1
"250300 Caaporã";0;0;0;0;3;1;0;0;0;0;4
"250320 Cabedelo";0;0;1;3;2;4;2;0;0;0;12
"250400 Campina Grande";1;0;2;19;16;15;4;2;0;0;59
"250435 Caturité";0;0;0;1;0;0;0;0;0;0;1
"250460 Conde";0;0;0;2;0;0;0;0;0;0;2
"250490 Cruz do Espírito Santo";0;0;0;0;1;2;0;1;0;0;4
"250520 Cuitegi";0;0;0;0;0;1;0;0;0;0;1
"250540 Desterro";0;0;0;0;0;0;1;0;0;0;1
"250600 Esperança";0;0;0;2;1;1;1;1;0;0;6
"250630 Guarabira";0;0;1;0;0;1;1;0;0;0;3
"250640 Gurinhém";0;0;0;0;0;1;0;0;0;0;1
"250690 Itabaiana";0;0;0;3;1;1;0;0;0;0;5
"250710 Itapororoca";0;0;0;1;2;0;0;0;0;0;3
"250730 Jacaraú";0;0;0;1;0;2;0;0;0;0;3
"250740 Jericó";0;0;0;0;0;1;0;0;0;0;1
"250750 João Pessoa";0;1;19;99;86;69;34;9;3;1;321
"250790 Juripiranga";0;0;0;0;1;0;0;0;0;0;1
"250830 Lagoa Seca";0;0;0;0;1;0;0;0;0;0;1
"250860 Lucena";0;0;0;0;1;0;0;0;0;0;1
"250890 Mamanguape";0;0;0;3;2;1;0;1;0;0;7
"250910 Mari";0;0;0;0;0;0;1;0;0;0;1
"250915 Marizópolis";0;0;0;0;1;0;0;0;0;0;1
"250939 Maturéia";0;0;0;1;0;0;2;0;0;0;3
"250960 Monte Horebe";0;0;0;0;0;0;1;0;0;0;1
"250970 Monteiro";0;0;0;0;0;1;1;0;0;0;2
"251040 Olho d'Água";0;0;0;0;1;0;0;0;0;0;1
"251080 Patos";0;0;0;2;2;1;0;0;0;0;5
"251090 Paulista";0;0;0;1;0;0;0;0;0;0;1
"251110 Pedra Lavrada";0;0;0;0;2;0;0;0;0;0;2
"251120 Pedras de Fogo";0;0;0;1;1;1;1;1;0;0;5
"251130 Piancó";0;0;0;0;1;0;0;0;0;0;1
"251140 Picuí";0;0;0;0;0;2;1;0;0;0;3
"251180 Pirpirituba";0;0;0;0;0;1;0;0;0;0;1
"251190 Pitimbu";0;0;0;0;2;0;0;0;0;0;2
"251210 Pombal";0;0;0;1;0;0;0;0;0;0;1
"251220 Prata";0;0;0;1;0;0;0;0;0;0;1
"251230 Princesa Isabel";0;0;0;1;0;0;0;0;0;0;1
"251250 Queimadas";0;0;0;2;1;0;0;0;0;0;3
"251270 Remígio";0;0;0;0;1;1;0;0;0;0;2
"251276 Riachão do Poço";0;0;0;0;0;1;0;0;0;0;1
"251290 Rio Tinto";0;0;0;1;0;1;0;0;0;0;2
"251370 Santa Rita";0;0;0;3;1;4;3;1;1;0;13
"251390 São Bento";0;0;0;0;1;0;0;0;0;0;1
"251394 São Domingos do Cariri";0;0;0;0;0;1;0;0;0;0;1
"251530 Sapé";0;0;0;1;0;0;2;0;0;0;3
"251580 Serra Redonda";0;0;0;0;0;1;0;0;0;0;1
"251600 Solânea";0;0;0;0;1;0;0;0;0;0;1
"251620 Sousa";0;0;1;1;1;1;0;0;0;0;4
"251670 Teixeira";0;0;0;0;0;0;1;0;0;0;1
"Total";2;1;24;160;142;124;61;18;5;1;538
