 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
Ano Diagnóstico: 2018
UF Residência: Paraíba
Região Res.: Região Nordeste
UF Notificação: Paraíba
Período:2018
"Município (Res)";"< 1 ano";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"250030 Alagoa Grande";0;0;0;0;0;0;1;0;0;0;0;1
"250050 Alagoinha";0;0;0;0;0;0;2;0;0;0;0;2
"250053 Alcantil";0;0;0;0;1;0;0;0;0;0;0;1
"250060 Alhandra";0;0;0;0;1;1;0;0;0;0;0;2
"250100 Araruna";0;0;0;1;1;0;0;0;0;0;0;2
"250110 Areia";0;0;0;0;0;0;1;0;0;0;0;1
"250135 Assunção";0;0;0;0;1;0;0;0;0;0;0;1
"250150 Bananeiras";0;0;0;0;0;2;0;0;0;0;0;2
"250170 Barra de São Miguel";0;1;0;0;0;0;0;0;0;0;0;1
"250180 Bayeux";1;0;0;1;4;2;6;5;0;0;0;19
"250190 Belém";0;0;0;0;0;0;0;0;0;1;0;1
"250230 Bom Sucesso";0;0;0;0;0;1;0;0;0;0;0;1
"250250 Boqueirão";0;0;0;0;0;0;2;1;0;0;0;3
"250280 Brejo do Cruz";0;0;0;0;0;0;1;0;0;0;0;1
"250300 Caaporã";0;0;0;0;0;1;0;0;0;0;0;1
"250320 Cabedelo";0;0;0;0;2;2;3;0;1;0;0;8
"250370 Cajazeiras";0;0;0;0;0;1;1;0;0;0;0;2
"250400 Campina Grande";0;0;0;1;5;12;8;9;3;0;0;38
"250415 Casserengue";0;0;0;0;1;0;0;0;0;0;0;1
"250420 Catingueira";0;0;0;0;0;0;1;1;0;0;0;2
"250430 Catolé do Rocha";0;0;0;0;1;0;0;0;0;0;0;1
"250440 Conceição";0;0;0;0;1;3;0;0;0;0;0;4
"250460 Conde";0;0;0;0;0;1;0;0;0;0;0;1
"250490 Cruz do Espírito Santo";0;0;0;1;0;0;0;0;0;0;0;1
"250510 Cuité";0;0;0;0;0;0;1;0;0;0;0;1
"250600 Esperança";0;0;0;1;1;2;0;0;0;0;0;4
"250610 Fagundes";0;0;0;0;0;0;0;1;0;0;0;1
"250625 Gado Bravo";0;0;0;0;0;0;1;0;0;0;0;1
