 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
Ano Diagnóstico: 2018
UF Residência: Paraíba
Região Res.: Região Nordeste
UF Notificação: Paraíba
Período:2018
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Ignorado";"Total"
"250030 Alagoa Grande";0;0;0;1;0;1
"250050 Alagoinha";0;0;0;2;0;2
"250053 Alcantil";1;0;0;0;0;1
"250060 Alhandra";1;0;0;1;0;2
"250100 Araruna";0;1;0;1;0;2
"250110 Areia";1;0;0;0;0;1
"250135 Assunção";0;0;0;1;0;1
"250150 Bananeiras";2;0;0;0;0;2
"250170 Barra de São Miguel";0;0;1;0;0;1
"250180 Bayeux";3;2;0;14;0;19
"250190 Belém";0;0;0;1;0;1
"250230 Bom Sucesso";0;0;0;1;0;1
"250250 Boqueirão";0;0;0;3;0;3
"250280 Brejo do Cruz";1;0;0;0;0;1
"250300 Caaporã";0;0;0;1;0;1
"250320 Cabedelo";1;1;0;6;0;8
"250370 Cajazeiras";0;0;0;2;0;2
"250400 Campina Grande";6;1;4;26;1;38
"250415 Casserengue";0;0;0;1;0;1
"250420 Catingueira";2;0;0;0;0;2
"250430 Catolé do Rocha";1;0;0;0;0;1
"250440 Conceição";0;0;0;4;0;4
"250460 Conde";0;0;0;1;0;1
"250490 Cruz do Espírito Santo";0;0;0;1;0;1
"250510 Cuité";1;0;0;0;0;1
"250600 Esperança";0;0;0;4;0;4
"250610 Fagundes";1;0;0;0;0;1
"250625 Gado Bravo";0;0;0;1;0;1
"250630 Guarabira";0;0;0;4;0;4
"250640 Gurinhém";0;0;0;2;0;2
"250680 Ingá";0;0;0;2;0;2
"250710 Itapororoca";0;0;0;1;0;1
"250730 Jacaraú";1;0;0;1;0;2
"250740 Jericó";0;0;0;1;0;1
"250750 João Pessoa";87;10;15;216;1;329
"250760 Juarez Távora";0;0;0;1;0;1
"250790 Juripiranga";0;0;0;0;1;1
"250820 Lagoa de Dentro";0;0;0;1;0;1
"250830 Lagoa Seca";1;0;0;2;0;3
"250860 Lucena";0;0;0;3;0;3
"250890 Mamanguape";2;0;0;6;0;8
"250910 Mari";0;0;1;0;0;1
"250915 Marizópolis";0;0;1;1;0;2
"250920 Massaranduba";0;0;0;1;0;1
"250930 Mataraca";0;0;0;1;0;1
"250960 Monte Horebe";1;0;0;0;0;1
"250970 Monteiro";0;0;1;5;0;6
"251010 Nova Floresta";0;0;0;1;0;1
"251040 Olho d'Água";0;0;0;1;0;1
"251080 Patos";0;0;0;4;0;4
"251120 Pedras de Fogo";1;0;0;2;0;3
"251130 Piancó";0;0;0;1;0;1
"251140 Picuí";1;0;0;0;0;1
"251150 Pilar";0;0;0;2;0;2
"251190 Pitimbu";0;0;0;1;0;1
"251200 Pocinhos";1;0;0;0;0;1
"251210 Pombal";0;0;0;2;0;2
"251250 Queimadas";0;0;0;6;0;6
"251290 Rio Tinto";0;0;0;1;0;1
"251330 Santa Helena";0;0;0;1;0;1
"251370 Santa Rita";6;0;1;22;0;29
"251380 Santa Teresinha";0;0;0;1;0;1
"251390 São Bento";1;0;0;1;0;2
"251420 São José da Lagoa Tapada";0;0;0;1;0;1
"251440 São José de Espinharas";0;0;0;1;0;1
"251445 São José dos Ramos";1;0;0;0;0;1
"251530 Sapé";1;0;1;2;0;4
"251550 Serra Branca";1;0;0;0;0;1
"251597 Sobrado";2;0;0;1;0;3
"251600 Solânea";1;0;0;1;0;2
"251610 Soledade";2;0;0;0;0;2
"251620 Sousa";0;0;0;4;0;4
"251650 Taperoá";0;0;0;1;0;1
"251680 Triunfo";1;0;1;0;0;2
"251720 Vieirópolis";0;0;0;1;0;1
"Total";132;15;26;378;3;554
