 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
Ano Diagnóstico: 2019
UF Residência: Paraíba
Região Res.: Região Nordeste
UF Notificação: Paraíba
Período:2019
"Município (Res)";"Masculino";"Feminino";"Total"
"250010 Água Branca";2;0;2
"250020 Aguiar";1;0;1
"250030 Alagoa Grande";1;0;1
"250050 Alagoinha";1;0;1
"250053 Alcantil";1;0;1
"250060 Alhandra";4;0;4
"250080 Araçagi";1;0;1
"250100 Araruna";1;0;1
"250110 Areia";1;0;1
"250130 Aroeiras";1;0;1
"250140 Baía da Traição";1;1;2
"250150 Bananeiras";2;1;3
"250180 Bayeux";16;5;21
"250190 Belém";0;1;1
"250220 Bom Jesus";1;0;1
"250240 Bonito de Santa Fé";1;2;3
"250250 Boqueirão";1;0;1
"250280 Brejo do Cruz";1;1;2
"250320 Cabedelo";13;1;14
"250330 Cachoeira dos Índios";1;0;1
"250370 Cajazeiras";3;0;3
"250400 Campina Grande";32;7;39
"251640 Campo de Santana";0;1;1
"250440 Conceição";1;0;1
"250460 Conde";5;1;6
"250490 Cruz do Espírito Santo";4;0;4
"250520 Cuitegi";1;0;1
"250600 Esperança";1;0;1
"250630 Guarabira";5;2;7
"250640 Gurinhém";1;0;1
"250680 Ingá";2;2;4
"250690 Itabaiana";1;0;1
"250700 Itaporanga";1;1;2
"250710 Itapororoca";1;1;2
"250730 Jacaraú";4;1;5
"250750 João Pessoa";234;97;331
"250770 Juazeirinho";1;0;1
"250790 Juripiranga";2;0;2
"250860 Lucena";2;2;4
"250870 Mãe d'Água";0;1;1
"250890 Mamanguape";7;1;8
"250905 Marcação";1;0;1
"250910 Mari";1;0;1
"250915 Marizópolis";2;0;2
"250940 Mogeiro";0;1;1
"250970 Monteiro";5;0;5
"251040 Olho d'Água";1;0;1
"251080 Patos";7;4;11
"251090 Paulista";1;0;1
"251120 Pedras de Fogo";4;2;6
"251180 Pirpirituba";0;1;1
"251190 Pitimbu";3;0;3
"251200 Pocinhos";0;1;1
"251210 Pombal";1;0;1
"251230 Princesa Isabel";1;0;1
"251240 Puxinanã";2;0;2
"251250 Queimadas";4;1;5
"251270 Remígio";2;1;3
"251290 Rio Tinto";2;1;3
"251320 Santa Cruz";1;0;1
"251340 Santa Luzia";1;0;1
"251370 Santa Rita";19;10;29
"251390 São Bento";4;0;4
"251400 São João do Cariri";1;0;1
"251530 Sapé";10;3;13
"251550 Serra Branca";1;0;1
"251610 Soledade";1;0;1
"251620 Sousa";4;1;5
"251630 Sumé";1;0;1
"251650 Taperoá";2;0;2
"251680 Triunfo";1;0;1
"251710 Várzea";1;0;1
"251740 Zabelê";1;0;1
"Total";444;155;599
