 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
Ano Diagnóstico: 2021
UF Residência: Paraíba
Região Res.: Região Nordeste
UF Notificação: Paraíba
Período:2021
"Município (Res)";"< 1 ano";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"250020 Aguiar";0;0;0;0;0;0;0;0;1;0;0;0;1
"250030 Alagoa Grande";0;0;0;0;0;1;0;0;0;0;0;0;1
"250060 Alhandra";0;0;0;0;0;1;0;0;0;0;0;0;1
"250080 Araçagi";0;0;0;0;0;0;0;0;2;0;0;0;2
"250090 Arara";0;0;0;0;0;1;0;0;1;0;0;0;2
"250110 Areia";0;0;0;0;0;0;0;0;2;0;0;0;2
"250140 Baía da Traição";0;0;0;0;0;0;1;0;0;0;0;0;1
"250153 Baraúna";0;0;0;0;0;1;0;0;0;0;0;0;1
"250180 Bayeux";0;0;0;0;0;1;4;1;2;0;0;0;8
"250200 Belém do Brejo do Cruz";0;0;0;0;0;1;0;0;0;0;0;0;1
"250230 Bom Sucesso";0;0;0;0;0;0;1;0;0;0;0;0;1
"250240 Bonito de Santa Fé";0;0;0;0;0;0;0;0;0;1;0;0;1
"250280 Brejo do Cruz";0;0;0;0;0;0;2;1;0;0;0;0;3
"250300 Caaporã";0;0;0;0;0;1;1;0;0;0;0;0;2
"250320 Cabedelo";0;0;0;0;0;3;3;1;0;1;0;0;8
"250330 Cachoeira dos Índios";0;0;0;0;0;0;0;1;0;0;0;0;1
"250370 Cajazeiras";0;0;0;0;0;0;0;0;1;0;0;0;1
"250380 Caldas Brandão";0;0;0;0;0;1;1;0;0;0;0;0;2
"250400 Campina Grande";0;0;0;0;0;16;12;11;7;3;0;0;49
"250403 Capim";0;0;0;0;0;0;1;0;0;0;0;0;1
"250430 Catolé do Rocha";0;0;0;0;0;2;0;0;0;0;0;0;2
"250440 Conceição";0;0;0;0;0;0;1;1;0;0;0;0;2
"250450 Condado";0;0;0;0;0;0;1;0;0;0;0;0;1
"250490 Cruz do Espírito Santo";0;0;0;0;0;0;0;0;1;0;0;0;1
"250527 Curral de Cima";0;0;0;0;0;0;1;0;0;0;0;0;1
"250570 Dona Inês";0;0;0;0;0;0;0;0;1;0;0;0;1
"250600 Esperança";0;0;0;0;0;0;2;0;1;0;0;0;3
"250630 Guarabira";0;0;0;0;1;0;0;0;0;0;0;0;1
"250640 Gurinhém";0;0;0;0;0;0;0;1;0;0;0;0;1
"250670 Imaculada";0;0;0;0;0;0;0;0;1;0;0;0;1
"250680 Ingá";0;0;0;0;0;1;0;0;0;0;0;0;1
"250690 Itabaiana";0;0;0;0;0;0;0;2;0;0;0;0;2
"250700 Itaporanga";0;0;0;0;0;0;0;1;0;0;0;0;1
"250710 Itapororoca";0;0;0;0;0;0;0;1;0;0;0;0;1
"250720 Itatuba";0;0;0;0;0;0;1;0;0;0;0;0;1
"250730 Jacaraú";0;0;0;0;0;1;0;0;1;0;0;0;2
"250750 João Pessoa";1;3;1;0;8;72;84;62;26;10;3;1;271
"250770 Juazeirinho";0;0;0;0;0;1;1;1;0;0;0;0;3
"250790 Juripiranga";0;0;0;0;1;0;0;0;0;0;0;0;1
"250830 Lagoa Seca";0;0;0;0;0;0;0;1;0;0;0;0;1
"250860 Lucena";0;0;0;0;0;0;0;0;0;1;0;0;1
"250890 Mamanguape";0;0;0;1;0;0;3;0;2;0;0;0;6
"250915 Marizópolis";0;0;0;0;0;1;0;0;0;0;0;0;1
"250939 Maturéia";0;0;0;0;1;0;0;0;0;0;0;0;1
"250940 Mogeiro";0;0;0;0;0;1;0;0;0;0;0;0;1
"250960 Monte Horebe";0;0;0;0;0;0;0;2;0;0;0;0;2
"250970 Monteiro";0;0;0;0;0;1;0;0;0;0;0;0;1
"251020 Nova Olinda";0;0;0;0;0;0;1;0;1;0;0;0;2
"251080 Patos";0;0;0;1;0;5;6;6;1;1;0;0;20
"251090 Paulista";0;0;0;0;0;0;1;0;0;0;0;0;1
"251120 Pedras de Fogo";0;0;0;0;0;1;1;0;0;0;0;0;2
"251150 Pilar";0;0;0;0;0;1;0;0;0;0;0;0;1
"251170 Pilõezinhos";0;0;0;0;0;0;0;0;0;0;1;0;1
"251190 Pitimbu";0;0;0;0;0;0;1;2;0;0;0;0;3
"251210 Pombal";0;0;0;0;0;0;0;1;0;0;0;0;1
"251220 Prata";0;0;0;0;0;1;0;0;0;0;0;0;1
"251290 Rio Tinto";0;0;0;0;0;1;1;1;0;0;0;0;3
"251370 Santa Rita";0;0;0;0;0;1;6;5;3;0;0;0;15
"251360 Santana dos Garrotes";0;0;0;0;0;0;1;0;0;0;0;0;1
"251390 São Bento";0;0;0;0;0;1;0;1;0;0;0;0;2
"251500 São Miguel de Taipu";0;0;0;0;0;0;1;0;0;0;0;0;1
"251530 Sapé";0;0;0;0;0;2;0;1;2;0;0;0;5
"251550 Serra Branca";0;0;1;0;0;0;0;2;0;0;0;0;3
"251590 Serraria";0;0;0;0;0;1;0;0;0;0;0;0;1
"251620 Sousa";0;0;0;0;0;1;1;2;4;1;0;0;9
"251630 Sumé";0;0;0;0;0;1;0;0;0;0;0;0;1
"251680 Triunfo";0;0;0;0;0;0;0;1;0;0;0;0;1
"Total";1;3;2;2;11;123;140;109;60;18;4;1;474
