 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
Ano Diagnóstico: 2022
UF Residência: Paraíba
Região Res.: Região Nordeste
UF Notificação: Paraíba
Região Not.: Região Nordeste
Período:2022
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Ignorado";"Total"
"250040 Alagoa Nova";0;0;0;2;0;0;2
"250050 Alagoinha";0;0;0;1;0;0;1
"250060 Alhandra";1;0;0;5;0;0;6
"250080 Araçagi";0;0;0;1;0;0;1
"250090 Arara";0;0;0;1;0;0;1
"250110 Areia";0;0;0;1;0;0;1
"250140 Baía da Traição";0;0;1;1;0;0;2
"250150 Bananeiras";0;0;2;0;0;0;2
"250160 Barra de Santa Rosa";0;0;0;1;0;0;1
"250180 Bayeux";3;0;1;10;0;0;14
"250190 Belém";1;0;0;0;0;0;1
"250215 Boa Vista";0;0;0;1;0;0;1
"250240 Bonito de Santa Fé";1;0;0;2;0;0;3
"250280 Brejo do Cruz";0;0;0;1;0;0;1
"250300 Caaporã";0;0;0;1;0;0;1
"250320 Cabedelo";2;0;2;9;0;1;14
"250330 Cachoeira dos Índios";0;0;0;1;0;0;1
"250360 Caiçara";0;0;0;1;0;0;1
"250370 Cajazeiras";0;0;0;2;0;0;2
"250380 Caldas Brandão";0;0;0;1;0;0;1
"250400 Campina Grande";9;1;1;27;0;0;38
"250415 Casserengue";0;0;0;1;0;0;1
"250430 Catolé do Rocha";0;0;0;2;0;0;2
"250435 Caturité";1;0;0;1;0;0;2
"250450 Condado";0;0;0;1;0;0;1
"250460 Conde";0;1;0;2;0;0;3
"250490 Cruz do Espírito Santo";0;0;0;1;0;0;1
"250600 Esperança";1;0;0;2;0;0;3
"250630 Guarabira";2;0;0;3;0;1;6
"250660 Ibiara";1;0;0;0;0;0;1
"250690 Itabaiana";0;0;0;3;0;0;3
"250710 Itapororoca";4;0;0;2;0;0;6
"250730 Jacaraú";1;0;0;2;0;0;3
"250750 João Pessoa";65;5;19;189;1;2;281
"250760 Juarez Távora";1;0;0;0;0;0;1
"250790 Juripiranga";0;0;0;2;0;0;2
"250880 Malta";0;0;0;1;0;0;1
"250890 Mamanguape";3;0;0;5;0;0;8
"250905 Marcação";0;0;0;1;1;0;2
"250910 Mari";0;0;0;1;0;0;1
"250940 Mogeiro";0;0;0;1;0;0;1
"250970 Monteiro";0;0;0;1;0;0;1
"250980 Mulungu";1;0;0;1;0;0;2
"251080 Patos";11;0;3;19;0;0;33
"251120 Pedras de Fogo";0;0;0;6;0;0;6
"251150 Pilar";0;0;0;1;0;0;1
"251190 Pitimbu";0;0;0;2;0;0;2
"251210 Pombal";0;0;0;1;0;0;1
"251230 Princesa Isabel";0;0;0;1;0;0;1
"251250 Queimadas";1;0;0;2;0;0;3
"251275 Riachão do Bacamarte";1;0;0;0;0;0;1
"251290 Rio Tinto";0;0;1;1;0;0;2
"251310 Salgado de São Félix";0;0;0;1;0;0;1
"251340 Santa Luzia";0;0;0;1;0;0;1
"251370 Santa Rita";2;0;3;18;0;0;23
"251390 São Bento";0;0;0;1;0;0;1
"250070 São João do Rio do Peixe";0;0;0;1;0;0;1
"251530 Sapé";1;0;1;1;0;0;3
"251550 Serra Branca";0;0;0;2;0;0;2
"251620 Sousa";4;0;1;3;0;0;8
"251630 Sumé";0;0;0;5;0;0;5
"251660 Tavares";0;0;0;1;0;0;1
"250550 Vista Serrana";0;0;0;1;0;0;1
"Total";117;7;35;359;2;4;524
