 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
Ano Diagnóstico: 2023
UF Residência: Paraíba
Região Res.: Região Nordeste
UF Notificação: Paraíba
Região Not.: Região Nordeste
Período:2023
"Município (Res)";"< 1 ano";"1-4";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"250040 Alagoa Nova";0;0;0;0;0;1;0;0;0;0;1
"250060 Alhandra";0;0;0;1;1;0;0;0;0;0;2
"250080 Araçagi";0;0;0;0;1;1;0;0;0;0;2
"250090 Arara";0;0;2;1;0;0;0;1;0;0;4
"250100 Araruna";0;0;0;0;0;1;0;0;0;0;1
"250135 Assunção";0;0;0;0;1;1;0;0;0;0;2
"250140 Baía da Traição";0;0;0;1;1;0;0;0;0;0;2
"250150 Bananeiras";0;0;0;0;0;0;0;2;0;0;2
"250180 Bayeux";0;0;0;5;1;1;2;0;0;0;9
"250190 Belém";0;0;0;1;0;0;0;0;0;0;1
"250250 Boqueirão";0;0;0;0;0;1;0;0;0;0;1
"250270 Borborema";0;0;0;0;0;1;0;0;0;0;1
"250300 Caaporã";0;0;0;1;0;0;0;1;0;0;2
"250320 Cabedelo";1;0;0;3;3;2;0;0;1;0;10
"250360 Caiçara";0;0;0;0;0;1;0;0;0;0;1
"250370 Cajazeiras";0;0;0;1;1;1;0;0;0;0;3
"250400 Campina Grande";0;0;1;11;17;16;7;1;0;0;53
"250403 Capim";0;0;0;1;0;0;0;0;0;0;1
"250460 Conde";0;0;0;1;1;0;0;0;0;0;2
"250490 Cruz do Espírito Santo";0;0;0;1;1;0;0;0;0;0;2
"250500 Cubati";0;0;0;0;1;0;0;0;0;0;1
"250610 Fagundes";0;0;0;0;1;0;0;1;0;0;2
"250630 Guarabira";0;0;0;1;0;2;0;0;0;0;3
"250640 Gurinhém";0;0;0;1;0;0;0;0;0;0;1
"250690 Itabaiana";0;0;0;1;2;0;0;0;0;0;3
"250700 Itaporanga";0;0;0;0;1;0;0;0;0;0;1
"250720 Itatuba";0;0;0;1;0;0;0;0;0;0;1
"250730 Jacaraú";0;0;0;0;0;0;0;1;0;0;1
"250750 João Pessoa";1;1;3;70;92;83;56;11;4;0;321
"250790 Juripiranga";0;0;0;0;0;1;0;0;0;0;1
"250890 Mamanguape";1;0;0;0;2;1;2;1;0;0;7
"250900 Manaíra";0;0;0;0;1;0;0;0;0;0;1
"250905 Marcação";0;0;0;0;0;1;0;0;0;0;1
"250910 Mari";0;0;0;1;0;1;0;0;0;0;2
"250920 Massaranduba";0;0;0;0;1;0;0;0;0;0;1
"250930 Mataraca";0;0;0;0;1;0;0;1;0;0;2
"250940 Mogeiro";0;0;0;0;0;1;0;0;0;0;1
"250950 Montadas";0;0;0;0;1;0;0;0;0;0;1
"250970 Monteiro";0;0;0;0;0;1;0;0;0;1;2
"251080 Patos";0;0;2;5;10;6;5;2;0;0;30
"251120 Pedras de Fogo";0;0;0;0;1;3;0;0;0;0;4
"251150 Pilar";0;0;0;1;0;0;0;0;0;0;1
"251170 Pilõezinhos";0;0;0;1;1;0;0;0;0;0;2
"251180 Pirpirituba";0;0;0;0;0;1;0;0;0;0;1
"251190 Pitimbu";0;0;0;1;1;0;2;0;0;0;4
"251200 Pocinhos";0;0;0;0;1;0;0;0;0;0;1
"251203 Poço Dantas";0;0;0;0;1;0;0;0;0;0;1
"251210 Pombal";0;0;0;0;0;1;0;0;0;0;1
"251250 Queimadas";0;0;0;1;0;0;0;0;0;0;1
"251290 Rio Tinto";0;0;0;0;1;2;0;0;0;0;3
"251300 Salgadinho";0;0;0;0;1;0;0;0;0;0;1
"251370 Santa Rita";0;0;0;6;4;3;4;1;0;0;18
"251398 São Francisco";0;0;0;1;1;1;0;0;0;0;3
"250070 São João do Rio do Peixe";0;0;0;0;1;0;0;0;0;0;1
"251445 São José dos Ramos";0;0;0;3;0;0;0;0;0;0;3
"251500 São Miguel de Taipu";0;0;0;1;0;1;1;0;0;0;3
"251530 Sapé";0;0;0;2;2;1;2;0;1;0;8
"251540 Seridó";0;0;0;0;0;0;0;0;0;1;1
"251597 Sobrado";0;0;0;1;0;0;0;0;0;0;1
"251600 Solânea";0;0;0;0;0;0;0;1;0;0;1
"251610 Soledade";0;0;0;0;0;1;1;1;0;0;3
"251620 Sousa";0;0;0;3;2;1;0;2;1;0;9
"251660 Tavares";0;0;0;1;0;0;0;0;0;0;1
"251690 Uiraúna";0;0;0;0;1;1;0;0;0;0;2
"Total";3;1;8;130;159;140;82;27;7;2;559
