 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
Ano Diagnóstico: 2024
UF Residência: Paraíba
Região Res.: Região Nordeste
UF Notificação: Paraíba
Região Not.: Região Nordeste
Período:2024
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"Total"
"250030 Alagoa Grande";0;0;0;0;1;0;0;0;0;1
"250060 Alhandra";0;0;0;1;1;0;0;0;0;2
"250090 Arara";0;0;0;0;0;0;1;0;0;1
"250135 Assunção";0;0;1;0;0;0;0;0;0;1
"250160 Barra de Santa Rosa";0;1;0;0;0;0;0;0;0;1
"250180 Bayeux";1;1;1;2;1;1;5;0;1;13
"250190 Belém";1;0;0;0;0;0;0;0;0;1
"250240 Bonito de Santa Fé";0;1;0;0;0;0;0;0;0;1
"250250 Boqueirão";0;0;0;1;0;0;0;0;0;1
"250280 Brejo do Cruz";0;1;0;0;0;0;0;0;0;1
"250300 Caaporã";0;0;0;0;0;0;1;0;0;1
"250320 Cabedelo";0;1;0;0;1;1;0;0;0;3
"250370 Cajazeiras";1;0;0;0;1;0;1;0;0;3
"250400 Campina Grande";0;2;0;6;2;5;18;1;6;40
"250403 Capim";1;0;0;1;0;0;0;0;0;2
"250440 Conceição";0;0;0;1;0;0;0;0;0;1
"250460 Conde";0;0;0;1;0;0;0;0;0;1
"250523 Cuité de Mamanguape";0;1;0;0;0;0;0;0;0;1
"250600 Esperança";1;0;0;0;0;0;0;0;0;1
"250610 Fagundes";0;1;0;0;0;0;0;0;0;1
"250630 Guarabira";0;1;0;0;0;0;0;0;0;1
"250680 Ingá";0;0;0;0;0;0;1;0;0;1
"250690 Itabaiana";1;0;0;0;0;0;1;0;0;2
"250710 Itapororoca";0;0;0;1;0;0;1;0;0;2
"250730 Jacaraú";0;0;0;1;0;0;0;0;0;1
"250740 Jericó";0;1;0;0;0;0;0;0;0;1
"250750 João Pessoa";7;27;7;35;20;21;57;17;40;231
"250855 Logradouro";0;0;1;0;0;0;0;0;0;1
"250860 Lucena";0;1;0;0;0;0;0;0;0;1
"250890 Mamanguape";0;0;2;3;1;1;2;0;0;9
"250905 Marcação";0;0;0;0;0;1;0;0;0;1
"250910 Mari";0;0;0;0;0;0;1;0;0;1
"250915 Marizópolis";0;0;0;0;0;0;1;0;0;1
"250920 Massaranduba";0;0;0;0;0;0;1;0;0;1
"250970 Monteiro";0;0;0;1;0;0;0;0;0;1
"251010 Nova Floresta";0;0;0;0;0;0;0;0;1;1
"251020 Nova Olinda";0;0;0;0;0;1;0;0;0;1
"251030 Nova Palmeira";0;0;0;0;0;0;1;0;0;1
"251080 Patos";3;4;0;6;0;3;7;0;2;25
"251140 Picuí";0;0;0;1;0;0;0;0;0;1
"251150 Pilar";0;0;0;0;1;1;1;0;0;3
"251190 Pitimbu";0;1;0;0;1;0;0;0;0;2
"251210 Pombal";0;0;0;1;1;1;1;0;0;4
"251250 Queimadas";0;0;0;1;0;0;1;0;0;2
"251290 Rio Tinto";0;1;0;0;0;0;0;0;0;1
"251340 Santa Luzia";0;0;0;0;0;1;0;0;0;1
"251370 Santa Rita";1;5;2;3;0;1;1;0;1;14
"251390 São Bento";0;1;0;0;0;0;0;0;0;1
"251600 Solânea";0;0;0;0;0;1;1;0;0;2
"251620 Sousa";0;0;1;0;0;0;0;0;1;2
"251630 Sumé";0;1;0;0;0;0;0;0;0;1
"251670 Teixeira";0;0;0;1;0;0;0;0;0;1
"250550 Vista Serrana";0;0;0;1;0;0;0;0;0;1
"Total";17;52;15;68;31;39;104;18;52;396
