 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
Ano Diagnóstico: 2024
UF Residência: Paraíba
Região Res.: Região Nordeste
UF Notificação: Paraíba
Região Not.: Região Nordeste
Período:2024
"Município (Res)";"Masculino";"Feminino";"Ignorado";"Total"
"250030 Alagoa Grande";1;0;0;1
"250040 Alagoa Nova";1;0;0;1
"250060 Alhandra";2;2;0;4
"250090 Arara";3;0;0;3
"250135 Assunção";1;0;0;1
"250160 Barra de Santa Rosa";1;0;0;1
"250180 Bayeux";15;3;0;18
"250190 Belém";1;0;0;1
"250240 Bonito de Santa Fé";1;0;0;1
"250250 Boqueirão";2;0;0;2
"250280 Brejo do Cruz";2;0;0;2
"250300 Caaporã";3;0;0;3
"250320 Cabedelo";3;0;0;3
"250370 Cajazeiras";6;2;0;8
"250400 Campina Grande";48;12;0;60
"250403 Capim";2;0;0;2
"250420 Catingueira";1;0;0;1
"250440 Conceição";0;1;0;1
"250460 Conde";4;0;0;4
"250523 Cuité de Mamanguape";1;0;0;1
"250600 Esperança";1;0;0;1
"250610 Fagundes";1;0;0;1
"250630 Guarabira";2;2;0;4
"250680 Ingá";1;0;0;1
"250690 Itabaiana";2;0;0;2
"250710 Itapororoca";3;0;0;3
"250730 Jacaraú";1;1;0;2
"250740 Jericó";1;0;0;1
"250750 João Pessoa";245;95;0;340
"250770 Juazeirinho";0;1;0;1
"250790 Juripiranga";1;0;0;1
"250850 Livramento";0;1;0;1
"250855 Logradouro";1;0;0;1
"250860 Lucena";1;0;0;1
"250890 Mamanguape";7;4;0;11
"250905 Marcação";0;1;0;1
"250910 Mari";2;0;0;2
"250915 Marizópolis";1;0;0;1
"250920 Massaranduba";1;0;0;1
"250970 Monteiro";1;0;0;1
"251010 Nova Floresta";1;1;0;2
"251020 Nova Olinda";0;1;0;1
"251030 Nova Palmeira";1;0;0;1
"251080 Patos";21;9;0;30
"251120 Pedras de Fogo";1;0;0;1
"251140 Picuí";0;1;0;1
"251150 Pilar";2;1;0;3
"251190 Pitimbu";2;0;0;2
"251210 Pombal";3;2;0;5
"251250 Queimadas";2;0;0;2
"251290 Rio Tinto";1;0;0;1
"251340 Santa Luzia";1;0;0;1
"251370 Santa Rita";13;6;0;19
"251390 São Bento";1;0;0;1
"251600 Solânea";2;0;0;2
"251620 Sousa";1;2;0;3
"251630 Sumé";0;1;0;1
"251670 Teixeira";1;1;0;2
"251680 Triunfo";1;0;0;1
"250550 Vista Serrana";1;0;0;1
"250000 Município ignorado - PB";0;0;1;1
"Total";425;150;1;576
