 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
Ano Diagnóstico: 2025
UF Residência: Paraíba
Região Res.: Região Nordeste
UF Notificação: Paraíba
Região Not.: Região Nordeste
Período:2025
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"Total"
"250090 Arara";1;0;0;0;0;0;0;0;0;1
"250140 Baía da Traição";0;0;1;0;0;0;0;0;0;1
"250157 Barra de Santana";0;0;0;0;0;0;1;0;0;1
"250180 Bayeux";0;1;0;0;0;0;0;0;0;1
"250205 Bernardino Batista";0;0;0;0;0;0;1;0;0;1
"250320 Cabedelo";0;3;1;0;1;0;0;0;0;5
"250370 Cajazeiras";2;0;0;1;1;0;2;0;0;6
"250400 Campina Grande";2;0;3;0;2;5;12;2;8;34
"250420 Catingueira";1;0;0;0;0;0;0;0;0;1
"250430 Catolé do Rocha";0;1;0;0;0;0;0;0;0;1
"250440 Conceição";0;0;0;0;0;1;0;0;0;1
"250490 Cruz do Espírito Santo";0;0;0;1;0;0;0;0;0;1
"250690 Itabaiana";0;0;1;0;0;0;1;0;0;2
"250750 João Pessoa";12;11;8;19;9;18;34;10;19;140
"250770 Juazeirinho";1;0;0;0;0;0;0;0;0;1
"250830 Lagoa Seca";0;0;0;0;0;0;1;0;0;1
"250890 Mamanguape";0;0;1;0;1;0;0;0;0;2
"251080 Patos";4;3;1;1;1;3;3;0;4;20
"251130 Piancó";0;0;0;0;0;0;1;0;0;1
"251207 Poço de José de Moura";0;0;0;0;0;0;0;0;1;1
"251230 Princesa Isabel";0;0;0;0;0;0;0;1;0;1
"251370 Santa Rita";2;1;1;2;0;3;2;0;1;12
"251600 Solânea";0;0;0;0;0;0;0;0;1;1
"251620 Sousa";0;0;0;1;0;0;0;1;0;2
"251700 Umbuzeiro";0;0;0;0;0;0;1;0;0;1
"Total";25;20;17;25;15;30;59;14;34;239
