 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
Ano Diagnóstico: 2025
UF Residência: Paraíba
Região Res.: Região Nordeste
UF Notificação: Paraíba
Região Not.: Região Nordeste
Período:2025
"Município (Res)";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"250090 Arara";0;0;1;0;0;0;0;0;1
"250140 Baía da Traição";0;1;0;0;0;0;0;0;1
"250157 Barra de Santana";0;0;0;1;0;0;0;0;1
"250180 Bayeux";0;1;0;1;0;0;0;0;2
"250205 Bernardino Batista";0;1;0;0;0;0;0;0;1
"250300 Caaporã";0;1;0;0;0;0;0;0;1
"250320 Cabedelo";0;0;2;2;2;0;0;0;6
"250370 Cajazeiras";0;1;3;0;1;1;0;0;6
"250400 Campina Grande";0;12;19;8;10;4;1;0;54
"250420 Catingueira";0;0;0;0;1;0;0;0;1
"250430 Catolé do Rocha";0;0;0;0;0;1;0;0;1
"250440 Conceição";0;0;1;0;0;0;0;0;1
"250490 Cruz do Espírito Santo";0;0;1;0;0;0;0;0;1
"250580 Duas Estradas";0;0;1;0;0;0;0;0;1
"250600 Esperança";0;0;0;1;0;0;0;0;1
"250690 Itabaiana";0;1;0;1;0;0;0;0;2
"250710 Itapororoca";0;0;0;2;0;0;0;0;2
"250750 João Pessoa";6;63;70;57;22;7;4;2;231
"250770 Juazeirinho";0;0;0;1;0;0;0;0;1
"250830 Lagoa Seca";0;0;0;1;0;0;0;0;1
"250890 Mamanguape";0;1;1;1;0;0;0;0;3
"251080 Patos";0;10;9;3;2;2;0;0;26
"251120 Pedras de Fogo";0;0;0;0;1;0;0;0;1
"251130 Piancó";0;0;0;1;0;0;0;0;1
"251190 Pitimbu";0;0;0;1;0;0;0;0;1
"251207 Poço de José de Moura";0;0;0;1;0;0;0;0;1
"251230 Princesa Isabel";0;1;0;0;0;0;0;0;1
"251370 Santa Rita";1;6;2;3;4;3;0;0;19
"251600 Solânea";0;1;0;0;0;0;0;0;1
"251620 Sousa";0;0;1;0;1;0;0;0;2
"251700 Umbuzeiro";0;0;1;0;0;0;0;0;1
"Total";7;100;112;85;44;18;5;2;373
