 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
Ano Diagnóstico: 2025
UF Residência: Paraíba
Região Res.: Região Nordeste
UF Notificação: Paraíba
Região Not.: Região Nordeste
Período:2025
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Ignorado";"Total"
"250090 Arara";0;0;0;1;0;0;1
"250140 Baía da Traição";0;0;0;1;0;0;1
"250157 Barra de Santana";0;0;0;1;0;0;1
"250180 Bayeux";0;0;0;2;0;0;2
"250205 Bernardino Batista";1;0;0;0;0;0;1
"250300 Caaporã";0;0;0;1;0;0;1
"250320 Cabedelo";2;1;0;3;0;0;6
"250370 Cajazeiras";1;0;0;5;0;0;6
"250400 Campina Grande";21;3;0;30;0;0;54
"250420 Catingueira";0;0;0;1;0;0;1
"250430 Catolé do Rocha";1;0;0;0;0;0;1
"250440 Conceição";0;0;0;1;0;0;1
"250490 Cruz do Espírito Santo";0;0;0;1;0;0;1
"250580 Duas Estradas";1;0;0;0;0;0;1
"250600 Esperança";1;0;0;0;0;0;1
"250690 Itabaiana";0;0;0;2;0;0;2
"250710 Itapororoca";0;1;0;1;0;0;2
"250750 João Pessoa";40;7;13;169;1;1;231
"250770 Juazeirinho";0;0;0;1;0;0;1
"250830 Lagoa Seca";0;0;1;0;0;0;1
"250890 Mamanguape";0;0;0;2;1;0;3
"251080 Patos";5;0;2;19;0;0;26
"251120 Pedras de Fogo";0;0;0;1;0;0;1
"251130 Piancó";0;0;0;1;0;0;1
"251190 Pitimbu";0;0;0;1;0;0;1
"251207 Poço de José de Moura";0;0;0;1;0;0;1
"251230 Princesa Isabel";1;0;0;0;0;0;1
"251370 Santa Rita";2;0;1;16;0;0;19
"251600 Solânea";1;0;0;0;0;0;1
"251620 Sousa";1;0;0;1;0;0;2
"251700 Umbuzeiro";0;0;0;1;0;0;1
"Total";78;12;17;263;2;1;373
