 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
Ano Diagnóstico: 2025
UF Residência: Paraíba
Região Res.: Região Nordeste
UF Notificação: Paraíba
Região Not.: Região Nordeste
Período:2025
"Município (Res)";"Masculino";"Feminino";"Total"
"250090 Arara";1;0;1
"250140 Baía da Traição";1;0;1
"250157 Barra de Santana";1;0;1
"250180 Bayeux";1;1;2
"250205 Bernardino Batista";1;0;1
"250300 Caaporã";1;0;1
"250320 Cabedelo";2;4;6
"250370 Cajazeiras";4;2;6
"250400 Campina Grande";40;14;54
"250420 Catingueira";1;0;1
"250430 Catolé do Rocha";1;0;1
"250440 Conceição";0;1;1
"250490 Cruz do Espírito Santo";1;0;1
"250580 Duas Estradas";1;0;1
"250600 Esperança";1;0;1
"250690 Itabaiana";2;0;2
"250710 Itapororoca";1;1;2
"250750 João Pessoa";182;49;231
"250770 Juazeirinho";0;1;1
"250830 Lagoa Seca";0;1;1
"250890 Mamanguape";2;1;3
"251080 Patos";15;11;26
"251120 Pedras de Fogo";1;0;1
"251130 Piancó";1;0;1
"251190 Pitimbu";1;0;1
"251207 Poço de José de Moura";1;0;1
"251230 Princesa Isabel";0;1;1
"251370 Santa Rita";13;6;19
"251600 Solânea";1;0;1
"251620 Sousa";2;0;2
"251700 Umbuzeiro";1;0;1
"Total";280;93;373
