 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
Ano Diagnóstico: 2015
Ano Notificação: 2015
UF Residência: Pernambuco
Região Res.: Região Nordeste
UF Notificação: Pernambuco
Região Not.: Região Nordeste
Período:2015
"Município (Res)";"< 1 ano";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"260005 Abreu e Lima";0;0;0;0;0;7;4;6;5;0;1;0;23
"260010 Afogados da Ingazeira";0;0;0;0;0;3;4;2;0;0;0;0;9
"260040 Água Preta";1;0;0;0;0;1;0;1;1;0;0;0;4
"260050 Águas Belas";0;0;0;0;0;0;1;0;2;0;0;0;3
"260060 Alagoinha";0;0;0;0;0;1;0;0;0;0;0;0;1
"260070 Aliança";0;0;0;0;0;1;0;5;1;0;0;0;7
"260100 Angelim";0;0;0;0;0;3;0;0;0;0;0;0;3
"260105 Araçoiaba";0;0;0;0;0;0;1;1;0;0;0;0;2
"260120 Arcoverde";0;0;0;0;0;4;4;2;4;0;0;0;14
"260140 Barreiros";0;0;0;0;0;1;0;0;0;0;0;0;1
"260160 Belém de São Francisco";0;0;0;0;0;0;2;0;0;0;0;0;2
"260170 Belo Jardim";0;0;0;0;0;3;0;1;0;0;0;0;4
"260190 Bezerros";0;0;0;0;0;1;1;0;0;0;0;0;2
"260200 Bodocó";0;0;0;0;0;0;0;1;2;0;0;0;3
"260210 Bom Conselho";0;0;0;0;0;0;1;0;0;0;0;0;1
"260220 Bom Jardim";0;0;0;0;0;0;0;2;0;0;0;0;2
"260230 Bonito";0;0;0;0;0;1;0;0;0;0;0;0;1
"260240 Brejão";0;0;0;0;0;0;1;0;0;0;0;0;1
"260260 Brejo da Madre de Deus";1;0;0;0;1;1;1;1;0;0;0;0;5
"260270 Buenos Aires";0;0;0;0;0;1;0;0;0;0;0;0;1
"260290 Cabo de Santo Agostinho";0;0;1;0;2;10;26;20;5;2;0;0;66
"260310 Cachoeirinha";0;0;0;0;0;0;1;0;0;1;0;0;2
"260345 Camaragibe";0;0;0;0;0;13;12;12;3;1;0;0;41
"260400 Carpina";0;0;0;0;0;2;3;0;1;0;0;0;6
"260410 Caruaru";1;0;0;0;1;25;29;16;9;2;0;0;83
"260415 Casinhas";0;0;0;0;0;0;1;0;1;0;0;0;2
"260420 Catende";0;0;0;1;0;0;3;1;2;0;0;0;7
"260440 Chã de Alegria";0;0;0;0;0;0;0;1;0;0;0;0;1
"260460 Condado";0;0;0;0;0;1;1;2;0;0;0;0;4
"260470 Correntes";0;0;0;0;0;0;0;2;0;0;0;0;2
"260480 Cortês";0;0;0;0;0;0;1;0;0;0;0;0;1
"260500 Cupira";0;0;0;0;0;1;0;0;0;0;0;0;1
"260510 Custódia";0;0;0;0;0;0;0;1;0;0;0;0;1
"260520 Escada";0;0;0;0;2;1;3;1;2;2;0;0;11
"260560 Flores";0;0;0;0;0;1;1;0;0;0;0;0;2
"260590 Gameleira";0;0;0;0;0;0;1;0;2;0;0;0;3
"260600 Garanhuns";0;0;0;0;0;2;7;6;4;1;0;1;21
"260620 Goiana";0;1;0;0;1;2;12;5;1;1;0;0;23
"260640 Gravatá";0;0;0;0;1;5;7;1;4;1;0;0;19
"260680 Igarassu";0;0;0;0;0;2;9;3;1;1;0;1;17
"260760 Ilha de Itamaracá";0;0;0;0;0;0;1;0;0;0;0;0;1
"260720 Ipojuca";0;0;0;0;1;3;14;3;1;1;0;0;23
"260730 Ipubi";0;0;0;0;0;1;0;1;0;0;0;0;2
"260765 Itambé";0;1;0;0;0;1;0;0;0;0;0;0;2
"260770 Itapetim";0;0;0;0;0;0;0;0;0;1;0;0;1
"260775 Itapissuma";0;0;0;0;0;1;3;1;0;1;0;0;6
"260780 Itaquitinga";0;0;0;0;0;2;1;0;0;0;0;0;3
"260790 Jaboatão dos Guararapes";1;1;0;0;5;64;56;49;26;8;2;0;212
"260810 João Alfredo";0;0;0;0;0;1;0;0;0;0;0;0;1
"260830 Jupi";0;0;0;0;0;0;1;0;0;0;0;0;1
"260840 Jurema";0;0;0;0;0;0;0;1;0;1;0;0;2
"260845 Lagoa do Carro";0;0;0;0;0;2;0;0;0;0;0;0;2
"260860 Lagoa do Ouro";0;0;0;0;0;0;0;0;1;0;0;0;1
"260875 Lagoa Grande";0;0;0;0;0;0;0;0;0;1;0;0;1
"260880 Lajedo";1;0;0;0;0;2;0;2;2;0;0;0;7
"260890 Limoeiro";0;0;0;0;0;1;4;4;0;0;1;0;10
"260915 Manari";0;0;0;0;0;0;0;0;1;0;0;0;1
"260920 Maraial";0;0;0;0;0;0;0;0;0;1;0;0;1
"260940 Moreno";0;0;0;0;1;0;2;2;1;1;0;0;7
"260950 Nazaré da Mata";0;0;0;0;0;1;3;1;1;0;0;0;6
"260960 Olinda";0;0;0;0;3;18;38;20;11;4;2;0;96
"260980 Orocó";0;0;0;0;0;0;0;1;0;0;0;0;1
"260990 Ouricuri";0;1;0;0;0;1;2;0;0;1;0;0;5
"261000 Palmares";0;0;0;0;1;4;13;4;6;2;0;0;30
"261020 Panelas";0;0;0;0;0;0;1;0;0;0;0;0;1
"261060 Paudalho";0;0;0;0;0;2;0;1;0;0;0;0;3
"261070 Paulista";0;1;0;0;3;14;17;7;12;2;1;1;58
"261080 Pedra";0;0;0;0;0;0;0;1;0;0;0;0;1
"261090 Pesqueira";0;0;0;0;0;1;2;0;0;0;0;0;3
"261110 Petrolina";0;0;0;0;3;13;11;12;5;0;0;0;44
"261130 Pombos";0;0;0;0;0;0;0;0;1;0;0;0;1
"261160 Recife";4;4;1;0;17;183;230;175;89;22;3;0;728
"261180 Ribeirão";1;0;0;0;0;0;2;0;1;1;0;0;5
"261190 Rio Formoso";0;0;0;0;0;0;1;2;1;0;0;0;4
"261210 Salgadinho";0;0;0;0;0;1;0;0;0;0;0;0;1
"261220 Salgueiro";0;0;0;0;0;2;4;4;4;0;0;0;14
"261240 Sanharó";0;0;0;0;0;0;0;0;1;0;0;0;1
"261250 Santa Cruz do Capibaribe";0;0;0;0;1;2;0;1;1;0;0;0;5
"261290 São Benedito do Sul";0;0;0;0;0;0;1;0;0;0;0;0;1
"261300 São Bento do Una";0;0;0;0;0;0;0;0;0;1;0;0;1
"261310 São Caitano";0;0;1;0;0;1;1;0;0;0;0;0;3
"261320 São João";0;0;0;0;1;2;2;0;0;0;0;0;5
"261330 São Joaquim do Monte";0;0;0;0;0;0;0;1;1;0;0;0;2
"261340 São José da Coroa Grande";0;0;0;0;0;0;0;1;0;0;0;0;1
"261370 São Lourenço da Mata";0;0;0;1;1;6;7;4;3;0;0;0;22
"261390 Serra Talhada";0;0;0;0;0;2;2;0;0;0;0;0;4
"261400 Serrita";0;0;0;0;0;0;1;0;0;0;0;0;1
"261420 Sirinhaém";0;0;0;0;0;1;4;0;1;0;0;0;6
"261450 Surubim";0;0;0;0;0;1;0;0;0;0;0;0;1
"261470 Tacaimbó";0;0;0;0;1;0;0;0;0;0;0;0;1
"261485 Tamandaré";1;0;0;0;0;0;1;1;1;0;0;0;4
"261500 Taquaritinga do Norte";0;0;0;0;0;1;1;0;0;0;0;0;2
"261540 Toritama";0;0;0;0;0;0;1;1;0;0;0;0;2
"261550 Tracunhaém";0;0;0;0;0;0;1;0;0;0;0;0;1
"261560 Trindade";0;0;0;0;0;1;1;0;0;0;0;0;2
"261610 Verdejante";0;0;0;0;0;1;0;0;0;0;0;0;1
"261620 Vertentes";0;0;0;0;0;0;2;0;0;0;0;0;2
"261630 Vicência";0;0;0;0;0;0;0;1;0;0;0;0;1
"261640 Vitória de Santo Antão";0;0;0;0;1;8;8;6;2;1;0;0;26
"261650 Xexéu";0;0;0;0;0;0;0;0;1;0;0;0;1
"260000 Município ignorado - PE";0;0;0;0;0;0;2;0;0;0;0;0;2
"Total";11;9;3;2;47;437;578;400;224;61;10;3;1785
