 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
Ano Diagnóstico: 2015
Ano Notificação: 2015
UF Residência: Pernambuco
Região Res.: Região Nordeste
UF Notificação: Pernambuco
Região Not.: Região Nordeste
Período:2015
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Ignorado";"Total"
"260005 Abreu e Lima";3;1;0;19;0;0;23
"260010 Afogados da Ingazeira";0;0;0;8;0;1;9
"260040 Água Preta";0;1;0;3;0;0;4
"260050 Águas Belas";1;0;0;2;0;0;3
"260060 Alagoinha";1;0;0;0;0;0;1
"260070 Aliança";1;0;0;6;0;0;7
"260100 Angelim";1;0;0;2;0;0;3
"260105 Araçoiaba";0;1;0;1;0;0;2
"260120 Arcoverde";2;0;0;11;1;0;14
"260140 Barreiros";0;0;0;1;0;0;1
"260160 Belém de São Francisco";0;0;0;2;0;0;2
"260170 Belo Jardim";0;0;0;4;0;0;4
"260190 Bezerros";0;0;0;2;0;0;2
"260200 Bodocó";1;0;0;2;0;0;3
"260210 Bom Conselho";1;0;0;0;0;0;1
"260220 Bom Jardim";0;0;0;2;0;0;2
"260230 Bonito";0;0;0;1;0;0;1
"260240 Brejão";1;0;0;0;0;0;1
"260260 Brejo da Madre de Deus";1;0;0;4;0;0;5
"260270 Buenos Aires";0;0;0;1;0;0;1
"260290 Cabo de Santo Agostinho";12;2;0;52;0;0;66
"260310 Cachoeirinha";0;0;0;2;0;0;2
"260345 Camaragibe";5;1;0;35;0;0;41
"260400 Carpina";1;0;0;5;0;0;6
"260410 Caruaru";19;1;0;63;0;0;83
"260415 Casinhas";1;0;0;1;0;0;2
"260420 Catende";1;1;0;5;0;0;7
"260440 Chã de Alegria";0;1;0;0;0;0;1
"260460 Condado";0;0;0;3;0;1;4
"260470 Correntes";0;0;0;0;0;2;2
"260480 Cortês";0;0;0;1;0;0;1
"260500 Cupira";0;0;0;1;0;0;1
"260510 Custódia";0;0;0;1;0;0;1
"260520 Escada";3;0;0;8;0;0;11
"260560 Flores";0;0;0;2;0;0;2
"260590 Gameleira";0;0;0;3;0;0;3
"260600 Garanhuns";4;1;0;16;0;0;21
"260620 Goiana";4;0;1;18;0;0;23
"260640 Gravatá";7;2;0;10;0;0;19
"260680 Igarassu";3;0;0;14;0;0;17
"260760 Ilha de Itamaracá";0;0;0;1;0;0;1
"260720 Ipojuca";8;1;0;13;0;1;23
"260730 Ipubi";0;0;0;2;0;0;2
"260765 Itambé";0;0;0;2;0;0;2
"260770 Itapetim";0;0;0;1;0;0;1
"260775 Itapissuma";1;0;0;5;0;0;6
"260780 Itaquitinga";1;0;0;2;0;0;3
"260790 Jaboatão dos Guararapes";33;9;0;168;0;2;212
"260810 João Alfredo";0;0;0;1;0;0;1
"260830 Jupi";1;0;0;0;0;0;1
"260840 Jurema";1;0;0;0;0;1;2
"260845 Lagoa do Carro";1;1;0;0;0;0;2
"260860 Lagoa do Ouro";1;0;0;0;0;0;1
"260875 Lagoa Grande";0;0;0;1;0;0;1
"260880 Lajedo";0;0;0;7;0;0;7
"260890 Limoeiro";4;0;0;6;0;0;10
"260915 Manari";0;0;0;1;0;0;1
"260920 Maraial";0;0;0;1;0;0;1
"260940 Moreno";2;1;0;4;0;0;7
"260950 Nazaré da Mata";2;0;0;4;0;0;6
"260960 Olinda";10;1;2;82;0;1;96
"260980 Orocó";0;0;0;1;0;0;1
"260990 Ouricuri";0;0;0;5;0;0;5
"261000 Palmares";9;1;0;19;0;1;30
"261020 Panelas";0;0;0;1;0;0;1
"261060 Paudalho";0;0;0;3;0;0;3
"261070 Paulista";14;1;0;43;0;0;58
"261080 Pedra";0;0;0;1;0;0;1
"261090 Pesqueira";1;0;0;2;0;0;3
"261110 Petrolina";5;1;0;37;0;1;44
"261130 Pombos";0;0;0;1;0;0;1
"261160 Recife";128;27;7;551;2;13;728
"261180 Ribeirão";1;0;0;4;0;0;5
"261190 Rio Formoso";0;0;0;4;0;0;4
"261210 Salgadinho";0;0;0;1;0;0;1
"261220 Salgueiro";1;1;0;11;1;0;14
"261240 Sanharó";0;0;0;1;0;0;1
"261250 Santa Cruz do Capibaribe";3;0;0;2;0;0;5
"261290 São Benedito do Sul";0;0;0;1;0;0;1
"261300 São Bento do Una";1;0;0;0;0;0;1
"261310 São Caitano";1;0;0;2;0;0;3
"261320 São João";1;0;0;4;0;0;5
"261330 São Joaquim do Monte";1;0;0;1;0;0;2
"261340 São José da Coroa Grande";0;0;0;1;0;0;1
"261370 São Lourenço da Mata";4;0;0;18;0;0;22
"261390 Serra Talhada";0;0;0;4;0;0;4
"261400 Serrita";0;0;0;1;0;0;1
"261420 Sirinhaém";1;0;0;5;0;0;6
"261450 Surubim";0;0;0;1;0;0;1
"261470 Tacaimbó";1;0;0;0;0;0;1
"261485 Tamandaré";0;1;0;3;0;0;4
"261500 Taquaritinga do Norte";1;0;0;1;0;0;2
"261540 Toritama";0;0;0;2;0;0;2
"261550 Tracunhaém";0;1;0;0;0;0;1
"261560 Trindade";0;0;0;2;0;0;2
"261610 Verdejante";0;0;0;1;0;0;1
"261620 Vertentes";0;0;0;2;0;0;2
"261630 Vicência";0;0;0;1;0;0;1
"261640 Vitória de Santo Antão";8;2;0;16;0;0;26
"261650 Xexéu";1;0;0;0;0;0;1
"260000 Município ignorado - PE";0;0;0;1;0;1;2
"Total";320;60;10;1366;4;25;1785
