 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
Ano Diagnóstico: 2016
Ano Notificação: 2016
UF Residência: Pernambuco
Região Res.: Região Nordeste
UF Notificação: Pernambuco
Região Not.: Região Nordeste
Período:2016
"Município (Res)";"Masculino";"Feminino";"Total"
"260005 Abreu e Lima";21;7;28
"260010 Afogados da Ingazeira";6;0;6
"260030 Agrestina";0;2;2
"260040 Água Preta";3;1;4
"260050 Águas Belas";0;2;2
"260070 Aliança";3;1;4
"260090 Amaraji";1;2;3
"260100 Angelim";2;0;2
"260105 Araçoiaba";1;0;1
"260110 Araripina";0;1;1
"260120 Arcoverde";8;3;11
"260140 Barreiros";1;2;3
"260150 Belém de Maria";1;0;1
"260160 Belém de São Francisco";1;0;1
"260170 Belo Jardim";5;1;6
"260190 Bezerros";3;0;3
"260200 Bodocó";1;0;1
"260210 Bom Conselho";1;0;1
"260220 Bom Jardim";1;0;1
"260230 Bonito";2;1;3
"260240 Brejão";2;0;2
"260260 Brejo da Madre de Deus";0;1;1
"260270 Buenos Aires";1;0;1
"260280 Buíque";2;0;2
"260290 Cabo de Santo Agostinho";43;22;65
"260320 Caetés";1;0;1
"260345 Camaragibe";28;15;43
"260350 Camocim de São Félix";0;1;1
"260370 Canhotinho";6;0;6
"260400 Carpina";6;5;11
"260410 Caruaru";71;26;97
"260420 Catende";1;0;1
"260440 Chã de Alegria";0;1;1
"260450 Chã Grande";3;0;3
"260460 Condado";2;1;3
"260480 Cortês";2;1;3
"260490 Cumaru";2;0;2
"260500 Cupira";0;1;1
"260520 Escada";10;7;17
"260540 Feira Nova";1;1;2
"260590 Gameleira";2;3;5
"260600 Garanhuns";27;3;30
"260610 Glória do Goitá";1;0;1
"260620 Goiana";5;5;10
"260640 Gravatá";10;3;13
"260660 Ibimirim";1;0;1
"260680 Igarassu";24;8;32
"260760 Ilha de Itamaracá";2;1;3
"260720 Ipojuca";18;15;33
"260750 Itaíba";2;0;2
"260765 Itambé";0;2;2
"260770 Itapetim";0;1;1
"260775 Itapissuma";0;1;1
"260790 Jaboatão dos Guararapes";133;59;192
"260800 Jataúba";1;0;1
"260840 Jurema";0;2;2
"260850 Lagoa do Itaenga";1;0;1
"260860 Lagoa do Ouro";1;0;1
"260870 Lagoa dos Gatos";1;0;1
"260880 Lajedo";2;0;2
"260890 Limoeiro";8;5;13
"260900 Macaparana";1;0;1
"260920 Maraial";0;1;1
"260930 Mirandiba";1;0;1
"261430 Moreilândia";1;0;1
"260940 Moreno";3;2;5
"260950 Nazaré da Mata";2;2;4
"260960 Olinda";71;36;107
"260990 Ouricuri";4;3;7
"261000 Palmares";11;9;20
"261020 Panelas";0;1;1
"261060 Paudalho";0;1;1
"261070 Paulista";44;25;69
"261080 Pedra";0;1;1
"261090 Pesqueira";4;0;4
"261110 Petrolina";46;23;69
"261140 Primavera";1;1;2
"261160 Recife";526;243;769
"261180 Ribeirão";2;4;6
"261190 Rio Formoso";1;3;4
"261220 Salgueiro";2;2;4
"261230 Saloá";1;0;1
"261240 Sanharó";2;0;2
"261250 Santa Cruz do Capibaribe";2;1;3
"261260 Santa Maria da Boa Vista";0;1;1
"261270 Santa Maria do Cambucá";1;0;1
"261300 São Bento do Una";1;3;4
"261310 São Caitano";2;3;5
"261330 São Joaquim do Monte";2;1;3
"261340 São José da Coroa Grande";4;0;4
"261350 São José do Belmonte";0;1;1
"261370 São Lourenço da Mata";13;4;17
"261380 São Vicente Ferrer";0;1;1
"261390 Serra Talhada";4;0;4
"261400 Serrita";1;0;1
"261410 Sertânia";2;0;2
"261420 Sirinhaém";3;1;4
"261450 Surubim";2;1;3
"261500 Taquaritinga do Norte";2;1;3
"261530 Timbaúba";2;1;3
"261540 Toritama";0;1;1
"261550 Tracunhaém";1;1;2
"261560 Trindade";4;0;4
"261570 Triunfo";2;0;2
"261620 Vertentes";2;0;2
"261630 Vicência";0;2;2
"261640 Vitória de Santo Antão";15;10;25
"261650 Xexéu";2;1;3
"260000 Município ignorado - PE";2;0;2
"Total";1273;604;1877
