 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
Ano Diagnóstico: 2017
Ano Notificação: 2017
Região Res.: Região Nordeste
UF Notificação: Pernambuco
Região Not.: Região Nordeste
Período:2017
"Município (Res)";"< 1 ano";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"260005 Abreu e Lima";1;0;0;0;0;6;6;9;1;0;0;0;23
"260010 Afogados da Ingazeira";0;0;0;0;0;0;4;2;2;0;0;0;8
"260020 Afrânio";0;0;0;0;0;0;0;1;0;0;0;0;1
"260030 Agrestina";0;0;0;0;0;0;3;0;0;0;0;0;3
"260040 Água Preta";0;0;0;0;0;1;0;3;1;0;0;0;5
"260050 Águas Belas";0;0;0;0;0;0;1;0;0;0;0;0;1
"260070 Aliança";0;1;0;0;1;0;3;2;0;0;0;0;7
"260090 Amaraji";0;0;0;0;0;0;2;3;0;0;0;0;5
"260100 Angelim";0;0;0;0;0;1;0;1;0;0;0;0;2
"260110 Araripina";0;0;0;0;0;0;0;1;1;0;0;0;2
"260120 Arcoverde";0;0;0;0;0;5;2;3;3;1;0;0;14
"260140 Barreiros";0;0;0;0;0;1;0;0;0;0;0;0;1
"260160 Belém de São Francisco";0;0;0;0;0;0;1;0;0;1;0;0;2
"260170 Belo Jardim";0;0;0;0;0;5;3;3;0;1;0;0;12
"260190 Bezerros";0;0;0;0;0;1;1;3;0;1;0;0;6
"260220 Bom Jardim";0;0;0;0;0;1;1;1;0;0;0;0;3
"260230 Bonito";0;0;0;0;0;1;0;0;0;0;0;0;1
"260260 Brejo da Madre de Deus";0;0;0;0;0;0;3;1;0;0;0;0;4
"260270 Buenos Aires";0;0;0;0;0;3;0;0;0;0;0;0;3
"260280 Buíque";0;0;0;0;0;0;0;0;0;1;0;0;1
"260290 Cabo de Santo Agostinho";0;0;0;1;0;10;22;14;7;2;2;0;58
"260310 Cachoeirinha";0;0;0;0;0;0;0;1;1;0;0;0;2
"260320 Caetés";0;0;0;0;0;0;1;0;0;0;0;0;1
"260340 Calumbi";0;0;0;0;0;0;0;1;0;0;0;0;1
"260345 Camaragibe";2;1;0;1;1;8;9;10;6;1;0;0;39
"260350 Camocim de São Félix";0;0;0;0;0;0;1;0;0;0;0;0;1
"260370 Canhotinho";0;0;0;0;1;1;1;1;0;0;0;0;4
"260400 Carpina";0;0;0;0;1;3;2;4;2;0;1;0;13
"260410 Caruaru";1;0;1;0;2;29;23;17;13;5;2;0;93
"260415 Casinhas";0;0;0;0;0;1;0;0;0;0;0;0;1
"260420 Catende";0;0;0;0;1;1;2;3;1;0;0;0;8
"260430 Cedro";0;0;0;0;0;0;0;0;1;0;0;0;1
"260440 Chã de Alegria";0;0;0;0;0;0;0;1;1;0;0;0;2
"260460 Condado";0;1;0;0;0;2;1;0;1;0;0;0;5
"260470 Correntes";0;0;0;0;0;1;0;1;0;0;0;0;2
"260490 Cumaru";0;0;0;0;0;0;1;0;0;0;0;0;1
"260500 Cupira";0;0;0;0;0;0;0;1;0;1;0;0;2
"260520 Escada";0;0;0;0;2;3;8;5;1;2;0;0;21
"260540 Feira Nova";0;0;0;0;0;0;0;1;1;0;0;0;2
"260545 Fernando de Noronha";0;0;0;0;0;0;0;1;0;0;0;0;1
