 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
Ano Diagnóstico: 2017
Ano Notificação: 2017
Região Res.: Região Nordeste
UF Notificação: Pernambuco
Região Not.: Região Nordeste
Período:2017
"Município (Res)";"Masculino";"Feminino";"Total"
"260005 Abreu e Lima";17;6;23
"260010 Afogados da Ingazeira";7;1;8
"260020 Afrânio";0;1;1
"260030 Agrestina";2;1;3
"260040 Água Preta";2;3;5
"260050 Águas Belas";0;1;1
"260070 Aliança";6;1;7
"260090 Amaraji";2;3;5
"260100 Angelim";2;0;2
"260110 Araripina";1;1;2
"260120 Arcoverde";11;3;14
"260140 Barreiros";1;0;1
"260160 Belém de São Francisco";2;0;2
"260170 Belo Jardim";8;4;12
"260190 Bezerros";5;1;6
"260220 Bom Jardim";2;1;3
"260230 Bonito";1;0;1
"260260 Brejo da Madre de Deus";3;1;4
"260270 Buenos Aires";0;3;3
"260280 Buíque";0;1;1
"260290 Cabo de Santo Agostinho";32;26;58
"260310 Cachoeirinha";1;1;2
"260320 Caetés";1;0;1
"260340 Calumbi";1;0;1
"260345 Camaragibe";27;12;39
"260350 Camocim de São Félix";1;0;1
"260370 Canhotinho";4;0;4
"260400 Carpina";9;4;13
"260410 Caruaru";68;25;93
"260415 Casinhas";1;0;1
"260420 Catende";6;2;8
"260430 Cedro";1;0;1
"260440 Chã de Alegria";1;1;2
"260460 Condado";4;1;5
"260470 Correntes";1;1;2
"260490 Cumaru";0;1;1
"260500 Cupira";1;1;2
"260520 Escada";13;8;21
"260540 Feira Nova";0;2;2
"260545 Fernando de Noronha";1;0;1
"260560 Flores";1;0;1
"260580 Frei Miguelinho";0;1;1
"260590 Gameleira";2;0;2
"260600 Garanhuns";18;4;22
"260620 Goiana";11;8;19
"260630 Granito";1;1;2
"260640 Gravatá";7;1;8
"260650 Iati";1;0;1
"260660 Ibimirim";0;1;1
"260680 Igarassu";27;10;37
"260760 Ilha de Itamaracá";0;1;1
"260700 Inajá";1;0;1
"260720 Ipojuca";7;15;22
"260740 Itacuruba";1;0;1
"260765 Itambé";3;1;4
"260770 Itapetim";1;0;1
"260775 Itapissuma";1;1;2
"260780 Itaquitinga";2;1;3
"260790 Jaboatão dos Guararapes";82;47;129
"260800 Jataúba";1;0;1
"260810 João Alfredo";0;1;1
"260830 Jupi";1;0;1
"260840 Jurema";0;1;1
"260850 Lagoa do Itaenga";1;0;1
"260860 Lagoa do Ouro";1;0;1
"260870 Lagoa dos Gatos";1;0;1
"260890 Limoeiro";13;5;18
"260900 Macaparana";2;0;2
"260920 Maraial";1;0;1
"260940 Moreno";5;4;9
"260950 Nazaré da Mata";1;2;3
"260960 Olinda";86;43;129
"260990 Ouricuri";9;1;10
"261000 Palmares";4;8;12
"261030 Paranatama";1;0;1
"261050 Passira";2;0;2
"261060 Paudalho";1;2;3
"261070 Paulista";52;17;69
"261080 Pedra";1;1;2
"261090 Pesqueira";2;0;2
"261100 Petrolândia";2;0;2
"261110 Petrolina";56;12;68
"261140 Primavera";1;3;4
"261150 Quipapá";1;0;1
"261160 Recife";542;220;762
"261180 Ribeirão";3;2;5
"261190 Rio Formoso";2;1;3
"261220 Salgueiro";9;6;15
"261250 Santa Cruz do Capibaribe";3;2;5
"261270 Santa Maria do Cambucá";0;2;2
"261300 São Bento do Una";1;1;2
"261310 São Caitano";1;1;2
"261320 São João";1;0;1
"261340 São José da Coroa Grande";0;1;1
"261350 São José do Belmonte";0;2;2
"261370 São Lourenço da Mata";9;9;18
"261390 Serra Talhada";4;4;8
"261420 Sirinhaém";2;2;4
"261460 Tabira";1;0;1
"261480 Tacaratu";1;0;1
"261485 Tamandaré";2;1;3
"261500 Taquaritinga do Norte";2;1;3
"261530 Timbaúba";2;3;5
"261540 Toritama";2;0;2
"261560 Trindade";0;1;1
"261620 Vertentes";3;0;3
"261640 Vitória de Santo Antão";25;12;37
"261650 Xexéu";1;0;1
"260000 Município ignorado - PE";1;0;1
"Total";1273;580;1853
