 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
Ano Diagnóstico: 2018
UF Residência: Pernambuco
Região Res.: Região Nordeste
UF Notificação: Pernambuco
Região Not.: Região Nordeste
Período:2018
"Município (Res)";"< 1 ano";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"260005 Abreu e Lima";0;0;0;0;0;5;10;8;9;2;0;0;34
"260010 Afogados da Ingazeira";0;0;0;0;0;2;1;1;1;0;0;0;5
"260030 Agrestina";0;0;0;0;0;0;1;0;0;1;0;0;2
"260040 Água Preta";0;0;0;0;0;1;0;0;1;0;0;0;2
"260050 Águas Belas";0;0;0;0;0;0;0;0;1;0;0;0;1
"260070 Aliança";0;0;0;0;1;2;2;0;1;0;0;0;6
"260090 Amaraji";0;0;0;0;0;1;0;0;1;1;0;0;3
"260100 Angelim";0;0;0;0;1;4;0;0;0;0;0;0;5
"260110 Araripina";0;0;0;0;0;0;1;0;0;1;0;0;2
"260120 Arcoverde";0;0;0;0;1;3;5;2;1;1;0;0;13
"260140 Barreiros";0;0;0;0;0;0;1;2;2;1;0;0;6
"260150 Belém de Maria";0;0;0;0;0;0;0;1;0;0;0;0;1
"260170 Belo Jardim";0;0;0;0;0;0;2;1;1;0;0;0;4
"260180 Betânia";0;0;0;0;0;1;0;0;0;0;0;0;1
"260190 Bezerros";0;0;0;0;0;0;1;0;0;0;0;0;1
"260240 Brejão";0;0;0;0;0;1;0;0;0;0;0;0;1
"260260 Brejo da Madre de Deus";0;0;0;0;0;0;1;1;0;0;0;0;2
"260270 Buenos Aires";0;0;0;0;1;0;0;1;0;0;0;0;2
"260290 Cabo de Santo Agostinho";0;0;0;0;4;16;27;19;7;2;0;0;75
"260310 Cachoeirinha";0;0;0;0;0;0;2;0;0;0;0;0;2
"260345 Camaragibe";0;0;0;0;1;8;7;10;2;0;0;0;28
"260350 Camocim de São Félix";0;0;0;0;0;0;1;0;0;0;0;0;1
"260370 Canhotinho";0;0;0;0;0;1;0;0;0;0;0;0;1
"260400 Carpina";0;0;0;0;0;4;4;4;1;0;0;0;13
"260410 Caruaru";0;0;0;0;1;21;25;28;11;8;2;0;96
"260415 Casinhas";0;0;0;0;0;0;0;0;0;1;0;0;1
"260420 Catende";0;0;0;0;0;1;0;3;1;1;0;0;6
"260460 Condado";0;0;0;0;0;0;0;0;0;1;0;0;1
"260470 Correntes";1;0;0;0;1;0;0;1;1;0;0;0;4
"260490 Cumaru";0;0;0;0;0;0;1;0;0;0;0;0;1
"260500 Cupira";0;0;0;0;0;1;0;0;0;0;0;0;1
"260510 Custódia";0;0;0;0;0;0;0;0;1;0;0;0;1
"260515 Dormentes";0;0;0;0;0;0;0;1;0;0;0;0;1
"260520 Escada";2;0;0;0;0;2;5;5;0;0;0;0;14
"260530 Exu";0;0;0;0;0;0;1;0;0;0;0;0;1
"260570 Floresta";0;0;0;0;0;1;0;0;1;0;0;0;2
"260590 Gameleira";0;0;0;0;0;0;0;1;0;0;0;0;1
"260600 Garanhuns";0;0;0;0;1;7;12;2;0;1;0;0;23
"260610 Glória do Goitá";0;0;0;0;0;0;0;2;0;0;0;0;2
"260620 Goiana";0;0;0;0;0;2;9;6;6;0;0;0;23
"260640 Gravatá";0;0;0;0;0;0;2;1;1;0;0;0;4
"260660 Ibimirim";0;0;0;0;0;0;1;0;0;0;0;0;1
"260680 Igarassu";0;0;0;0;0;8;12;13;8;0;0;0;41
"260760 Ilha de Itamaracá";0;0;0;0;0;2;3;0;1;0;0;0;6
"260720 Ipojuca";1;1;0;0;1;7;12;12;5;0;0;0;39
"260765 Itambé";0;0;0;0;0;1;0;0;0;0;0;0;1
"260770 Itapetim";0;1;0;0;0;0;0;0;0;0;0;0;1
"260775 Itapissuma";0;0;0;0;0;0;1;1;1;0;1;0;4
"260790 Jaboatão dos Guararapes";0;0;0;1;5;44;37;43;14;8;3;0;155
"260820 Joaquim Nabuco";0;0;0;0;0;0;2;1;0;0;0;0;3
"260830 Jupi";0;0;0;0;0;0;1;0;0;0;0;0;1
"260840 Jurema";0;0;0;0;0;0;0;1;0;1;0;0;2
"260860 Lagoa do Ouro";0;0;0;0;0;1;0;0;0;0;0;0;1
"260870 Lagoa dos Gatos";0;0;0;0;0;2;0;0;0;0;0;0;2
"260875 Lagoa Grande";0;0;0;0;0;1;0;0;0;1;0;0;2
"260880 Lajedo";0;0;0;0;0;0;0;1;0;2;0;0;3
"260890 Limoeiro";0;0;0;0;1;6;9;4;3;0;0;0;23
"260900 Macaparana";0;0;0;0;0;1;0;0;1;0;0;0;2
"260930 Mirandiba";0;0;0;0;0;0;1;0;0;0;0;0;1
"260940 Moreno";0;0;0;0;0;0;1;1;0;1;0;0;3
"260950 Nazaré da Mata";0;0;0;0;0;0;1;4;2;0;0;0;7
"260960 Olinda";0;0;0;0;2;24;28;18;12;8;0;0;92
"260970 Orobó";0;0;0;0;0;0;0;1;0;0;0;0;1
"260990 Ouricuri";0;0;0;0;0;3;4;5;1;1;0;0;14
"261000 Palmares";0;0;0;0;0;4;10;11;4;3;0;0;32
"261020 Panelas";0;0;0;0;0;0;0;1;0;0;0;0;1
"261030 Paranatama";0;0;0;0;0;0;0;0;0;1;0;0;1
"261040 Parnamirim";0;0;0;0;0;0;2;2;1;0;0;0;5
"261060 Paudalho";0;0;0;0;0;0;1;1;0;0;0;0;2
"261070 Paulista";0;0;0;0;1;9;16;16;5;2;0;1;50
"261080 Pedra";0;0;0;0;0;0;0;2;0;0;0;0;2
"261100 Petrolândia";0;0;0;0;0;0;1;0;0;0;0;0;1
"261110 Petrolina";0;1;0;0;1;19;22;15;7;3;0;0;68
"261140 Primavera";0;0;0;0;0;0;0;0;1;0;0;0;1
"261150 Quipapá";0;0;0;0;0;1;1;0;0;0;0;0;2
"261153 Quixaba";0;0;0;0;0;0;0;1;0;0;0;0;1
"261160 Recife";4;2;1;3;15;191;216;185;111;30;2;1;761
"261180 Ribeirão";0;0;0;0;0;1;2;2;1;0;0;0;6
"261190 Rio Formoso";0;0;0;0;0;0;2;0;0;0;0;0;2
"261200 Sairé";0;0;0;0;0;0;0;0;0;0;0;1;1
"261220 Salgueiro";0;0;0;0;0;2;4;2;2;0;0;0;10
"261240 Sanharó";0;0;1;0;0;0;0;0;0;0;0;0;1
"261247 Santa Cruz da Baixa Verde";0;0;0;0;0;0;1;0;0;0;0;0;1
"261250 Santa Cruz do Capibaribe";1;0;0;0;0;3;2;5;1;0;1;0;13
"261300 São Bento do Una";0;0;0;0;0;2;3;1;0;0;1;0;7
"261310 São Caitano";0;0;0;0;0;0;1;0;0;1;0;0;2
"261320 São João";0;0;0;0;0;0;1;1;0;0;0;0;2
"261330 São Joaquim do Monte";0;0;0;0;0;0;0;0;0;1;0;0;1
"261340 São José da Coroa Grande";0;0;0;0;0;1;1;0;0;0;0;0;2
"261350 São José do Belmonte";0;0;0;0;0;0;0;1;0;1;0;0;2
"261370 São Lourenço da Mata";0;1;0;0;1;5;4;7;3;1;0;0;22
"261390 Serra Talhada";0;0;0;0;1;1;1;3;0;2;0;0;8
"261410 Sertânia";0;0;0;0;0;0;1;0;0;0;0;0;1
"261420 Sirinhaém";0;0;0;0;1;0;1;2;1;0;0;0;5
"261450 Surubim";0;0;0;0;0;0;2;0;1;0;0;0;3
"261460 Tabira";0;0;0;0;0;0;2;0;0;0;0;0;2
"261470 Tacaimbó";0;0;0;0;0;0;1;0;2;0;0;0;3
"261480 Tacaratu";0;0;0;0;0;1;0;0;0;0;0;0;1
"261485 Tamandaré";0;0;0;0;0;0;2;0;1;0;0;0;3
"261530 Timbaúba";0;0;0;0;0;2;1;2;0;0;0;0;5
"261540 Toritama";0;0;0;0;0;2;3;0;0;0;0;0;5
"261560 Trindade";0;0;0;0;0;2;1;1;1;0;1;0;6
"261610 Verdejante";0;1;0;0;0;0;0;0;0;0;0;0;1
"261620 Vertentes";0;0;0;0;0;0;0;1;0;0;0;0;1
"261630 Vicência";0;0;0;0;0;0;1;0;0;1;0;0;2
"261640 Vitória de Santo Antão";0;0;0;0;1;5;11;10;0;1;0;0;28
"261650 Xexéu";0;0;0;0;0;1;1;0;0;0;0;0;2
"260000 Município ignorado - PE";1;0;0;0;0;0;1;0;0;0;0;0;2
"Total";10;7;2;4;42;436;553;477;240;90;11;3;1875
