 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
Ano Diagnóstico: 2018
UF Residência: Pernambuco
Região Res.: Região Nordeste
UF Notificação: Pernambuco
Região Not.: Região Nordeste
Período:2018
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Ignorado";"Total"
"260005 Abreu e Lima";5;4;0;24;0;1;34
"260010 Afogados da Ingazeira";0;0;0;5;0;0;5
"260030 Agrestina";0;0;0;2;0;0;2
"260040 Água Preta";0;0;0;2;0;0;2
"260050 Águas Belas";0;0;0;1;0;0;1
"260070 Aliança";0;0;0;6;0;0;6
"260090 Amaraji";2;0;0;1;0;0;3
"260100 Angelim";0;0;0;5;0;0;5
"260110 Araripina";0;0;0;2;0;0;2
"260120 Arcoverde";0;0;0;13;0;0;13
"260140 Barreiros";2;0;0;4;0;0;6
"260150 Belém de Maria";0;0;0;1;0;0;1
"260170 Belo Jardim";0;0;0;4;0;0;4
"260180 Betânia";1;0;0;0;0;0;1
"260190 Bezerros";0;0;0;1;0;0;1
"260240 Brejão";0;0;0;1;0;0;1
"260260 Brejo da Madre de Deus";1;0;0;1;0;0;2
"260270 Buenos Aires";0;0;0;2;0;0;2
"260290 Cabo de Santo Agostinho";12;5;0;57;0;1;75
"260310 Cachoeirinha";1;1;0;0;0;0;2
"260345 Camaragibe";1;0;0;27;0;0;28
"260350 Camocim de São Félix";1;0;0;0;0;0;1
"260370 Canhotinho";0;0;0;1;0;0;1
"260400 Carpina";0;0;0;13;0;0;13
"260410 Caruaru";11;0;0;85;0;0;96
"260415 Casinhas";1;0;0;0;0;0;1
"260420 Catende";2;1;0;3;0;0;6
"260460 Condado";1;0;0;0;0;0;1
"260470 Correntes";0;0;0;4;0;0;4
"260490 Cumaru";1;0;0;0;0;0;1
"260500 Cupira";0;0;0;1;0;0;1
"260510 Custódia";0;0;0;1;0;0;1
"260515 Dormentes";0;0;0;1;0;0;1
"260520 Escada";5;1;0;8;0;0;14
"260530 Exu";0;0;0;1;0;0;1
"260570 Floresta";0;0;0;2;0;0;2
"260590 Gameleira";0;0;0;1;0;0;1
"260600 Garanhuns";3;1;0;19;0;0;23
"260610 Glória do Goitá";1;0;0;1;0;0;2
"260620 Goiana";2;2;0;19;0;0;23
"260640 Gravatá";2;0;0;2;0;0;4
"260660 Ibimirim";0;0;0;1;0;0;1
"260680 Igarassu";2;1;1;37;0;0;41
"260760 Ilha de Itamaracá";0;1;0;5;0;0;6
"260720 Ipojuca";6;3;1;29;0;0;39
"260765 Itambé";0;0;0;1;0;0;1
"260770 Itapetim";1;0;0;0;0;0;1
"260775 Itapissuma";2;0;0;2;0;0;4
"260790 Jaboatão dos Guararapes";28;8;1;116;1;1;155
"260820 Joaquim Nabuco";1;0;0;2;0;0;3
"260830 Jupi";1;0;0;0;0;0;1
"260840 Jurema";1;0;0;1;0;0;2
"260860 Lagoa do Ouro";0;0;0;1;0;0;1
"260870 Lagoa dos Gatos";0;0;0;2;0;0;2
"260875 Lagoa Grande";0;0;0;2;0;0;2
"260880 Lajedo";0;0;0;3;0;0;3
"260890 Limoeiro";4;1;0;18;0;0;23
"260900 Macaparana";0;0;0;2;0;0;2
"260930 Mirandiba";0;1;0;0;0;0;1
"260940 Moreno";2;0;0;1;0;0;3
"260950 Nazaré da Mata";0;1;0;6;0;0;7
"260960 Olinda";7;2;1;81;0;1;92
"260970 Orobó";0;0;0;1;0;0;1
"260990 Ouricuri";1;0;1;12;0;0;14
"261000 Palmares";3;0;0;29;0;0;32
"261020 Panelas";1;0;0;0;0;0;1
"261030 Paranatama";0;0;0;1;0;0;1
"261040 Parnamirim";3;0;0;2;0;0;5
"261060 Paudalho";0;0;0;2;0;0;2
"261070 Paulista";6;3;0;41;0;0;50
"261080 Pedra";0;0;0;2;0;0;2
"261100 Petrolândia";1;0;0;0;0;0;1
"261110 Petrolina";2;0;0;65;0;1;68
"261140 Primavera";0;0;0;1;0;0;1
"261150 Quipapá";0;0;0;2;0;0;2
"261153 Quixaba";0;0;0;1;0;0;1
"261160 Recife";166;40;4;543;1;7;761
"261180 Ribeirão";0;1;0;5;0;0;6
"261190 Rio Formoso";1;0;0;1;0;0;2
"261200 Sairé";1;0;0;0;0;0;1
"261220 Salgueiro";1;1;0;7;1;0;10
"261240 Sanharó";0;0;0;1;0;0;1
"261247 Santa Cruz da Baixa Verde";0;0;0;1;0;0;1
"261250 Santa Cruz do Capibaribe";1;0;0;12;0;0;13
"261300 São Bento do Una";0;0;1;6;0;0;7
"261310 São Caitano";2;0;0;0;0;0;2
"261320 São João";1;0;0;1;0;0;2
"261330 São Joaquim do Monte";0;0;0;1;0;0;1
"261340 São José da Coroa Grande";1;0;0;1;0;0;2
"261350 São José do Belmonte";0;0;0;2;0;0;2
"261370 São Lourenço da Mata";2;0;0;20;0;0;22
"261390 Serra Talhada";1;0;0;7;0;0;8
"261410 Sertânia";1;0;0;0;0;0;1
"261420 Sirinhaém";2;0;0;3;0;0;5
"261450 Surubim";1;0;0;2;0;0;3
"261460 Tabira";0;0;0;2;0;0;2
"261470 Tacaimbó";2;0;0;1;0;0;3
"261480 Tacaratu";0;0;0;1;0;0;1
"261485 Tamandaré";0;0;0;3;0;0;3
"261530 Timbaúba";1;0;0;4;0;0;5
"261540 Toritama";2;0;0;3;0;0;5
"261560 Trindade";0;0;1;5;0;0;6
"261610 Verdejante";1;0;0;0;0;0;1
"261620 Vertentes";0;0;0;1;0;0;1
"261630 Vicência";0;0;0;2;0;0;2
"261640 Vitória de Santo Antão";3;1;0;24;0;0;28
"261650 Xexéu";0;0;0;2;0;0;2
"260000 Município ignorado - PE";0;0;0;1;0;1;2
"Total";317;79;11;1452;3;13;1875
