 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
Ano Diagnóstico: 2019
UF Residência: Pernambuco
Região Res.: Região Nordeste
UF Notificação: Pernambuco
Região Not.: Região Nordeste
Período:2019
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"Total"
"260005 Abreu e Lima";0;1;1;4;0;3;4;0;0;13
"260010 Afogados da Ingazeira";0;0;1;0;0;0;2;0;1;4
"260040 Água Preta";1;0;0;0;0;1;0;0;0;2
"260050 Águas Belas";0;0;1;1;0;0;1;0;0;3
"260070 Aliança";1;1;0;0;1;0;1;0;0;4
"260090 Amaraji";1;1;1;0;0;0;0;0;0;3
"260120 Arcoverde";0;0;0;2;2;3;2;0;0;9
"260130 Barra de Guabiraba";0;1;0;0;0;0;0;0;0;1
"260140 Barreiros";0;1;0;0;1;0;0;0;0;2
"260160 Belém de São Francisco";0;1;0;1;0;0;0;0;0;2
"260170 Belo Jardim";0;3;0;1;1;0;0;0;1;6
"260190 Bezerros";1;0;0;1;1;0;0;0;0;3
"260210 Bom Conselho";0;0;2;0;0;0;0;0;0;2
"260220 Bom Jardim";0;0;0;1;0;0;0;0;0;1
"260230 Bonito";0;0;0;0;0;1;0;0;0;1
"260240 Brejão";0;1;0;0;0;0;0;0;0;1
"260260 Brejo da Madre de Deus";0;0;0;2;0;0;0;0;0;2
"260290 Cabo de Santo Agostinho";1;1;3;17;5;6;12;0;2;47
"260300 Cabrobó";0;0;1;0;0;0;1;0;0;2
"260345 Camaragibe";1;4;1;5;3;2;9;0;6;31
"260350 Camocim de São Félix";0;0;0;1;0;0;0;0;0;1
"260370 Canhotinho";0;0;0;0;0;1;0;0;0;1
"260400 Carpina";0;2;4;2;2;3;4;0;0;17
"260410 Caruaru";2;14;3;29;7;8;14;3;14;94
"260415 Casinhas";0;0;0;0;1;0;0;1;0;2
"260420 Catende";0;0;0;1;0;0;1;0;0;2
"260440 Chã de Alegria";0;0;0;0;0;0;0;0;1;1
"260460 Condado";1;0;1;1;0;0;0;0;0;3
"260470 Correntes";0;0;0;0;0;0;0;0;1;1
"260480 Cortês";0;0;1;0;0;1;0;0;0;2
"260490 Cumaru";0;1;0;0;0;0;0;0;0;1
"260500 Cupira";0;0;0;1;1;0;0;0;0;2
"260520 Escada";1;5;3;2;2;2;0;0;0;15
"260560 Flores";0;0;0;1;0;0;2;0;0;3
"260590 Gameleira";0;0;0;1;0;1;0;1;0;3
"260600 Garanhuns";0;1;1;4;6;4;2;1;3;22
"260620 Goiana";3;5;3;12;0;0;1;0;1;25
"260640 Gravatá";2;1;2;1;0;0;2;0;0;8
"260680 Igarassu";0;3;2;2;0;6;2;1;3;19
"260720 Ipojuca";1;4;6;3;2;3;4;0;1;24
"260750 Itaíba";0;0;1;0;1;0;1;0;0;3
"260765 Itambé";0;1;0;0;0;0;0;0;0;1
"260775 Itapissuma";0;0;1;1;0;1;0;0;0;3
"260790 Jaboatão dos Guararapes";6;16;4;37;10;12;39;10;10;144
"260805 Jatobá";0;0;0;0;1;0;0;0;0;1
"260825 Jucati";0;0;1;0;0;0;0;0;0;1
"260830 Jupi";0;1;0;0;0;0;0;0;0;1
"260845 Lagoa do Carro";0;0;0;0;0;1;0;0;0;1
