 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
Ano Diagnóstico: 2019
UF Residência: Pernambuco
Região Res.: Região Nordeste
UF Notificação: Pernambuco
Região Not.: Região Nordeste
Período:2019
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Ignorado";"Total"
"260005 Abreu e Lima";2;2;0;19;0;0;23
"260010 Afogados da Ingazeira";1;0;0;5;0;0;6
"260040 Água Preta";1;0;0;1;0;0;2
"260050 Águas Belas";0;0;0;3;0;0;3
"260060 Alagoinha";0;0;0;1;0;0;1
"260070 Aliança";0;0;0;4;0;0;4
"260090 Amaraji";1;0;0;2;0;0;3
"260100 Angelim";1;0;0;1;0;0;2
"260105 Araçoiaba";0;0;0;1;0;0;1
"260110 Araripina";0;0;0;2;0;0;2
"260120 Arcoverde";2;0;0;7;0;0;9
"260130 Barra de Guabiraba";1;0;0;0;0;0;1
"260140 Barreiros";0;0;0;2;0;0;2
"260160 Belém de São Francisco";0;0;0;3;0;0;3
"260170 Belo Jardim";0;0;1;6;0;0;7
"260190 Bezerros";0;0;0;3;0;0;3
"260210 Bom Conselho";0;0;0;2;0;0;2
"260220 Bom Jardim";0;0;0;1;0;0;1
"260230 Bonito";0;0;0;2;0;0;2
"260240 Brejão";0;0;0;1;0;0;1
"260260 Brejo da Madre de Deus";1;0;0;2;0;0;3
"260270 Buenos Aires";0;1;0;0;0;0;1
"260290 Cabo de Santo Agostinho";6;0;1;48;0;1;56
"260300 Cabrobó";1;0;0;1;0;0;2
"260345 Camaragibe";5;2;0;30;0;0;37
"260350 Camocim de São Félix";0;0;0;3;0;0;3
"260370 Canhotinho";0;0;0;2;0;0;2
"260380 Capoeiras";0;0;0;1;0;0;1
"260400 Carpina";0;1;0;18;0;0;19
"260410 Caruaru";18;0;1;91;0;0;110
"260415 Casinhas";2;0;0;0;0;0;2
"260420 Catende";2;0;0;0;0;0;2
"260440 Chã de Alegria";0;0;0;1;0;0;1
"260460 Condado";0;0;0;4;0;0;4
"260470 Correntes";1;0;0;1;0;0;2
"260480 Cortês";0;0;0;2;0;0;2
"260490 Cumaru";2;0;0;0;0;0;2
"260500 Cupira";0;0;0;3;0;0;3
"260520 Escada";1;0;0;18;0;0;19
"260545 Fernando de Noronha";1;0;0;0;0;0;1
"260560 Flores";0;0;0;3;0;0;3
"260590 Gameleira";1;0;0;2;0;0;3
"260600 Garanhuns";5;3;0;22;0;0;30
"260620 Goiana";3;1;1;24;0;0;29
"260640 Gravatá";3;0;2;11;0;0;16
"260680 Igarassu";2;0;0;31;0;0;33
"260760 Ilha de Itamaracá";0;1;0;1;0;0;2
"260720 Ipojuca";3;0;3;29;0;0;35
"260730 Ipubi";0;1;0;1;0;0;2
"260750 Itaíba";0;0;0;3;0;0;3
"260765 Itambé";0;1;0;1;0;0;2
"260775 Itapissuma";0;0;0;3;0;0;3
"260780 Itaquitinga";0;0;0;2;0;0;2
"260790 Jaboatão dos Guararapes";25;8;0;147;2;0;182
"260805 Jatobá";0;0;0;1;0;0;1
"260825 Jucati";1;0;0;0;0;0;1
"260830 Jupi";0;1;0;0;0;0;1
"260845 Lagoa do Carro";1;0;0;0;0;0;1
"260850 Lagoa do Itaenga";1;0;0;0;0;0;1
"260880 Lajedo";0;0;0;2;0;0;2
"260890 Limoeiro";3;0;0;12;0;0;15
"260915 Manari";0;0;0;1;0;0;1
"260920 Maraial";1;0;0;0;0;0;1
"260940 Moreno";1;0;0;2;0;0;3
"260950 Nazaré da Mata";1;0;0;4;0;0;5
"260960 Olinda";20;8;0;76;0;0;104
"260990 Ouricuri";2;1;0;7;0;0;10
"261000 Palmares";2;1;0;21;0;1;25
"261030 Paranatama";0;0;0;1;0;0;1
"261060 Paudalho";0;1;0;3;0;0;4
"261070 Paulista";9;3;1;51;0;0;64
"261080 Pedra";0;0;0;1;0;0;1
"261090 Pesqueira";1;0;0;1;0;0;2
"261100 Petrolândia";0;0;0;1;0;0;1
"261110 Petrolina";4;2;1;70;0;0;77
"261120 Poção";0;1;0;0;0;0;1
"261130 Pombos";0;0;0;1;0;0;1
"261140 Primavera";0;0;0;2;0;0;2
"261150 Quipapá";1;0;0;0;0;0;1
"261160 Recife";142;33;0;524;1;5;705
"261180 Ribeirão";2;0;0;3;0;0;5
"261190 Rio Formoso";0;0;0;1;0;0;1
"261220 Salgueiro";2;1;0;8;0;0;11
"261240 Sanharó";0;0;0;2;0;0;2
"261250 Santa Cruz do Capibaribe";3;0;0;7;0;0;10
"261300 São Bento do Una";0;0;0;1;0;0;1
"261310 São Caitano";0;0;0;4;0;0;4
"261320 São João";0;0;0;2;0;0;2
"261330 São Joaquim do Monte";0;0;0;1;0;0;1
"261340 São José da Coroa Grande";1;0;0;2;0;0;3
"261360 São José do Egito";0;0;0;1;0;0;1
"261370 São Lourenço da Mata";2;0;0;23;0;0;25
"261380 São Vicente Ferrer";0;0;0;1;0;0;1
"261390 Serra Talhada";0;0;0;4;0;0;4
"261410 Sertânia";0;0;0;1;0;0;1
"261420 Sirinhaém";0;1;0;1;0;0;2
"261450 Surubim";0;0;0;1;0;0;1
"261460 Tabira";0;0;0;2;0;0;2
"261485 Tamandaré";0;0;1;2;0;0;3
"261540 Toritama";0;0;0;2;0;1;3
"261550 Tracunhaém";0;0;0;1;0;0;1
"261560 Trindade";1;0;0;4;0;0;5
"261610 Verdejante";0;0;0;1;0;0;1
"261618 Vertente do Lério";0;0;0;1;0;0;1
"261620 Vertentes";0;0;0;2;0;0;2
"261630 Vicência";1;0;0;0;0;0;1
