 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
Ano Diagnóstico: 2020
UF Residência: Pernambuco
Região Res.: Região Nordeste
UF Notificação: Pernambuco
Região Not.: Região Nordeste
Período:2020
"Município (Res)";"Masculino";"Feminino";"Total"
"260005 Abreu e Lima";15;3;18
"260010 Afogados da Ingazeira";3;2;5
"260050 Águas Belas";2;0;2
"260090 Amaraji";0;2;2
"260100 Angelim";2;1;3
"260105 Araçoiaba";4;1;5
"260110 Araripina";10;8;18
"260120 Arcoverde";2;0;2
"260140 Barreiros";0;2;2
"260150 Belém de Maria";0;1;1
"260160 Belém de São Francisco";0;2;2
"260170 Belo Jardim";2;0;2
"260190 Bezerros";2;0;2
"260200 Bodocó";1;0;1
"260210 Bom Conselho";1;3;4
"260230 Bonito";1;0;1
"260290 Cabo de Santo Agostinho";13;11;24
"260300 Cabrobó";0;1;1
"260310 Cachoeirinha";1;0;1
"260330 Calçado";1;0;1
"260340 Calumbi";1;0;1
"260345 Camaragibe";15;1;16
"260360 Camutanga";1;0;1
"260370 Canhotinho";1;0;1
"260380 Capoeiras";1;0;1
"260400 Carpina";3;2;5
"260410 Caruaru";69;25;94
"260415 Casinhas";1;0;1
"260420 Catende";5;0;5
"260460 Condado";0;1;1
"260480 Cortês";1;0;1
"260500 Cupira";0;1;1
"260515 Dormentes";0;1;1
"260520 Escada";6;1;7
"260540 Feira Nova";2;0;2
"260570 Floresta";0;1;1
"260590 Gameleira";1;1;2
"260600 Garanhuns";21;6;27
"260620 Goiana";7;6;13
"260640 Gravatá";7;4;11
"260650 Iati";1;0;1
"260680 Igarassu";20;9;29
"260700 Inajá";1;0;1
"260710 Ingazeira";1;0;1
"260720 Ipojuca";28;13;41
"260730 Ipubi";1;0;1
"260750 Itaíba";1;0;1
"260775 Itapissuma";1;0;1
"260790 Jaboatão dos Guararapes";66;37;103
"260820 Joaquim Nabuco";1;0;1
"260825 Jucati";1;0;1
"260830 Jupi";1;0;1
"260880 Lajedo";4;1;5
"260890 Limoeiro";10;6;16
"260900 Macaparana";3;1;4
"260910 Machados";2;0;2
"260920 Maraial";0;1;1
"260940 Moreno";2;1;3
"260950 Nazaré da Mata";2;0;2
"260960 Olinda";53;29;82
"260990 Ouricuri";3;2;5
"261000 Palmares";21;16;37
"261020 Panelas";1;0;1
"261040 Parnamirim";1;0;1
"261060 Paudalho";2;0;2
"261070 Paulista";36;8;44
"261080 Pedra";3;0;3
"261090 Pesqueira";1;1;2
"261100 Petrolândia";1;0;1
"261110 Petrolina";47;23;70
"261130 Pombos";1;0;1
"261160 Recife";372;169;541
"261180 Ribeirão";2;0;2
"261190 Rio Formoso";0;1;1
"261220 Salgueiro";3;4;7
"261250 Santa Cruz do Capibaribe";9;3;12
"261300 São Bento do Una";1;0;1
"261310 São Caitano";1;1;2
"261320 São João";3;0;3
"261330 São Joaquim do Monte";0;1;1
"261340 São José da Coroa Grande";1;0;1
"261350 São José do Belmonte";1;0;1
"261370 São Lourenço da Mata";13;2;15
"261390 Serra Talhada";4;1;5
"261400 Serrita";0;1;1
"261420 Sirinhaém";2;1;3
"261450 Surubim";3;1;4
"261460 Tabira";1;0;1
"261485 Tamandaré";0;2;2
"261500 Taquaritinga do Norte";1;0;1
"261510 Terezinha";1;0;1
"261530 Timbaúba";1;3;4
"261540 Toritama";4;0;4
"261550 Tracunhaém";1;0;1
"261560 Trindade";1;0;1
"261570 Triunfo";1;0;1
"261580 Tupanatinga";1;0;1
"261618 Vertente do Lério";0;1;1
"261620 Vertentes";1;1;2
"261630 Vicência";1;0;1
"261640 Vitória de Santo Antão";12;7;19
"261650 Xexéu";1;1;2
"Total";960;435;1395
