 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
Ano Diagnóstico: 2022
Ano Notificação: 2022
UF Residência: Pernambuco
Região Res.: Região Nordeste
UF Notificação: Pernambuco
Região Not.: Região Nordeste
Período:2022
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"Total"
"260005 Abreu e Lima";0;1;0;1;0;2;1;0;1;6
"260010 Afogados da Ingazeira";1;0;0;0;0;1;0;0;0;2
"260030 Agrestina";1;0;0;0;0;0;0;0;0;1
"260040 Água Preta";1;0;0;0;0;0;0;0;0;1
"260050 Águas Belas";0;0;1;0;0;0;1;0;0;2
"260070 Aliança";2;0;0;1;0;0;1;0;0;4
"260090 Amaraji";0;1;1;0;0;0;1;0;0;3
"260100 Angelim";0;0;0;1;0;0;0;0;0;1
"260110 Araripina";0;2;1;3;0;0;1;1;1;9
"260120 Arcoverde";0;0;1;4;0;5;2;1;1;14
"260140 Barreiros";1;0;1;0;0;0;1;0;0;3
"260150 Belém de Maria";0;0;0;0;0;1;0;0;0;1
"260170 Belo Jardim";0;0;2;1;1;0;2;0;0;6
"260190 Bezerros";0;0;0;0;1;0;0;0;1;2
"260210 Bom Conselho";0;0;0;1;0;0;0;0;0;1
"260230 Bonito";0;0;0;1;0;1;0;0;0;2
"260250 Brejinho";0;0;0;0;1;0;0;0;0;1
"260260 Brejo da Madre de Deus";2;1;0;0;0;0;0;0;0;3
"260270 Buenos Aires";0;0;0;1;0;0;0;0;0;1
"260290 Cabo de Santo Agostinho";1;0;2;6;2;5;5;1;5;27
"260310 Cachoeirinha";0;0;0;0;0;0;1;0;0;1
"260330 Calçado";0;0;0;0;0;0;1;0;0;1
"260345 Camaragibe";0;1;1;2;1;2;4;0;2;13
"260350 Camocim de São Félix";1;1;0;0;0;0;0;0;0;2
"260370 Canhotinho";0;0;0;1;0;0;0;0;0;1
"260400 Carpina";0;1;0;4;0;2;3;0;1;11
"260410 Caruaru";4;6;1;20;5;10;18;6;14;84
"260420 Catende";0;1;0;0;0;0;0;0;0;1
"260440 Chã de Alegria";0;0;0;0;1;0;0;0;0;1
"260460 Condado";0;0;0;0;1;0;0;0;0;1
"260490 Cumaru";0;1;0;0;0;0;1;0;0;2
"260500 Cupira";0;1;0;0;0;0;0;0;0;1
"260515 Dormentes";0;0;0;1;0;0;0;0;0;1
"260520 Escada";1;1;2;2;1;0;0;0;0;7
"260530 Exu";0;0;0;0;0;0;1;0;0;1
"260550 Ferreiros";0;1;0;1;0;0;0;0;0;2
"260560 Flores";0;0;0;0;1;0;0;0;0;1
"260570 Floresta";0;1;0;0;0;0;0;0;0;1
"260590 Gameleira";0;0;1;0;0;0;0;0;1;2
"260600 Garanhuns";0;2;1;1;1;3;5;1;3;17
"260620 Goiana";2;5;0;4;1;4;0;2;0;18
"260640 Gravatá";1;2;0;1;1;0;1;0;1;7
"260680 Igarassu";0;3;3;6;1;4;3;0;1;21
"260720 Ipojuca";0;2;1;5;1;2;4;0;1;16
"260730 Ipubi";0;1;0;0;0;0;0;0;0;1
"260765 Itambé";1;0;0;1;0;0;0;0;0;2
"260775 Itapissuma";0;0;0;1;0;0;0;0;0;1
"260780 Itaquitinga";1;0;0;0;0;0;0;0;0;1
"260790 Jaboatão dos Guararapes";4;8;3;17;5;16;31;7;6;97
"260810 João Alfredo";1;0;0;0;0;0;0;0;0;1
"260825 Jucati";0;0;0;0;1;0;0;0;0;1
"260875 Lagoa Grande";0;0;0;1;0;0;0;0;0;1
"260880 Lajedo";0;0;0;0;1;0;0;0;0;1
"260890 Limoeiro";0;2;0;2;0;0;1;0;0;5
"260920 Maraial";0;1;0;0;0;0;0;0;0;1
"260930 Mirandiba";0;0;0;0;1;1;0;0;0;2
"260940 Moreno";0;1;0;0;0;0;0;0;0;1
"260950 Nazaré da Mata";0;0;0;0;1;0;1;0;0;2
"260960 Olinda";4;3;0;19;2;7;24;8;9;76
"260990 Ouricuri";0;1;0;0;1;0;2;0;1;5
"261000 Palmares";6;10;0;6;0;2;3;1;1;29
"261020 Panelas";0;0;0;1;0;0;0;0;0;1
"261050 Passira";0;0;0;1;0;0;0;0;0;1
"261060 Paudalho";0;2;0;0;0;1;0;0;0;3
