 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
Ano Diagnóstico: 2023
Ano Notificação: 2023
UF Residência: Pernambuco
Região Res.: Região Nordeste
UF Notificação: Pernambuco
Região Not.: Região Nordeste
Período:2023
"Município (Res)";"< 1 ano";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"Total"
"260005 Abreu e Lima";0;0;0;0;1;7;8;4;3;3;1;27
"260010 Afogados da Ingazeira";0;0;0;0;0;1;3;3;2;1;0;10
"260030 Agrestina";0;0;0;0;0;0;0;0;1;0;0;1
"260040 Água Preta";0;0;0;0;0;0;3;0;1;0;0;4
"260050 Águas Belas";0;0;0;0;0;0;0;0;1;1;0;2
"260070 Aliança";0;0;0;0;0;1;1;1;0;1;0;4
"260080 Altinho";0;0;0;0;0;0;1;0;0;0;0;1
"260090 Amaraji";0;0;0;0;0;0;0;1;0;0;0;1
"260100 Angelim";0;0;0;0;0;0;0;1;0;0;0;1
"260110 Araripina";0;0;0;0;0;5;8;5;1;1;0;20
"260120 Arcoverde";0;0;0;0;1;4;2;7;1;0;0;15
"260140 Barreiros";0;1;0;0;0;1;0;1;1;0;0;4
"260170 Belo Jardim";0;1;0;0;0;2;2;1;1;0;0;7
"260190 Bezerros";0;0;0;0;0;0;0;1;0;0;0;1
"260220 Bom Jardim";0;0;0;0;0;0;0;0;1;0;0;1
"260230 Bonito";0;0;0;0;0;0;1;0;0;0;0;1
"260290 Cabo de Santo Agostinho";0;1;0;0;0;11;13;10;9;0;0;44
"260300 Cabrobó";0;0;0;0;0;0;0;1;0;0;0;1
"260345 Camaragibe";0;0;0;0;0;8;8;7;6;0;0;29
"260350 Camocim de São Félix";0;0;0;0;0;0;0;0;1;0;0;1
"260360 Camutanga";0;0;0;0;0;0;1;0;0;0;0;1
"260370 Canhotinho";0;0;0;0;0;1;0;0;0;0;1;2
"260400 Carpina";0;0;0;0;1;1;6;1;0;0;0;9
"260410 Caruaru";2;0;0;1;0;24;42;27;14;5;0;115
"260415 Casinhas";0;0;0;0;0;1;0;1;0;0;0;2
"260420 Catende";0;0;0;0;0;1;2;0;2;0;0;5
"260430 Cedro";0;0;0;0;0;0;0;0;1;0;0;1
"260460 Condado";0;0;0;0;0;0;1;0;0;0;0;1
"260470 Correntes";0;0;0;0;0;0;1;1;0;0;0;2
"260490 Cumaru";0;0;0;0;0;0;0;0;0;1;0;1
"260520 Escada";0;0;0;0;0;7;5;4;1;0;1;18
"260530 Exu";0;0;0;0;0;0;3;0;0;0;0;3
"260540 Feira Nova";0;0;0;0;0;0;0;1;0;0;0;1
"260570 Floresta";0;0;0;0;0;0;0;2;0;0;1;3
"260580 Frei Miguelinho";0;0;0;0;0;2;0;0;0;0;0;2
"260590 Gameleira";0;0;0;0;0;0;0;1;0;0;0;1
"260600 Garanhuns";0;0;0;0;0;5;5;2;4;0;0;16
"260620 Goiana";0;0;0;0;1;4;5;6;0;0;0;16
"260630 Granito";0;0;0;0;0;1;0;0;0;0;0;1
"260640 Gravatá";0;0;0;0;1;2;3;4;2;2;0;14
"260680 Igarassu";0;0;0;0;1;5;7;6;4;1;0;24
"260690 Iguaraci";0;0;0;0;0;0;1;0;0;0;0;1
"260760 Ilha de Itamaracá";0;0;0;0;0;0;2;0;0;0;0;2
"260700 Inajá";0;0;0;1;0;0;0;0;0;0;0;1
"260720 Ipojuca";0;0;0;0;1;8;9;7;2;1;0;28
"260730 Ipubi";0;0;0;0;0;0;1;0;0;0;0;1
"260765 Itambé";0;0;0;0;0;0;0;1;0;0;0;1
"260775 Itapissuma";0;0;0;0;0;2;1;1;0;0;0;4
"260780 Itaquitinga";0;0;0;0;0;0;0;2;3;0;0;5
"260790 Jaboatão dos Guararapes";2;2;0;0;1;41;43;39;22;9;2;161
"260810 João Alfredo";0;0;0;0;0;1;0;1;0;0;0;2
"260825 Jucati";0;0;0;0;0;0;0;0;0;1;0;1
"260830 Jupi";0;0;0;0;0;0;0;1;0;0;0;1
"260880 Lajedo";0;0;0;0;0;0;0;0;0;1;0;1
"260890 Limoeiro";0;0;0;0;1;5;3;8;3;0;1;21
"260900 Macaparana";0;0;0;0;0;0;0;1;0;0;0;1
"260920 Maraial";0;0;0;0;0;0;0;1;1;0;0;2
"260930 Mirandiba";0;0;0;0;0;0;0;1;0;0;0;1
"260940 Moreno";0;0;0;0;0;1;3;2;1;0;0;7
"260950 Nazaré da Mata";0;0;0;0;0;1;0;0;0;0;0;1
"260960 Olinda";1;1;1;0;0;22;22;18;13;9;0;87
"260970 Orobó";0;0;0;0;0;0;0;0;2;0;0;2
"260990 Ouricuri";0;0;0;0;0;2;3;1;1;2;0;9
"261000 Palmares";0;0;0;0;0;3;8;5;5;2;0;23
"261030 Paranatama";0;0;0;0;0;0;1;3;0;0;0;4
"261040 Parnamirim";0;0;0;0;0;0;0;1;0;1;0;2
"261060 Paudalho";0;0;0;0;0;1;1;0;0;0;0;2
"261070 Paulista";0;0;0;0;1;12;11;9;11;1;1;46
"261080 Pedra";0;0;0;0;0;0;0;1;0;0;0;1
"261090 Pesqueira";0;0;0;0;0;0;2;1;0;0;0;3
"261110 Petrolina";0;0;1;0;1;19;19;18;5;2;0;65
"261130 Pombos";0;0;0;0;0;0;1;0;0;0;0;1
"261140 Primavera";0;0;0;0;0;1;0;1;0;0;0;2
"261150 Quipapá";0;0;0;0;0;1;0;0;0;0;0;1
"261160 Recife";0;5;0;1;9;117;181;142;89;38;10;592
"261180 Ribeirão";0;0;0;0;0;1;0;1;0;0;1;3
"261210 Salgadinho";0;0;0;0;0;0;0;0;1;0;0;1
"261220 Salgueiro";0;0;0;0;0;4;5;2;3;0;0;14
"261230 Saloá";0;0;0;0;0;1;1;0;0;0;0;2
"261240 Sanharó";0;0;0;0;0;0;0;0;1;0;0;1
"261250 Santa Cruz do Capibaribe";0;0;0;0;0;2;3;8;3;0;0;16
"261290 São Benedito do Sul";0;0;0;0;0;0;0;1;0;0;0;1
"261300 São Bento do Una";0;0;0;0;0;0;1;1;0;0;0;2
"261310 São Caitano";0;0;0;0;0;0;0;1;0;0;0;1
"261320 São João";0;0;0;0;0;0;1;0;0;0;0;1
"261340 São José da Coroa Grande";0;0;0;0;0;0;2;0;0;0;0;2
"261350 São José do Belmonte";0;0;0;0;0;0;1;0;0;0;0;1
"261370 São Lourenço da Mata";0;0;0;0;0;7;4;5;5;1;0;22
"261390 Serra Talhada";0;0;0;0;1;4;8;11;4;1;0;29
"261420 Sirinhaém";0;0;0;0;0;1;3;2;0;0;0;6
"261450 Surubim";0;0;0;0;0;2;0;1;1;0;0;4
"261460 Tabira";0;0;0;0;0;0;1;0;0;0;0;1
"261485 Tamandaré";0;0;0;0;0;0;1;0;1;0;0;2
"261500 Taquaritinga do Norte";0;0;0;0;0;1;0;0;1;0;0;2
"261530 Timbaúba";0;0;0;0;0;0;2;0;0;0;0;2
"261540 Toritama";0;0;0;0;0;2;0;2;0;0;0;4
"261550 Tracunhaém";0;0;0;0;0;0;1;0;0;0;0;1
"261560 Trindade";0;0;0;0;0;0;1;0;0;1;0;2
"261580 Tupanatinga";0;0;0;0;0;0;1;1;0;0;0;2
"261610 Verdejante";0;0;0;0;0;0;0;1;0;0;0;1
"261618 Vertente do Lério";0;0;0;0;0;0;0;1;0;0;0;1
"261640 Vitória de Santo Antão";0;0;0;0;0;3;7;3;6;2;0;21
"261650 Xexéu";0;0;0;0;0;1;0;2;0;0;0;3
"260000 Município ignorado - PE";2;0;0;0;0;0;0;0;0;0;0;2
"Total";7;11;2;3;21;360;486;407;241;88;19;1645
