 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
Ano Diagnóstico: 2025
Ano Notificação: 2025
UF Residência: Pernambuco
Região Res.: Região Nordeste
UF Notificação: Pernambuco
Região Not.: Região Nordeste
Período:2025
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"Total"
"260005 Abreu e Lima";0;0;0;0;2;2;1;0;0;5
"260010 Afogados da Ingazeira";0;1;0;2;1;2;1;0;1;8
"260030 Agrestina";0;0;0;0;0;0;1;0;0;1
"260050 Águas Belas";0;0;0;0;0;1;0;0;0;1
"260070 Aliança";0;0;0;0;0;0;0;0;1;1
"260090 Amaraji";0;0;0;1;0;0;1;0;0;2
"260110 Araripina";1;0;1;3;1;0;2;0;1;9
"260120 Arcoverde";0;2;0;1;0;1;1;0;4;9
"260140 Barreiros";0;1;1;1;0;0;0;0;0;3
"260160 Belém de São Francisco";0;0;0;0;0;0;1;0;1;2
"260170 Belo Jardim";0;1;0;1;0;0;0;0;0;2
"260190 Bezerros";0;0;0;0;0;0;1;0;0;1
"260220 Bom Jardim";0;0;0;0;1;0;1;0;0;2
"260230 Bonito";0;0;0;0;0;0;1;0;0;1
"260270 Buenos Aires";0;1;0;0;0;0;0;1;0;2
"260290 Cabo de Santo Agostinho";0;1;0;3;0;4;6;0;3;17
"260320 Caetés";1;0;0;0;0;0;0;0;0;1
"260345 Camaragibe";0;1;0;0;0;1;6;1;2;11
"260400 Carpina";0;1;0;0;1;1;1;0;1;5
"260410 Caruaru";7;11;1;10;9;6;21;1;19;85
"260510 Custódia";1;0;0;0;0;0;0;0;0;1
"260520 Escada";1;0;0;2;0;0;3;0;1;7
"260540 Feira Nova";0;0;0;2;0;0;1;0;0;3
"260545 Fernando de Noronha";0;0;0;0;0;0;0;0;1;1
"260560 Flores";0;0;0;0;0;0;1;0;0;1
"260600 Garanhuns";1;1;0;1;0;0;2;0;1;6
"260620 Goiana";0;0;0;2;0;0;2;0;1;5
"260640 Gravatá";2;2;1;3;0;0;1;0;0;9
"260650 Iati";0;0;0;1;0;0;0;0;0;1
"260670 Ibirajuba";0;0;0;0;0;1;0;0;0;1
"260680 Igarassu";1;1;1;4;0;2;2;0;0;11
"260720 Ipojuca";1;1;1;2;1;1;2;1;2;12
"260790 Jaboatão dos Guararapes";3;1;0;8;1;8;19;2;7;49
"260830 Jupi";0;0;1;0;0;0;0;0;0;1
"260870 Lagoa dos Gatos";1;3;0;0;0;0;0;0;0;4
"260875 Lagoa Grande";0;0;1;0;0;0;1;0;0;2
"260890 Limoeiro";0;1;0;1;0;2;3;0;0;7
"260940 Moreno";0;1;0;0;0;0;0;0;0;1
"260950 Nazaré da Mata";0;0;0;0;0;0;1;0;0;1
"260960 Olinda";1;4;4;6;2;3;20;0;5;45
"260990 Ouricuri";2;2;2;5;2;3;2;0;1;19
"261000 Palmares";2;0;3;4;1;1;1;0;0;12
"261040 Parnamirim";0;1;0;0;0;0;0;0;0;1
"261060 Paudalho";1;0;0;0;0;0;1;0;0;2
"261070 Paulista";2;2;1;1;2;1;7;1;2;19
"261090 Pesqueira";0;0;0;0;0;0;2;0;0;2
"261110 Petrolina";3;2;1;6;2;5;14;5;8;46
"261130 Pombos";0;0;0;0;0;0;0;0;1;1
"261140 Primavera";0;0;0;1;0;0;0;0;0;1
"261160 Recife";9;11;19;39;25;25;76;10;37;251
"261220 Salgueiro";0;1;0;1;0;4;1;1;2;10
"261250 Santa Cruz do Capibaribe";0;1;5;1;0;0;5;0;0;12
"261340 São José da Coroa Grande";0;0;0;0;1;0;0;0;0;1
"261370 São Lourenço da Mata";0;0;1;1;0;1;2;0;4;9
"261390 Serra Talhada";0;1;0;1;3;3;2;1;2;13
"261420 Sirinhaém";0;0;0;1;0;0;0;1;0;2
"261450 Surubim";0;0;0;0;0;0;1;0;0;1
"261485 Tamandaré";0;1;0;1;0;0;0;0;0;2
"261540 Toritama";0;0;0;0;1;0;0;0;0;1
"261560 Trindade";0;0;0;0;0;0;0;0;1;1
"261640 Vitória de Santo Antão";0;0;0;1;1;0;1;0;2;5
"Total";40;57;44;117;57;78;218;25;111;747
