 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
Ano Diagnóstico: 2025
Ano Notificação: 2025
UF Residência: Pernambuco
Região Res.: Região Nordeste
UF Notificação: Pernambuco
Região Not.: Região Nordeste
Período:2025
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Ignorado";"Total"
"260005 Abreu e Lima";0;2;0;16;0;1;19
"260010 Afogados da Ingazeira";0;1;0;12;0;0;13
"260030 Agrestina";0;0;0;1;0;0;1
"260050 Águas Belas";0;0;0;2;0;0;2
"260070 Aliança";0;0;0;1;0;0;1
"260090 Amaraji";0;0;0;2;0;0;2
"260110 Araripina";2;0;0;9;0;0;11
"260120 Arcoverde";1;0;0;11;0;1;13
"260140 Barreiros";0;0;0;3;0;0;3
"260160 Belém de São Francisco";0;0;0;2;0;0;2
"260170 Belo Jardim";2;0;0;1;0;0;3
"260190 Bezerros";1;0;0;0;0;0;1
"260210 Bom Conselho";0;0;0;1;0;0;1
"260220 Bom Jardim";0;0;0;3;0;0;3
"260230 Bonito";1;0;0;0;0;0;1
"260270 Buenos Aires";0;1;0;1;0;0;2
"260290 Cabo de Santo Agostinho";7;2;0;10;0;1;20
"260320 Caetés";0;0;0;1;0;0;1
"260345 Camaragibe";4;3;0;11;0;0;18
"260400 Carpina";1;2;0;4;0;0;7
"260410 Caruaru";31;7;4;61;0;1;104
"260510 Custódia";1;0;0;0;0;0;1
"260520 Escada";1;1;0;9;0;0;11
"260540 Feira Nova";0;0;0;3;0;0;3
"260545 Fernando de Noronha";0;1;0;0;0;0;1
"260560 Flores";0;0;0;1;0;0;1
"260600 Garanhuns";3;1;0;4;0;0;8
"260620 Goiana";1;0;1;4;0;0;6
"260640 Gravatá";1;1;0;8;0;0;10
"260650 Iati";0;0;0;1;0;0;1
"260670 Ibirajuba";0;0;0;1;0;0;1
"260680 Igarassu";0;0;0;17;0;0;17
"260760 Ilha de Itamaracá";0;0;0;1;0;0;1
"260720 Ipojuca";5;1;0;12;0;0;18
"260775 Itapissuma";0;0;0;2;0;0;2
"260790 Jaboatão dos Guararapes";13;7;0;49;0;0;69
"260830 Jupi";0;0;0;1;0;0;1
"260870 Lagoa dos Gatos";1;2;0;2;0;0;5
"260875 Lagoa Grande";0;1;0;1;0;0;2
"260890 Limoeiro";0;0;0;9;0;0;9
"260940 Moreno";1;0;0;1;0;0;2
"260950 Nazaré da Mata";0;0;0;1;0;0;1
"260960 Olinda";15;8;0;46;0;1;70
"260990 Ouricuri";1;0;0;21;0;0;22
"261000 Palmares";1;3;1;8;0;0;13
"261040 Parnamirim";0;0;0;1;0;0;1
"261060 Paudalho";1;0;0;1;0;0;2
"261070 Paulista";8;3;0;22;1;0;34
"261090 Pesqueira";1;0;0;1;1;0;3
"261110 Petrolina";7;6;0;40;0;0;53
"261130 Pombos";1;0;0;1;0;0;2
"261140 Primavera";0;0;0;1;0;0;1
"261160 Recife";57;32;2;295;1;4;391
"261180 Ribeirão";0;0;0;1;0;0;1
"261220 Salgueiro";0;2;0;8;0;0;10
"261250 Santa Cruz do Capibaribe";5;1;0;6;0;0;12
"261300 São Bento do Una";0;0;1;0;0;0;1
"261340 São José da Coroa Grande";0;0;0;1;0;0;1
"261370 São Lourenço da Mata";0;1;0;11;0;0;12
"261390 Serra Talhada";4;1;0;12;0;0;17
"261410 Sertânia";0;0;0;1;0;0;1
"261420 Sirinhaém";1;0;0;2;0;0;3
"261450 Surubim";1;0;0;0;0;0;1
"261485 Tamandaré";0;0;0;2;0;0;2
"261530 Timbaúba";0;0;0;1;0;0;1
"261540 Toritama";0;0;0;1;0;0;1
"261560 Trindade";0;0;0;1;0;0;1
"261620 Vertentes";0;1;0;0;0;0;1
"261640 Vitória de Santo Antão";2;1;0;6;0;0;9
"Total";182;92;9;769;3;9;1064
