 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Piauí
Período:2015
"Município (Res)";"< 1 ano";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"Total"
"220030 Alto Longá";0;0;0;0;0;0;0;1;1;0;0;2
"220040 Altos";0;0;0;0;0;2;0;2;1;0;1;6
"220050 Amarante";0;0;0;0;1;0;1;2;0;0;0;4
"220115 Baixa Grande do Ribeiro";0;0;0;0;0;0;0;1;0;0;0;1
"220120 Barras";0;0;0;0;0;0;1;0;0;0;0;1
"220140 Barro Duro";0;0;0;0;0;0;0;1;0;0;0;1
"220170 Bertolínia";0;0;0;0;0;0;0;1;0;0;0;1
"220190 Bom Jesus";0;0;0;0;0;1;1;0;0;0;0;2
"220200 Buriti dos Lopes";0;0;0;0;0;1;0;0;0;0;0;1
"220208 Cajueiro da Praia";0;0;0;0;0;0;0;0;0;1;0;1
"220213 Campo Grande do Piauí";0;0;0;0;0;0;0;0;1;0;0;1
"220220 Campo Maior";0;0;0;0;0;0;1;1;1;0;0;3
"220240 Capitão de Campos";0;0;0;0;0;0;0;1;0;0;0;1
"220255 Caridade do Piauí";0;0;0;0;0;0;1;0;0;0;0;1
"220260 Castelo do Piauí";0;0;0;0;0;0;0;1;0;0;0;1
"220273 Coivaras";0;0;0;0;0;0;0;1;0;0;0;1
"220330 Demerval Lobão";0;0;0;0;0;0;1;0;2;1;0;4
"220340 Dom Expedito Lopes";0;0;0;0;0;0;0;1;0;0;0;1
"220370 Esperantina";0;0;0;0;0;0;0;1;0;0;0;1
"220380 Flores do Piauí";0;0;0;0;0;0;2;0;0;0;0;2
"220385 Floresta do Piauí";0;0;0;0;0;0;1;0;0;0;0;1
"220390 Floriano";0;0;0;0;0;4;4;4;0;1;0;13
"220450 Guadalupe";0;0;0;0;0;0;1;0;0;0;0;1
"220480 Ipiranga do Piauí";0;0;0;0;0;0;0;0;0;1;1;2
"220500 Itainópolis";0;0;0;0;0;0;1;0;0;0;0;1
"220580 Luzilândia";0;0;0;0;0;1;0;1;0;0;0;2
"220610 Matias Olímpio";0;0;0;0;0;2;0;0;0;0;0;2
"220620 Miguel Alves";0;0;0;0;0;1;0;0;0;0;0;1
"220700 Oeiras";0;0;0;0;1;0;1;2;1;0;0;5
"220770 Parnaíba";0;0;0;0;0;9;12;6;2;1;0;30
"220775 Passagem Franca do Piauí";0;0;0;0;0;0;1;0;0;0;0;1
"220780 Paulistana";0;0;0;0;0;0;1;0;0;0;0;1
"220790 Pedro II";0;0;0;0;0;0;0;0;0;1;0;1
"220800 Picos";0;0;0;0;1;2;8;2;2;1;0;16
"220840 Piripiri";0;0;0;0;1;4;1;1;1;2;1;11
"220890 Ribeiro Gonçalves";0;0;0;0;0;0;1;0;0;0;0;1
"220900 Rio Grande do Piauí";0;0;0;0;0;1;1;0;0;0;0;2
"220940 Santo Antônio de Lisboa";0;0;0;0;0;0;0;0;0;1;0;1
"221038 São Miguel da Baixa Grande";0;0;0;0;0;1;0;0;0;0;0;1
"221060 São Raimundo Nonato";0;0;0;0;0;0;0;1;0;0;0;1
"221100 Teresina";1;1;1;3;6;105;99;46;32;9;2;305
"221110 União";0;0;0;0;0;1;0;1;0;0;0;2
"221120 Uruçuí";0;0;0;0;0;2;0;0;0;0;0;2
"221130 Valença do Piauí";0;0;0;0;0;1;0;0;0;1;0;2
"Total";1;1;1;3;10;138;140;78;44;20;5;441
