 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
UF Residência: Piauí
Período:2018
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"Total"
"220020 Água Branca";0;0;0;1;0;1;1;0;0;3
"220040 Altos";0;1;2;2;2;1;2;0;1;11
"220050 Amarante";1;0;0;0;0;0;0;0;0;1
"220070 Anísio de Abreu";0;0;0;0;0;1;0;0;0;1
"220100 Arraial";0;0;0;0;0;0;0;1;0;1
"220120 Barras";0;1;0;0;0;0;0;0;2;3
"220190 Bom Jesus";0;0;0;0;0;0;1;0;0;1
"220200 Buriti dos Lopes";0;0;0;0;1;0;0;0;0;1
"220220 Campo Maior";0;0;0;1;1;1;0;0;0;3
"220230 Canto do Buriti";1;0;0;0;0;0;0;0;0;1
"220240 Capitão de Campos";1;1;0;0;0;0;0;0;0;2
"220253 Caraúbas do Piauí";0;0;1;0;0;0;0;0;0;1
"220260 Castelo do Piauí";0;1;0;0;0;0;0;0;0;1
"220275 Colônia do Gurguéia";0;0;1;0;0;0;0;0;0;1
"220290 Corrente";0;1;0;0;0;0;0;0;0;1
"220330 Demerval Lobão";0;0;0;1;0;1;1;0;0;3
"220350 Elesbão Veloso";1;0;0;0;0;0;0;0;0;1
"220370 Esperantina";0;1;0;0;0;0;0;0;0;1
"220390 Floriano";1;1;9;2;0;2;0;0;0;15
"220470 Inhuma";1;0;0;0;0;0;0;0;0;1
"220480 Ipiranga do Piauí";1;0;0;1;0;1;0;0;0;3
"220545 Joca Marques";0;0;0;0;0;1;0;0;0;1
"220553 Jurema";0;1;0;0;0;0;0;0;0;1
"220554 Lagoinha do Piauí";0;0;0;0;1;0;0;0;0;1
"220570 Luís Correia";0;0;1;0;0;0;0;0;0;1
"220580 Luzilândia";0;2;0;0;0;0;1;0;0;3
"220620 Miguel Alves";0;2;1;0;0;1;0;0;0;4
"220640 Monsenhor Gil";0;0;1;0;0;0;0;0;0;1
"220795 Nova Santa Rita";0;0;1;0;0;0;0;0;0;1
"220690 Novo Oriente do Piauí";0;0;0;0;0;1;0;0;0;1
"220700 Oeiras";1;2;1;1;0;1;1;0;0;7
"220730 Paes Landim";0;0;0;0;0;1;0;0;0;1
"220750 Palmeirais";1;0;0;0;0;0;0;0;0;1
"220770 Parnaíba";1;3;1;5;0;4;0;1;1;16
"220790 Pedro II";0;0;0;0;1;0;0;0;0;1
"220800 Picos";0;2;0;0;2;1;1;0;0;6
"220820 Pio IX";0;0;0;0;0;0;0;0;1;1
"220830 Piracuruca";1;0;1;2;1;0;0;0;0;5
"220840 Piripiri";1;3;4;3;1;0;6;1;1;20
"220850 Porto";0;0;0;2;0;0;0;0;0;2
"220880 Regeneração";0;0;0;0;0;1;1;0;0;2
"220900 Rio Grande do Piauí";0;0;0;0;0;0;0;0;1;1
"220955 São Braz do Piauí";0;1;0;0;0;0;0;0;0;1
"220975 São Gonçalo do Gurguéia";0;0;0;0;1;0;0;0;0;1
"220980 São Gonçalo do Piauí";0;0;0;1;0;0;0;0;0;1
"220987 São João da Fronteira";0;2;0;0;0;0;0;0;0;2
"220995 São João da Varjota";0;1;0;0;0;0;0;0;0;1
"221040 São Miguel do Tapuio";0;1;0;0;0;0;0;0;0;1
"221060 São Raimundo Nonato";0;0;0;1;0;0;0;0;0;1
"221070 Simões";1;0;0;0;0;0;0;0;0;1
"221100 Teresina";6;17;11;31;21;19;46;27;29;207
"221110 União";0;1;0;0;0;0;0;0;0;1
"221130 Valença do Piauí";0;0;0;1;0;0;0;0;0;1
"221140 Várzea Grande";0;0;1;0;0;0;0;0;0;1
"Total";19;45;36;55;32;38;61;30;36;352
