 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Piauí
Período:2018
"Município (Res)";"< 1 ano";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"220020 Água Branca";0;0;0;0;0;1;2;0;0;0;0;0;3
"220040 Altos";0;0;1;0;0;4;2;3;1;1;0;0;12
"220050 Amarante";0;0;0;0;0;0;0;0;1;0;0;0;1
"220070 Anísio de Abreu";0;0;0;0;0;0;0;1;0;0;0;0;1
"220100 Arraial";0;0;0;0;0;1;0;0;0;0;0;0;1
"220120 Barras";0;0;0;0;0;1;1;0;1;0;0;0;3
"220190 Bom Jesus";0;0;0;0;0;0;0;1;0;0;0;0;1
"220191 Bom Princípio do Piauí";0;0;0;0;0;1;0;0;0;0;0;0;1
"220200 Buriti dos Lopes";0;0;0;0;0;1;0;1;0;0;0;0;2
"220220 Campo Maior";0;0;0;0;0;0;1;1;2;0;0;0;4
"220230 Canto do Buriti";0;0;0;0;0;0;1;0;0;0;0;0;1
"220240 Capitão de Campos";0;0;0;0;0;0;0;1;1;0;0;0;2
"220253 Caraúbas do Piauí";0;0;0;0;0;0;1;0;0;0;0;0;1
"220260 Castelo do Piauí";0;0;0;0;0;0;0;0;0;0;0;1;1
"220275 Colônia do Gurguéia";0;0;0;0;0;0;1;0;0;0;0;0;1
"220290 Corrente";0;0;0;0;0;0;1;0;0;0;0;0;1
"220330 Demerval Lobão";0;0;0;0;0;1;2;0;0;0;0;0;3
"220350 Elesbão Veloso";0;0;0;0;0;0;0;1;0;1;0;0;2
"220370 Esperantina";0;0;0;0;0;0;1;0;0;0;0;0;1
"220390 Floriano";0;0;0;0;0;5;5;0;4;3;0;0;17
"220470 Inhuma";0;0;0;0;0;0;0;0;0;1;0;0;1
"220480 Ipiranga do Piauí";0;0;0;0;0;1;0;1;1;0;0;0;3
"220545 Joca Marques";0;0;0;0;0;0;1;0;0;0;0;0;1
"220550 José de Freitas";0;0;0;0;0;0;1;0;0;0;0;0;1
"220553 Jurema";0;0;0;0;0;0;0;0;1;0;0;0;1
"220554 Lagoinha do Piauí";0;0;0;0;0;0;1;0;0;0;0;0;1
"220570 Luís Correia";0;0;0;0;0;0;0;1;0;0;0;0;1
"220580 Luzilândia";0;0;0;0;0;1;1;1;0;0;0;0;3
"220620 Miguel Alves";0;0;0;0;0;0;2;1;0;1;0;0;4
"220640 Monsenhor Gil";0;0;0;0;0;0;1;0;0;0;0;0;1
"220660 Monte Alegre do Piauí";0;0;0;0;0;0;1;0;0;0;0;0;1
"220795 Nova Santa Rita";0;0;0;0;0;0;0;1;0;0;0;0;1
"220690 Novo Oriente do Piauí";0;0;0;0;0;0;1;0;0;0;0;0;1
"220700 Oeiras";0;0;0;0;0;1;4;1;0;0;1;0;7
"220730 Paes Landim";0;0;0;0;0;0;1;0;0;0;0;0;1
"220750 Palmeirais";0;0;0;0;0;1;0;0;0;0;0;0;1
"220770 Parnaíba";0;0;0;0;0;6;10;8;2;0;1;0;27
"220790 Pedro II";0;0;0;0;0;0;0;0;1;0;0;0;1
"220800 Picos";0;0;0;0;0;0;3;3;0;0;0;0;6
"220820 Pio IX";0;0;0;0;0;1;0;0;0;0;0;0;1
"220830 Piracuruca";0;0;0;0;0;2;2;1;0;0;0;0;5
"220840 Piripiri";0;0;0;0;0;8;8;4;2;0;0;0;22
"220850 Porto";0;0;0;0;0;0;0;1;1;0;0;0;2
"220880 Regeneração";0;0;0;0;0;1;1;0;0;0;0;0;2
"220900 Rio Grande do Piauí";0;0;0;0;0;0;0;0;1;0;0;0;1
"220955 São Braz do Piauí";0;0;0;0;0;0;0;1;0;0;0;0;1
"220975 São Gonçalo do Gurguéia";0;0;0;0;0;0;0;1;0;0;0;0;1
"220980 São Gonçalo do Piauí";0;0;0;0;0;1;0;0;0;0;0;0;1
"220987 São João da Fronteira";0;0;0;0;0;0;1;1;0;0;0;0;2
"220995 São João da Varjota";0;0;0;0;0;0;0;1;0;0;0;0;1
"220997 São João do Arraial";0;0;0;0;0;1;0;0;0;0;0;0;1
"221040 São Miguel do Tapuio";0;0;0;0;0;0;0;0;1;0;0;0;1
"221050 São Pedro do Piauí";0;0;0;0;0;0;1;0;0;0;0;0;1
"221060 São Raimundo Nonato";0;0;0;0;0;0;1;0;0;0;0;0;1
"221070 Simões";0;0;0;0;0;0;0;0;1;0;0;0;1
"221080 Simplício Mendes";0;0;0;0;0;1;1;0;0;0;0;0;2
"221100 Teresina";2;1;0;2;3;71;79;52;25;6;4;1;246
"221110 União";0;0;0;0;0;0;0;0;0;1;0;0;1
"221130 Valença do Piauí";0;0;0;0;0;0;0;1;0;0;0;0;1
"221140 Várzea Grande";0;0;0;0;0;0;0;0;0;0;1;0;1
"Total";2;1;1;2;3;111;139;89;46;14;7;2;417
