 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Piauí
Período:2020
"Município (Res)";"< 1 ano";"1-4";"5-9";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"Total"
"220020 Água Branca";0;0;0;0;1;0;0;0;0;0;1
"220030 Alto Longá";0;0;0;0;1;0;0;0;0;0;1
"220040 Altos";0;0;0;0;1;0;1;0;0;0;2
"220120 Barras";0;0;0;0;1;0;0;0;0;0;1
"220160 Beneditinos";0;0;0;0;0;2;1;0;0;0;3
"220192 Bonfim do Piauí";0;0;0;0;1;0;0;0;0;0;1
"220200 Buriti dos Lopes";0;0;0;0;1;1;1;0;0;0;3
"220211 Campo Alegre do Fidalgo";0;0;0;0;0;0;0;0;1;0;1
"220220 Campo Maior";0;0;0;0;2;2;0;0;0;0;4
"220260 Castelo do Piauí";0;0;0;0;0;1;0;0;0;0;1
"220270 Cocal";0;0;0;0;1;0;1;0;0;0;2
"220277 Colônia do Piauí";0;0;0;0;0;0;1;0;0;0;1
"220310 Cristino Castro";0;0;0;1;0;0;0;0;0;0;1
"220350 Elesbão Veloso";0;0;0;0;0;0;1;0;0;0;1
"220370 Esperantina";0;0;0;0;1;0;2;0;0;0;3
"220390 Floriano";0;0;0;0;7;7;5;2;0;1;22
"220430 Fronteiras";0;0;0;0;0;0;1;0;0;0;1
"220465 Ilha Grande";0;0;0;0;0;0;1;0;0;0;1
"220470 Inhuma";0;0;0;0;1;0;0;0;0;0;1
"220527 Jatobá do Piauí";0;0;0;0;0;1;0;1;0;0;2
"220545 Joca Marques";0;0;0;0;0;1;2;0;0;0;3
"220550 José de Freitas";0;0;0;0;2;0;2;0;0;0;4
"220555 Lagoa Alegre";0;0;0;0;0;0;1;0;0;0;1
"220557 Lagoa de São Francisco";0;0;0;0;0;0;1;0;0;0;1
"220580 Luzilândia";0;0;0;0;1;0;0;0;0;0;1
"220595 Marcolândia";0;0;0;0;0;0;0;0;1;0;1
"220610 Matias Olímpio";0;0;0;0;1;0;0;0;0;0;1
"220620 Miguel Alves";0;0;0;0;0;1;1;0;0;0;2
"220640 Monsenhor Gil";0;0;0;0;0;0;0;0;1;0;1
"220650 Monsenhor Hipólito";0;0;0;0;0;0;0;1;0;0;1
"220669 Murici dos Portelas";0;0;0;0;1;1;0;0;0;0;2
"220670 Nazaré do Piauí";0;0;0;0;0;0;1;0;0;0;1
"220680 Nossa Senhora dos Remédios";0;0;0;0;0;0;1;0;0;0;1
"220690 Novo Oriente do Piauí";0;0;0;0;0;0;1;0;0;0;1
"220700 Oeiras";0;0;0;0;0;0;0;1;0;0;1
"220720 Padre Marcos";0;0;0;0;0;0;1;0;0;0;1
"220750 Palmeirais";0;0;0;0;1;0;1;1;1;0;4
"220770 Parnaíba";0;0;0;1;6;5;11;3;2;2;30
"220790 Pedro II";0;0;0;0;0;1;0;0;0;0;1
"220800 Picos";0;0;0;0;3;1;4;3;1;0;12
"220830 Piracuruca";0;0;0;0;1;0;0;0;0;0;1
"220840 Piripiri";0;0;0;0;3;5;4;0;0;0;12
"220880 Regeneração";0;0;0;0;2;0;0;0;0;0;2
"221040 São Miguel do Tapuio";0;0;0;0;0;0;1;0;0;0;1
"221060 São Raimundo Nonato";0;0;0;0;0;1;0;2;2;0;5
"221065 Sigefredo Pacheco";0;0;0;0;0;1;0;0;0;0;1
"221100 Teresina";1;1;1;1;42;67;49;27;9;0;198
"221110 União";0;0;0;0;0;1;1;2;0;0;4
"221130 Valença do Piauí";0;0;0;0;0;0;1;0;0;0;1
"Total";1;1;1;3;81;99;98;43;18;3;348
