 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
UF Residência: Piauí
Período:2021
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Ignorado";"Total"
"220027 Alegrete do Piauí";0;0;0;1;0;1
"220040 Altos";0;0;1;4;0;5
"220120 Barras";0;0;0;2;0;2
"220150 Batalha";0;0;0;1;0;1
"220160 Beneditinos";1;0;0;0;0;1
"220190 Bom Jesus";0;0;0;2;0;2
"220194 Boqueirão do Piauí";0;0;0;1;0;1
"220200 Buriti dos Lopes";0;0;0;1;0;1
"220220 Campo Maior";1;0;0;4;1;6
"220230 Canto do Buriti";1;0;0;0;0;1
"220255 Caridade do Piauí";0;1;0;2;0;3
"220260 Castelo do Piauí";1;0;0;1;0;2
"220271 Cocal de Telha";0;0;0;1;0;1
"220330 Demerval Lobão";0;0;0;2;0;2
"220350 Elesbão Veloso";0;0;0;1;0;1
"220370 Esperantina";1;1;0;4;0;6
"220390 Floriano";1;1;0;11;0;13
"220430 Fronteiras";1;0;0;0;0;1
"220450 Guadalupe";0;0;0;1;0;1
"220465 Ilha Grande";0;0;0;1;0;1
"220480 Ipiranga do Piauí";0;0;0;2;0;2
"220527 Jatobá do Piauí";0;0;0;1;0;1
"220540 Joaquim Pires";0;0;0;0;1;1
"220545 Joca Marques";0;0;0;1;0;1
"220550 José de Freitas";1;0;0;1;0;2
"220554 Lagoinha do Piauí";0;0;0;1;0;1
"220580 Luzilândia";1;2;0;2;0;5
"220585 Madeiro";0;0;0;1;0;1
"220595 Marcolândia";0;1;0;1;0;2
"220620 Miguel Alves";2;0;0;2;0;4
"220635 Milton Brandão";0;0;0;1;0;1
"220670 Nazaré do Piauí";0;0;0;1;0;1
"220700 Oeiras";2;3;0;7;0;12
"220720 Padre Marcos";0;0;0;1;0;1
"220770 Parnaíba";2;0;1;33;1;37
"220777 Patos do Piauí";0;0;0;1;0;1
"220780 Paulistana";0;0;0;1;0;1
"220790 Pedro II";0;0;0;1;0;1
"220800 Picos";10;1;0;18;0;29
"220820 Pio IX";0;0;0;1;0;1
"220830 Piracuruca";0;0;0;1;0;1
"220840 Piripiri";1;0;0;8;0;9
"220880 Regeneração";0;0;0;1;0;1
"220940 Santo Antônio de Lisboa";1;0;0;0;0;1
"220955 São Braz do Piauí";0;0;0;1;0;1
"220970 São Francisco do Piauí";0;0;0;1;0;1
"220990 São João da Serra";1;0;0;0;0;1
"221000 São João do Piauí";0;1;0;0;1;2
"221038 São Miguel da Baixa Grande";1;0;0;0;0;1
"221039 São Miguel do Fidalgo";0;0;0;1;0;1
"221060 São Raimundo Nonato";0;0;0;2;0;2
"221093 Sussuapara";0;0;0;2;0;2
"221100 Teresina";44;8;2;221;1;276
"221110 União";0;0;0;4;0;4
"Total";73;19;4;359;5;460
