 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Piauí
Período:2023
"Município (Res)";"1-4";"5-9";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"220020 Água Branca";0;0;0;0;1;0;1;0;0;0;2
"220030 Alto Longá";0;0;0;0;0;0;0;1;0;0;1
"220040 Altos";0;0;0;0;3;3;1;0;0;0;7
"220045 Alvorada do Gurguéia";0;0;0;1;0;0;0;0;0;0;1
"220050 Amarante";0;0;0;0;0;1;0;0;0;0;1
"220060 Angical do Piauí";0;0;0;0;0;1;0;0;0;0;1
"220110 Avelino Lopes";0;0;0;0;0;0;0;0;1;0;1
"220120 Barras";0;0;0;0;1;2;0;0;0;0;3
"220130 Barreiras do Piauí";0;0;0;0;0;1;0;0;0;0;1
"220150 Batalha";0;0;0;0;0;0;0;1;0;0;1
"220160 Beneditinos";0;0;0;0;1;0;0;0;0;0;1
"220190 Bom Jesus";0;0;0;1;0;0;0;0;0;0;1
"220196 Brasileira";0;0;0;0;0;0;0;1;0;0;1
"220220 Campo Maior";0;0;0;0;0;2;0;0;0;0;2
"220225 Canavieira";0;0;0;0;1;0;0;0;0;0;1
"220230 Canto do Buriti";0;0;0;0;0;0;1;0;0;0;1
"220240 Capitão de Campos";0;0;0;0;0;0;0;0;0;1;1
"220273 Coivaras";0;0;0;0;0;1;0;0;0;0;1
"220285 Coronel José Dias";0;0;0;0;1;0;0;0;0;0;1
"220290 Corrente";0;0;1;0;0;0;0;0;0;0;1
"220335 Dirceu Arcoverde";0;0;0;1;1;0;0;0;0;0;2
"220370 Esperantina";0;0;0;0;0;1;0;0;0;0;1
"220390 Floriano";0;0;0;3;1;11;4;1;0;0;20
"220410 Francisco Ayres";0;0;0;0;0;0;1;0;0;0;1
"220420 Francisco Santos";0;0;0;0;0;1;0;0;0;0;1
"220430 Fronteiras";0;0;0;0;1;0;0;0;0;0;1
"220435 Geminiano";0;0;0;1;0;0;0;0;0;0;1
"220465 Ilha Grande";0;0;0;1;0;0;0;0;0;0;1
"220520 Jaicós";0;0;0;0;0;1;0;0;0;0;1
"220540 Joaquim Pires";0;0;0;1;0;0;0;0;0;0;1
"220545 Joca Marques";0;0;0;0;0;1;0;1;0;0;2
"220550 José de Freitas";0;0;0;0;1;1;1;1;0;0;4
"220557 Lagoa de São Francisco";0;0;0;0;1;0;0;0;0;0;1
"220580 Luzilândia";0;0;0;0;0;1;1;0;0;0;2
"220585 Madeiro";0;0;0;0;0;1;0;0;0;0;1
"220610 Matias Olímpio";0;0;0;0;0;1;0;0;0;0;1
"220620 Miguel Alves";0;0;0;1;0;0;0;0;0;0;1
"220675 Nossa Senhora de Nazaré";0;0;0;0;1;0;0;0;0;0;1
"220695 Novo Santo Antônio";0;0;0;0;1;0;0;0;0;0;1
"220700 Oeiras";0;0;0;0;1;0;1;0;0;0;2
"220770 Parnaíba";0;0;0;9;10;6;6;1;0;0;32
"220777 Patos do Piauí";0;0;0;0;0;1;0;0;0;0;1
"220790 Pedro II";0;0;0;1;1;0;0;0;0;0;2
"220800 Picos";0;0;1;5;7;8;3;3;0;0;27
"220830 Piracuruca";0;0;0;2;1;0;1;0;0;0;4
"220840 Piripiri";0;1;0;2;4;0;0;0;0;0;7
"220910 Santa Cruz do Piauí";0;0;0;0;0;1;0;0;0;0;1
"220920 Santa Filomena";0;0;0;1;0;0;0;0;0;0;1
"221000 São João do Piauí";0;0;0;0;1;0;0;0;0;0;1
"221070 Simões";0;0;0;0;0;1;0;0;0;0;1
"221100 Teresina";1;0;5;71;95;70;29;14;2;0;287
"221110 União";0;0;0;1;0;0;0;0;0;0;1
"221120 Uruçuí";0;0;0;0;0;1;0;0;0;0;1
"221130 Valença do Piauí";0;0;0;0;0;0;0;0;1;0;1
"220000 Município ignorado - PI";0;0;0;0;0;1;0;0;0;0;1
"Total";1;1;7;102;135;119;50;24;4;1;444
