 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
UF Residência: Piauí
Período:2025
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"Total"
"220020 Água Branca";1;0;0;0;0;0;0;0;0;1
"220120 Barras";0;0;0;0;0;2;1;0;0;3
"220160 Beneditinos";0;1;0;0;0;0;0;0;0;1
"220200 Buriti dos Lopes";0;1;0;0;0;0;0;0;0;1
"220205 Cabeceiras do Piauí";0;0;0;0;0;0;0;0;1;1
"220220 Campo Maior";0;0;0;0;0;0;2;0;0;2
"220271 Cocal de Telha";0;1;0;0;0;0;0;0;0;1
"220310 Cristino Castro";0;0;0;1;0;0;0;0;0;1
"220330 Demerval Lobão";0;0;0;0;0;0;0;1;0;1
"220335 Dirceu Arcoverde";0;0;0;0;1;0;0;0;0;1
"220370 Esperantina";0;0;0;0;0;1;0;0;0;1
"220390 Floriano";1;1;1;2;0;2;4;0;0;11
"220465 Ilha Grande";0;0;0;1;0;0;0;0;0;1
"220550 José de Freitas";0;0;0;0;0;0;1;0;0;1
"220610 Matias Olímpio";0;0;0;1;0;0;0;0;0;1
"220700 Oeiras";1;1;0;0;0;0;0;0;0;2
"220720 Padre Marcos";1;0;0;1;0;0;0;0;0;2
"220770 Parnaíba";0;4;0;4;0;2;1;0;1;12
"220800 Picos";6;6;1;3;2;3;3;1;2;27
"220840 Piripiri";0;3;0;1;0;1;2;0;0;7
"220850 Porto";0;0;0;0;1;0;0;0;0;1
"220880 Regeneração";0;1;0;0;0;0;0;0;0;1
"220935 Santana do Piauí";1;0;0;0;0;0;0;0;0;1
"221060 São Raimundo Nonato";0;0;1;0;0;0;1;0;0;2
"221065 Sigefredo Pacheco";0;0;0;0;1;0;0;0;0;1
"221100 Teresina";7;7;4;26;6;19;46;9;16;140
"221110 União";0;0;0;0;0;0;0;1;0;1
"221130 Valença do Piauí";0;0;0;0;1;0;0;0;0;1
"Total";18;26;7;40;12;30;61;12;20;226
