 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
UF Residência: Piauí
Período:2025
"Município (Res)";"Masculino";"Feminino";"Total"
"220020 Água Branca";1;0;1
"220040 Altos";1;0;1
"220120 Barras";4;1;5
"220160 Beneditinos";1;0;1
"220200 Buriti dos Lopes";3;0;3
"220205 Cabeceiras do Piauí";1;0;1
"220220 Campo Maior";2;0;2
"220271 Cocal de Telha";1;0;1
"220310 Cristino Castro";1;0;1
"220330 Demerval Lobão";2;0;2
"220335 Dirceu Arcoverde";0;1;1
"220345 Dom Inocêncio";0;1;1
"220370 Esperantina";0;1;1
"220390 Floriano";13;6;19
"220465 Ilha Grande";1;0;1
"220480 Ipiranga do Piauí";1;0;1
"220550 José de Freitas";0;1;1
"220554 Lagoinha do Piauí";0;1;1
"220610 Matias Olímpio";1;1;2
"220700 Oeiras";2;1;3
"220710 Olho D'Água do Piauí";1;0;1
"220720 Padre Marcos";2;0;2
"220770 Parnaíba";11;5;16
"220800 Picos";17;12;29
"220820 Pio IX";1;0;1
"220840 Piripiri";8;1;9
"220850 Porto";1;0;1
"220880 Regeneração";1;0;1
"220935 Santana do Piauí";1;0;1
"220980 São Gonçalo do Piauí";1;0;1
"221060 São Raimundo Nonato";2;0;2
"221065 Sigefredo Pacheco";1;0;1
"221100 Teresina";159;53;212
"221110 União";0;1;1
"221130 Valença do Piauí";1;0;1
"Total";242;86;328
