 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
UF Residência: Rio Grande do Norte
Período:2016
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Ignorado";"Total"
"240020 Açu";3;2;0;4;0;0;9
"240050 Alexandria";0;0;0;1;0;0;1
"240080 Angicos";1;0;0;2;0;0;3
"240100 Apodi";0;0;0;1;0;0;1
"240110 Areia Branca";0;1;0;1;0;0;2
"240130 Augusto Severo";0;0;0;1;0;0;1
"240145 Baraúna";1;0;0;5;0;0;6
"240170 Bom Jesus";0;0;0;1;0;0;1
"240180 Brejinho";1;0;0;0;0;0;1
"240200 Caicó";3;0;0;6;0;0;9
"240220 Canguaretama";1;0;0;6;0;0;7
"240230 Caraúbas";0;0;0;1;0;0;1
"240260 Ceará-Mirim";3;0;0;3;0;0;6
"240270 Cerro Corá";0;0;0;1;0;0;1
"240310 Currais Novos";0;0;0;1;0;0;1
"240360 Extremoz";0;0;0;1;0;0;1
"240400 Frutuoso Gomes";0;0;0;1;0;0;1
"240430 Governador Dix-Sept Rosado";1;0;0;3;0;0;4
"240440 Grossos";2;0;0;2;0;0;4
"240450 Guamaré";0;0;0;1;0;0;1
"240485 Itajá";0;1;0;2;0;0;3
"240510 Jandaíra";0;0;0;1;0;0;1
"240560 Jardim de Piranhas";1;0;0;1;0;0;2
"240580 João Câmara";1;0;0;2;0;0;3
"240640 Lagoa de Velhos";1;0;0;0;0;0;1
"240660 Lagoa Salgada";1;0;0;0;0;0;1
"240670 Lajes";0;0;0;1;0;0;1
"240700 Luís Gomes";1;0;0;0;0;0;1
"240710 Macaíba";4;0;0;5;0;0;9
"240720 Macau";1;0;0;4;0;0;5
"240730 Marcelino Vieira";1;0;0;0;0;0;1
"240770 Montanhas";2;0;0;0;0;0;2
"240780 Monte Alegre";0;0;0;1;0;0;1
"240800 Mossoró";24;3;0;35;0;1;63
"240810 Natal";69;9;3;209;1;6;297
"240820 Nísia Floresta";1;1;0;0;0;0;2
"240830 Nova Cruz";0;0;0;1;0;0;1
"240840 Olho-d'Água do Borges";0;0;0;1;0;0;1
"240325 Parnamirim";4;1;0;25;0;1;31
"240930 Patu";0;0;0;1;0;0;1
"240940 Pau dos Ferros";2;0;0;1;0;0;3
"240990 Pendências";0;0;0;1;0;0;1
"241020 Portalegre";0;0;0;1;0;0;1
"241030 Presidente Juscelino";0;0;0;1;0;0;1
"241120 Santa Cruz";1;0;0;6;0;0;7
"241160 São Bento do Norte";0;0;0;1;0;0;1
"241190 São Francisco do Oeste";1;0;0;0;0;0;1
"241200 São Gonçalo do Amarante";2;0;1;11;0;0;14
"241220 São José de Mipibu";1;0;0;8;0;0;9
"241250 São Miguel";0;0;0;1;0;0;1
"241260 São Paulo do Potengi";0;0;0;1;0;0;1
"241280 São Rafael";0;0;0;1;0;0;1
"241290 São Tomé";0;0;0;2;0;0;2
"241300 São Vicente";0;0;0;1;0;0;1
"241335 Serra do Mel";0;0;0;1;0;0;1
"241105 Tibau";1;0;0;0;0;0;1
"241420 Tibau do Sul";0;0;0;1;0;0;1
"241440 Touros";1;0;0;2;0;0;3
"Total";136;18;4;371;1;8;538
