 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
UF Residência: Rio Grande do Norte
Período:2018
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"Total"
"240020 Açu";1;6;0;1;0;0;2;1;0;11
"240040 Água Nova";0;0;0;1;0;0;0;0;0;1
"240070 Alto do Rodrigues";1;0;0;2;1;0;0;0;0;4
"240080 Angicos";0;2;0;0;0;0;0;0;0;2
"240100 Apodi";0;0;0;0;0;1;1;0;0;2
"240110 Areia Branca";0;0;0;0;0;0;2;0;1;3
"240145 Baraúna";0;0;0;1;0;1;0;0;0;2
"240150 Barcelona";0;0;1;0;0;0;1;0;0;2
"240200 Caicó";0;1;1;1;2;1;4;0;2;12
"240210 Campo Redondo";0;0;0;0;0;0;0;1;0;1
"240220 Canguaretama";0;0;1;0;1;0;0;0;1;3
"240230 Caraúbas";1;0;2;0;0;0;0;1;3;7
"240240 Carnaúba dos Dantas";1;0;0;0;0;0;0;0;0;1
"240260 Ceará-Mirim";1;0;0;1;1;0;0;0;0;3
"240310 Currais Novos";0;0;0;1;1;0;0;0;0;2
"240330 Encanto";0;0;0;0;0;0;0;1;0;1
"240360 Extremoz";0;0;0;0;0;0;1;0;1;2
"240370 Felipe Guerra";0;1;0;0;0;0;0;0;0;1
"240390 Francisco Dantas";0;0;1;0;0;0;0;0;0;1
"240400 Frutuoso Gomes";0;1;0;0;0;0;0;0;0;1
"240420 Goianinha";0;0;0;2;0;0;0;1;1;4
"240430 Governador Dix-Sept Rosado";0;0;0;1;0;0;0;0;0;1
"240440 Grossos";0;1;0;0;0;0;0;0;0;1
"240450 Guamaré";0;1;0;1;0;0;0;0;0;2
"240460 Ielmo Marinho";0;0;0;0;1;0;0;0;0;1
"240470 Ipanguaçu";0;0;0;1;0;0;0;0;0;1
"240485 Itajá";0;1;0;1;0;1;0;0;0;3
"240490 Itaú";0;0;0;0;0;0;0;1;0;1
"240500 Jaçanã";0;0;1;0;0;0;0;0;0;1
"240560 Jardim de Piranhas";0;0;0;0;0;1;0;0;0;1
"240580 João Câmara";0;1;0;2;1;0;1;0;0;5
"240610 Jucurutu";0;0;0;0;0;0;1;0;0;1
"240650 Lagoa Nova";0;0;0;0;0;0;1;0;0;1
"240710 Macaíba";3;3;4;0;3;2;1;0;0;16
"240720 Macau";1;2;0;0;2;1;0;0;3;9
"240740 Martins";0;0;0;1;0;0;0;0;0;1
"240760 Messias Targino";0;0;0;1;0;0;0;0;0;1
"240800 Mossoró";5;6;4;11;1;9;21;8;18;83
"240810 Natal";12;24;8;52;30;38;70;12;50;296
"240820 Nísia Floresta";0;0;0;0;0;0;0;0;1;1
"240830 Nova Cruz";1;2;0;1;0;0;0;0;0;4
"240890 Parelhas";0;0;0;0;1;0;0;0;0;1
"240325 Parnamirim";0;1;3;8;0;7;16;2;10;47
"240940 Pau dos Ferros";0;0;0;0;0;1;0;2;1;4
"240970 Pedro Avelino";1;0;0;0;0;0;0;0;0;1
"240980 Pedro Velho";1;0;0;1;0;0;0;0;0;2
"240990 Pendências";0;1;0;1;0;0;0;0;0;2
"241050 Rafael Fernandes";1;0;0;0;0;0;0;0;0;1
"241120 Santa Cruz";1;0;1;0;1;0;0;1;1;5
"241200 São Gonçalo do Amarante";2;1;1;5;2;3;2;1;1;18
"241220 São José de Mipibu";3;1;1;2;2;1;3;0;2;15
"241250 São Miguel";0;0;0;1;0;0;0;1;1;3
"241260 São Paulo do Potengi";0;0;0;0;0;1;0;0;0;1
"241280 São Rafael";0;0;0;0;1;0;0;0;0;1
"241320 Senador Georgino Avelino";0;0;0;0;1;0;0;0;0;1
"241335 Serra do Mel";0;0;0;1;0;0;0;1;0;2
"241410 Tenente Ananias";0;0;0;1;0;0;0;0;0;1
"241440 Touros";2;0;0;0;0;0;0;0;0;2
"241470 Várzea";0;0;0;0;1;0;0;0;0;1
"241480 Vera Cruz";0;0;0;0;0;1;0;0;0;1
"Total";38;56;29;102;53;69;127;34;97;605
