 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Rio Grande do Norte
Período:2018
"Município (Res)";"< 1 ano";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"240010 Acari";0;0;0;0;0;1;0;0;0;0;0;0;1
"240020 Açu";0;0;0;0;1;5;1;3;2;1;1;0;14
"240040 Água Nova";0;0;0;0;0;1;0;0;0;0;0;0;1
"240070 Alto do Rodrigues";0;0;0;0;0;0;1;2;1;0;0;0;4
"240080 Angicos";0;0;0;0;0;0;0;3;1;0;0;0;4
"240100 Apodi";0;0;0;0;1;0;1;0;0;0;0;0;2
"240110 Areia Branca";0;0;0;0;0;1;1;0;2;0;0;0;4
"240140 Baía Formosa";0;0;0;0;0;0;0;1;0;0;0;0;1
"240145 Baraúna";0;0;0;0;0;3;0;0;0;0;0;0;3
"240150 Barcelona";0;0;0;0;0;1;0;1;0;0;0;0;2
"240200 Caicó";0;0;0;0;1;5;5;5;0;0;1;0;17
"240210 Campo Redondo";0;0;0;0;0;1;0;0;0;0;0;0;1
"240220 Canguaretama";0;0;0;0;0;0;2;0;1;0;0;0;3
"240230 Caraúbas";0;0;0;0;1;1;2;3;0;0;0;0;7
"240240 Carnaúba dos Dantas";0;0;0;0;0;0;0;0;0;0;1;0;1
"240260 Ceará-Mirim";0;0;0;0;0;0;1;1;1;0;0;0;3
"240310 Currais Novos";0;0;0;0;0;1;1;0;0;0;0;0;2
"240330 Encanto";0;0;0;0;0;1;0;0;0;0;0;0;1
"240350 Espírito Santo";0;0;0;0;0;0;0;0;1;0;0;0;1
"240360 Extremoz";0;0;0;0;0;0;0;1;1;0;0;0;2
"240370 Felipe Guerra";0;0;0;0;0;0;0;1;0;0;0;0;1
"240390 Francisco Dantas";0;0;0;0;0;0;0;1;0;0;0;0;1
"240400 Frutuoso Gomes";0;0;0;0;0;1;0;0;0;0;0;0;1
"240420 Goianinha";0;0;0;0;0;3;0;1;0;0;0;0;4
"240430 Governador Dix-Sept Rosado";0;0;0;0;0;0;1;1;0;0;0;0;2
"240440 Grossos";0;0;0;0;0;0;1;0;0;0;0;0;1
"240450 Guamaré";0;0;0;0;0;1;0;1;0;1;0;0;3
"240460 Ielmo Marinho";0;0;0;0;0;1;0;0;0;0;0;0;1
"240470 Ipanguaçu";0;0;0;0;0;0;1;1;0;0;0;0;2
"240485 Itajá";0;0;0;0;0;0;1;2;0;0;0;0;3
"240490 Itaú";0;0;0;0;0;0;1;0;0;0;0;0;1
"240500 Jaçanã";0;0;0;0;0;0;0;1;0;0;0;0;1
"240510 Jandaíra";0;0;0;0;0;0;0;1;0;0;0;0;1
"240560 Jardim de Piranhas";0;0;0;0;0;0;1;0;0;0;0;0;1
"240580 João Câmara";0;0;0;0;0;2;1;2;0;0;0;0;5
"240610 Jucurutu";0;0;0;0;0;1;0;0;0;0;0;0;1
"240650 Lagoa Nova";0;0;0;0;0;1;0;0;0;0;0;0;1
"240670 Lajes";0;0;0;0;0;1;0;0;0;0;0;0;1
"240710 Macaíba";0;0;0;0;1;0;7;6;3;0;0;0;17
"240720 Macau";1;0;0;0;0;1;0;7;2;0;0;0;11
"240740 Martins";0;0;0;0;0;0;1;0;0;0;0;0;1
"240760 Messias Targino";0;0;0;0;1;0;0;0;0;0;0;0;1
"240800 Mossoró";1;0;0;2;4;27;26;13;11;2;1;0;87
"240810 Natal";3;5;1;0;10;100;101;86;46;17;3;0;372
"240820 Nísia Floresta";0;0;0;0;0;0;0;0;1;0;0;0;1
"240830 Nova Cruz";0;2;0;0;0;0;1;0;0;1;1;0;5
"240890 Parelhas";0;0;0;0;0;0;1;0;0;0;0;0;1
"240325 Parnamirim";0;0;0;0;1;21;17;13;5;3;2;1;63
"240910 Passa e Fica";0;0;0;0;0;0;0;0;1;0;0;0;1
"240930 Patu";0;0;0;0;0;0;0;1;0;0;0;0;1
"240940 Pau dos Ferros";0;0;0;0;0;3;1;1;0;0;0;0;5
"240970 Pedro Avelino";0;0;0;0;0;0;0;1;0;0;0;0;1
"240980 Pedro Velho";0;0;0;0;0;1;1;0;0;0;0;0;2
"240990 Pendências";0;0;0;0;0;0;2;0;0;0;0;0;2
"241020 Portalegre";0;0;0;0;0;1;0;0;0;0;0;0;1
"241050 Rafael Fernandes";0;0;0;0;0;0;0;0;1;0;0;0;1
"241120 Santa Cruz";0;0;0;0;1;1;3;1;0;1;0;0;7
"241200 São Gonçalo do Amarante";0;0;0;0;1;6;4;2;4;0;1;0;18
"241220 São José de Mipibu";0;0;0;0;1;6;6;1;3;1;0;0;18
"241240 São José do Seridó";0;0;0;0;0;0;0;1;0;0;0;0;1
"241250 São Miguel";0;0;0;0;0;1;0;0;2;0;0;0;3
"241260 São Paulo do Potengi";0;0;0;0;0;0;1;0;0;0;0;0;1
"241280 São Rafael";0;0;0;0;0;0;1;0;0;0;0;0;1
"241320 Senador Georgino Avelino";0;0;0;0;0;0;1;1;0;0;0;0;2
"241335 Serra do Mel";0;0;0;0;0;0;1;0;1;0;0;0;2
"241410 Tenente Ananias";0;0;0;0;1;1;0;0;0;0;0;0;2
"241440 Touros";0;0;0;0;0;0;0;2;0;0;0;0;2
"241470 Várzea";0;0;0;0;0;0;0;0;1;0;0;0;1
"241480 Vera Cruz";0;0;0;0;0;1;0;0;0;0;0;0;1
"Total";5;7;1;2;25;202;197;168;91;27;11;1;737
