 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Rio Grande do Norte
Período:2019
"Município (Res)";"< 1 ano";"1-4";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"240020 Açu";0;0;1;3;3;4;1;0;0;0;12
"240080 Angicos";0;0;0;0;1;0;0;0;0;0;1
"240100 Apodi";0;0;0;0;1;0;0;0;0;0;1
"240110 Areia Branca";0;0;0;1;1;2;1;0;0;0;5
"240120 Arês";0;0;0;0;1;0;1;0;0;0;2
"240140 Baía Formosa";0;0;0;0;0;1;0;0;0;0;1
"240145 Baraúna";0;0;1;0;1;0;0;1;0;0;3
"240150 Barcelona";0;0;0;0;1;1;0;0;0;0;2
"240180 Brejinho";0;0;0;1;0;0;0;0;0;0;1
"240185 Caiçara do Norte";0;0;0;0;0;1;0;0;0;0;1
"240200 Caicó";0;0;0;3;5;1;4;1;2;0;16
"240210 Campo Redondo";0;0;0;0;0;2;0;0;0;0;2
"240220 Canguaretama";0;0;0;0;2;1;0;1;0;0;4
"240250 Carnaubais";0;0;0;0;0;1;0;0;0;0;1
"240260 Ceará-Mirim";0;0;0;0;2;3;1;1;0;1;8
"240310 Currais Novos";0;0;0;0;0;1;0;0;0;0;1
"240330 Encanto";0;0;0;0;0;0;1;0;0;0;1
"240360 Extremoz";0;0;0;4;5;1;1;0;0;0;11
"240370 Felipe Guerra";0;0;0;0;1;0;0;0;0;0;1
"240375 Fernando Pedroza";0;0;0;0;1;0;0;0;0;0;1
"240420 Goianinha";0;0;0;0;1;1;0;0;0;0;2
"240440 Grossos";0;0;1;1;0;1;1;0;0;0;4
"240450 Guamaré";0;0;0;1;1;0;1;0;0;0;3
"240460 Ielmo Marinho";0;0;0;0;1;0;0;0;0;0;1
"240470 Ipanguaçu";0;0;0;0;0;0;1;0;0;0;1
"240490 Itaú";0;0;0;0;0;1;1;0;0;0;2
"240560 Jardim de Piranhas";0;0;0;1;0;0;0;0;0;0;1
"240570 Jardim do Seridó";0;0;0;1;0;0;0;0;0;0;1
"240580 João Câmara";0;0;0;0;2;3;0;1;1;0;7
"240650 Lagoa Nova";0;0;0;0;0;0;1;0;0;0;1
"240670 Lajes";0;0;0;0;0;0;0;1;0;0;1
"240700 Luís Gomes";0;0;0;0;0;0;1;0;0;0;1
"240710 Macaíba";0;0;1;3;8;0;3;0;1;0;16
"240720 Macau";0;0;0;3;1;0;1;0;0;0;5
"240740 Martins";0;0;0;0;0;0;1;0;0;0;1
"240800 Mossoró";0;0;3;20;22;18;10;4;2;0;79
"240810 Natal";2;0;6;86;80;61;36;14;3;4;292
"240820 Nísia Floresta";0;0;0;0;6;2;0;0;0;0;8
"240830 Nova Cruz";0;0;0;3;1;0;0;0;0;0;4
"240860 Paraná";0;0;0;0;1;0;0;0;0;0;1
"240325 Parnamirim";0;0;2;15;6;6;4;1;0;0;34
"240940 Pau dos Ferros";0;0;0;0;0;2;0;0;0;0;2
"240950 Pedra Grande";0;0;0;1;0;0;0;0;0;0;1
"241010 Poço Branco";0;0;0;0;1;0;0;0;0;0;1
"241050 Rafael Fernandes";0;0;0;0;1;1;0;0;0;0;2
"241090 Riachuelo";0;0;0;1;0;1;1;0;0;0;3
"241120 Santa Cruz";0;0;0;0;3;1;0;0;0;0;4
"241150 Santo Antônio";0;0;0;0;1;0;0;0;0;0;1
"241160 São Bento do Norte";0;0;0;0;0;1;0;0;0;0;1
"241200 São Gonçalo do Amarante";0;0;1;4;4;5;1;1;1;0;17
"241220 São José de Mipibu";0;0;1;2;2;4;2;2;0;0;13
"241230 São José do Campestre";0;0;0;0;0;0;1;0;0;0;1
"241250 São Miguel";0;0;1;0;1;1;0;0;0;0;3
"241255 São Miguel do Gostoso";0;1;0;0;0;0;0;0;0;0;1
"241260 São Paulo do Potengi";0;0;1;0;1;0;1;0;1;0;4
"241270 São Pedro";0;0;0;0;0;1;0;0;0;0;1
"241280 São Rafael";0;0;0;1;0;0;0;0;0;0;1
"241290 São Tomé";0;0;0;0;0;0;1;0;1;0;2
"241320 Senador Georgino Avelino";0;0;0;0;1;0;0;0;0;0;1
"241330 Serra de São Bento";0;0;0;0;1;0;0;1;0;0;2
"241340 Serra Negra do Norte";0;0;0;0;1;0;0;0;0;0;1
"241370 Sítio Novo";0;0;0;1;0;0;0;0;0;0;1
"241390 Taipu";0;0;0;0;0;1;0;0;0;0;1
"241105 Tibau";0;0;0;0;1;0;0;0;0;0;1
"241440 Touros";0;0;0;0;1;1;0;0;0;0;2
"241470 Várzea";0;0;0;0;0;1;0;0;0;0;1
"241500 Vila Flor";0;0;0;0;1;0;0;0;0;0;1
"Total";2;1;19;156;175;132;78;29;12;5;609
