 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Ano Diagnóstico
UF Residência: Rio Grande do Norte
Período:2021
"Município (Res)";"2021";"Total"
"240010 Acari";1;1
"240020 Açu";5;5
"240070 Alto do Rodrigues";3;3
"240080 Angicos";2;2
"240100 Apodi";2;2
"240110 Areia Branca";3;3
"240145 Baraúna";1;1
"240170 Bom Jesus";2;2
"240185 Caiçara do Norte";1;1
"240200 Caicó";5;5
"240220 Canguaretama";6;6
"240260 Ceará-Mirim";7;7
"240310 Currais Novos";3;3
"240320 Doutor Severiano";1;1
"240330 Encanto";1;1
"240340 Equador";1;1
"240350 Espírito Santo";1;1
"240360 Extremoz";7;7
"240440 Grossos";1;1
"240450 Guamaré";3;3
"240470 Ipanguaçu";1;1
"240560 Jardim de Piranhas";1;1
"240580 João Câmara";1;1
"240660 Lagoa Salgada";1;1
"240710 Macaíba";13;13
"240720 Macau";3;3
"240760 Messias Targino";1;1
"240800 Mossoró";64;64
"240810 Natal";309;309
"240820 Nísia Floresta";6;6
"240830 Nova Cruz";2;2
"240880 Parazinho";2;2
"240325 Parnamirim";48;48
"240910 Passa e Fica";2;2
"240930 Patu";1;1
"240940 Pau dos Ferros";3;3
"240970 Pedro Avelino";1;1
"240980 Pedro Velho";1;1
"241020 Portalegre";1;1
"241025 Porto do Mangue";2;2
"241040 Pureza";1;1
"241080 Riacho de Santana";1;1
"241090 Riachuelo";1;1
"240895 Rio do Fogo";3;3
"241100 Rodolfo Fernandes";3;3
"241120 Santa Cruz";3;3
"241160 São Bento do Norte";1;1
"241200 São Gonçalo do Amarante";14;14
"241220 São José de Mipibu";16;16
"241230 São José do Campestre";1;1
"241255 São Miguel do Gostoso";1;1
"241280 São Rafael";1;1
"241290 São Tomé";1;1
"241320 Senador Georgino Avelino";1;1
"241335 Serra do Mel";1;1
"241380 Taboleiro Grande";1;1
"241400 Tangará";2;2
"241105 Tibau";1;1
"241420 Tibau do Sul";1;1
"241440 Touros";3;3
"241500 Vila Flor";1;1
"Total";577;577
