 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
UF Residência: Rio Grande do Norte
Período:2023
"Município (Res)";"Masculino";"Feminino";"Total"
"240010 Acari";1;0;1
"240020 Açu";6;1;7
"240030 Afonso Bezerra";0;1;1
"240070 Alto do Rodrigues";0;1;1
"240080 Angicos";1;0;1
"240100 Apodi";2;1;3
"240130 Augusto Severo";0;1;1
"240145 Baraúna";2;0;2
"240150 Barcelona";1;0;1
"240200 Caicó";13;2;15
"240220 Canguaretama";2;0;2
"240230 Caraúbas";0;2;2
"240260 Ceará-Mirim";6;3;9
"240310 Currais Novos";1;0;1
"240320 Doutor Severiano";1;0;1
"240350 Espírito Santo";2;0;2
"240360 Extremoz";8;2;10
"240390 Francisco Dantas";1;0;1
"240400 Frutuoso Gomes";0;2;2
"240420 Goianinha";1;0;1
"240430 Governador Dix-Sept Rosado";1;0;1
"240450 Guamaré";2;1;3
"240460 Ielmo Marinho";2;0;2
"240470 Ipanguaçu";1;0;1
"240485 Itajá";1;1;2
"240600 José da Penha";1;1;2
"240610 Jucurutu";2;0;2
"240650 Lagoa Nova";1;0;1
"240670 Lajes";1;2;3
"240700 Luís Gomes";2;0;2
"240710 Macaíba";13;5;18
"240720 Macau";6;0;6
"240725 Major Sales";1;0;1
"240760 Messias Targino";2;1;3
"240780 Monte Alegre";1;0;1
"240800 Mossoró";64;26;90
"240810 Natal";213;66;279
"240820 Nísia Floresta";6;1;7
"240830 Nova Cruz";0;1;1
"240890 Parelhas";1;0;1
"240325 Parnamirim";20;2;22
"240930 Patu";1;0;1
"240940 Pau dos Ferros";7;2;9
"240970 Pedro Avelino";3;1;4
"240980 Pedro Velho";2;0;2
"240990 Pendências";1;1;2
"241000 Pilões";0;1;1
"241010 Poço Branco";1;0;1
"241025 Porto do Mangue";2;0;2
"241050 Rafael Fernandes";0;1;1
"241100 Rodolfo Fernandes";1;0;1
"241120 Santa Cruz";3;2;5
"241150 Santo Antônio";0;1;1
"241200 São Gonçalo do Amarante";12;4;16
"241220 São José de Mipibu";12;1;13
"241250 São Miguel";1;0;1
"241255 São Miguel do Gostoso";1;0;1
"241260 São Paulo do Potengi";3;1;4
"241330 Serra de São Bento";0;1;1
"241370 Sítio Novo";2;0;2
"241390 Taipu";1;0;1
"241400 Tangará";0;1;1
"241105 Tibau";1;1;2
"241420 Tibau do Sul";1;0;1
"241440 Touros";3;1;4
"241460 Upanema";1;0;1
"241480 Vera Cruz";1;0;1
"241500 Vila Flor";1;0;1
"Total";450;142;592
