 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Ano Diagnóstico
UF Residência: Rio Grande do Norte
Período:2025
"Município (Res)";"2025";"Total"
"240020 Açu";8;8
"240070 Alto do Rodrigues";1;1
"240090 Antônio Martins";1;1
"240110 Areia Branca";6;6
"240130 Augusto Severo";1;1
"240145 Baraúna";4;4
"240200 Caicó";12;12
"240230 Caraúbas";2;2
"240260 Ceará-Mirim";4;4
"240300 Cruzeta";1;1
"240310 Currais Novos";2;2
"240330 Encanto";1;1
"240360 Extremoz";1;1
"240370 Felipe Guerra";1;1
"240470 Ipanguaçu";2;2
"240485 Itajá";1;1
"240560 Jardim de Piranhas";1;1
"240570 Jardim do Seridó";1;1
"240580 João Câmara";2;2
"240600 José da Penha";1;1
"240610 Jucurutu";1;1
"240620 Lagoa d'Anta";1;1
"240710 Macaíba";12;12
"240720 Macau";1;1
"240800 Mossoró";69;69
"240810 Natal";229;229
"240820 Nísia Floresta";1;1
"240860 Paraná";3;3
"240325 Parnamirim";30;30
"240930 Patu";1;1
"240940 Pau dos Ferros";5;5
"240980 Pedro Velho";1;1
"241010 Poço Branco";1;1
"241025 Porto do Mangue";1;1
"241030 Presidente Juscelino";1;1
"241050 Rafael Fernandes";1;1
"241090 Riachuelo";1;1
"241120 Santa Cruz";3;3
"241200 São Gonçalo do Amarante";16;16
"241220 São José de Mipibu";13;13
"241250 São Miguel";1;1
"241260 São Paulo do Potengi";3;3
"241335 Serra do Mel";5;5
"241415 Tenente Laurentino Cruz";1;1
"241105 Tibau";1;1
"241420 Tibau do Sul";1;1
"241440 Touros";1;1
"241450 Umarizal";1;1
"Total";458;458
