 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
UF Residência: Rio Grande do Norte
Período:2025
"Município (Res)";"Masculino";"Feminino";"Total"
"240020 Açu";6;2;8
"240070 Alto do Rodrigues";0;1;1
"240090 Antônio Martins";1;0;1
"240110 Areia Branca";5;1;6
"240130 Augusto Severo";0;1;1
"240145 Baraúna";3;1;4
"240200 Caicó";12;0;12
"240230 Caraúbas";1;1;2
"240260 Ceará-Mirim";1;3;4
"240300 Cruzeta";1;0;1
"240310 Currais Novos";1;1;2
"240330 Encanto";1;0;1
"240360 Extremoz";1;0;1
"240370 Felipe Guerra";0;1;1
"240470 Ipanguaçu";2;0;2
"240485 Itajá";0;1;1
"240560 Jardim de Piranhas";0;1;1
"240570 Jardim do Seridó";1;0;1
"240580 João Câmara";2;0;2
"240600 José da Penha";0;1;1
"240610 Jucurutu";1;0;1
"240620 Lagoa d'Anta";1;0;1
"240710 Macaíba";9;3;12
"240720 Macau";0;1;1
"240800 Mossoró";53;16;69
"240810 Natal";168;61;229
"240820 Nísia Floresta";0;1;1
"240860 Paraná";3;0;3
"240325 Parnamirim";24;6;30
"240930 Patu";1;0;1
"240940 Pau dos Ferros";3;2;5
"240980 Pedro Velho";1;0;1
"241010 Poço Branco";0;1;1
"241025 Porto do Mangue";1;0;1
"241030 Presidente Juscelino";0;1;1
"241050 Rafael Fernandes";1;0;1
"241090 Riachuelo";1;0;1
"241120 Santa Cruz";1;2;3
"241200 São Gonçalo do Amarante";13;3;16
"241220 São José de Mipibu";6;7;13
"241250 São Miguel";0;1;1
"241260 São Paulo do Potengi";2;1;3
"241335 Serra do Mel";1;4;5
"241415 Tenente Laurentino Cruz";1;0;1
"241105 Tibau";1;0;1
"241420 Tibau do Sul";0;1;1
"241440 Touros";1;0;1
"241450 Umarizal";1;0;1
"Total";332;126;458
