 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
UF Residência: Sergipe
Período:2015
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"Total"
"280030 Aracaju";14;39;5;43;10;13;46;16;19;205
"280060 Barra dos Coqueiros";0;0;0;0;1;1;0;0;0;2
"280067 Boquim";0;0;0;1;0;0;0;0;0;1
"280070 Brejo Grande";1;0;0;0;0;0;0;0;0;1
"280120 Canindé de São Francisco";1;1;0;3;1;0;1;0;0;7
"280130 Capela";1;2;0;1;1;0;0;0;0;5
"280140 Carira";0;0;0;1;0;0;0;0;0;1
"280150 Carmópolis";0;1;0;1;0;0;0;0;0;2
"280160 Cedro de São João";0;0;0;1;0;0;0;0;0;1
"280200 Divina Pastora";0;0;0;1;0;0;0;0;0;1
"280210 Estância";0;2;0;3;2;1;0;1;0;9
"280220 Feira Nova";0;0;0;1;0;0;0;0;0;1
"280250 General Maynard";0;1;0;0;0;0;0;0;0;1
"280270 Ilha das Flores";0;2;0;0;0;0;0;0;0;2
"280290 Itabaiana";0;2;1;1;0;3;0;2;0;9
"280300 Itabaianinha";0;0;0;0;0;0;1;0;0;1
"280320 Itaporanga d'Ajuda";0;0;0;0;0;0;1;0;0;1
"280330 Japaratuba";0;3;0;0;0;0;0;0;1;4
"280350 Lagarto";0;1;1;0;0;0;1;0;0;3
"280360 Laranjeiras";0;1;0;1;0;0;2;0;0;4
"280390 Malhador";0;0;0;0;0;0;1;0;0;1
"280400 Maruim";0;0;1;0;0;0;0;0;0;1
"280420 Monte Alegre de Sergipe";0;0;0;1;0;0;0;0;0;1
"280450 Nossa Senhora da Glória";0;1;0;0;0;0;0;0;0;1
"280460 Nossa Senhora das Dores";1;0;0;0;0;0;0;0;0;1
"280480 Nossa Senhora do Socorro";0;4;1;2;0;1;8;0;0;16
"280490 Pacatuba";0;0;0;0;0;0;1;0;0;1
"280500 Pedra Mole";0;1;0;0;0;0;0;0;0;1
"280510 Pedrinhas";0;0;0;1;0;0;0;0;0;1
"280540 Poço Redondo";0;1;0;0;1;0;0;0;0;2
"280560 Porto da Folha";0;1;0;1;0;0;0;0;0;2
"280570 Propriá";0;3;1;0;3;0;1;0;1;9
"280580 Riachão do Dantas";0;1;0;0;0;0;0;0;0;1
"280620 Salgado";0;0;0;1;0;0;0;0;1;2
"280630 Santa Luzia do Itanhy";1;0;0;1;0;0;0;0;0;2
"280640 Santana do São Francisco";0;1;0;0;0;0;1;0;0;2
"280660 Santo Amaro das Brotas";0;0;0;0;0;1;0;0;0;1
"280670 São Cristóvão";1;2;0;6;0;0;1;2;0;12
"280710 Simão Dias";1;0;0;1;0;0;1;0;0;3
"280740 Tobias Barreto";0;1;0;0;0;0;1;0;0;2
"280750 Tomar do Geru";0;0;0;1;0;0;1;0;0;2
"280760 Umbaúba";0;1;1;0;0;0;0;0;0;2
"Total";21;72;11;73;19;20;68;21;22;327
