 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Sergipe
Período:2015
"Município (Res)";"< 1 ano";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"280030 Aracaju";1;2;1;2;9;63;82;40;21;14;3;0;238
"280060 Barra dos Coqueiros";0;0;0;0;1;0;0;1;0;0;0;0;2
"280067 Boquim";0;0;0;0;0;0;1;0;0;0;0;0;1
"280070 Brejo Grande";0;0;0;0;0;0;1;0;0;0;0;0;1
"280120 Canindé de São Francisco";0;0;0;0;0;3;2;2;0;0;0;0;7
"280130 Capela";0;0;0;0;0;0;1;1;2;1;0;0;5
"280140 Carira";0;0;0;0;0;0;0;1;0;0;0;0;1
"280150 Carmópolis";0;0;0;0;0;1;0;1;0;0;0;0;2
"280160 Cedro de São João";0;0;0;0;0;1;0;0;0;0;1;0;2
"280170 Cristinápolis";0;0;0;0;1;0;0;0;0;1;0;0;2
"280200 Divina Pastora";0;0;0;0;0;0;0;0;0;1;0;0;1
"280210 Estância";0;0;0;0;0;6;1;3;1;0;0;0;11
"280220 Feira Nova";0;0;0;0;1;0;0;0;0;0;0;0;1
"280250 General Maynard";0;0;0;0;0;0;0;0;1;0;0;0;1
"280270 Ilha das Flores";0;0;0;0;0;0;2;0;0;0;0;0;2
"280290 Itabaiana";0;1;0;0;0;5;2;2;1;0;0;0;11
"280300 Itabaianinha";0;0;0;0;0;0;1;0;0;0;0;0;1
"280320 Itaporanga d'Ajuda";0;0;0;0;0;1;0;0;0;0;0;0;1
"280330 Japaratuba";0;1;0;0;0;1;0;1;1;0;0;1;5
"280350 Lagarto";0;0;0;0;0;1;1;3;1;0;0;0;6
"280360 Laranjeiras";0;0;0;0;0;2;1;1;0;0;0;0;4
"280390 Malhador";0;0;0;0;0;0;1;0;0;0;0;0;1
"280400 Maruim";0;0;0;0;0;0;0;0;0;1;0;0;1
"280420 Monte Alegre de Sergipe";0;0;0;0;0;1;0;0;0;0;0;0;1
"280450 Nossa Senhora da Glória";0;0;0;0;0;1;0;0;0;0;0;0;1
"280460 Nossa Senhora das Dores";0;0;0;0;0;0;0;0;0;1;0;0;1
"280480 Nossa Senhora do Socorro";0;0;0;0;0;7;5;4;1;0;0;0;17
"280490 Pacatuba";0;0;0;0;0;0;0;1;0;0;0;0;1
"280500 Pedra Mole";0;0;0;0;0;1;0;0;0;0;0;0;1
"280510 Pedrinhas";0;0;0;0;0;0;1;0;0;0;0;0;1
"280540 Poço Redondo";0;0;0;0;0;1;1;0;0;0;0;0;2
"280560 Porto da Folha";0;0;0;0;0;0;2;0;0;0;0;0;2
"280570 Propriá";0;0;0;0;0;2;1;3;2;1;0;0;9
"280580 Riachão do Dantas";0;0;0;0;0;0;1;0;0;0;0;0;1
"280620 Salgado";0;0;0;0;0;0;1;1;0;0;0;0;2
"280630 Santa Luzia do Itanhy";0;0;0;0;0;0;1;2;0;0;0;0;3
"280640 Santana do São Francisco";0;0;0;0;0;1;0;0;0;1;0;0;2
"280660 Santo Amaro das Brotas";0;0;0;0;0;0;1;0;0;0;0;0;1
"280670 São Cristóvão";0;0;0;0;0;5;1;3;3;0;0;0;12
"280710 Simão Dias";0;0;0;0;0;1;0;2;0;0;0;0;3
"280740 Tobias Barreto";0;0;0;0;0;1;0;1;1;0;0;0;3
"280750 Tomar do Geru";0;0;0;0;0;0;1;0;1;0;0;0;2
"280760 Umbaúba";0;0;0;0;0;0;1;0;1;0;0;0;2
"Total";1;4;1;2;12;105;113;73;37;21;4;1;374
