 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
UF Residência: Sergipe
Período:2015
"Município (Res)";"Branca";"Preta";"Parda";"Ignorado";"Total"
"280030 Aracaju";30;6;201;1;238
"280060 Barra dos Coqueiros";0;0;2;0;2
"280067 Boquim";0;0;1;0;1
"280070 Brejo Grande";0;0;1;0;1
"280120 Canindé de São Francisco";1;0;6;0;7
"280130 Capela";1;0;4;0;5
"280140 Carira";0;0;1;0;1
"280150 Carmópolis";1;0;1;0;2
"280160 Cedro de São João";0;0;2;0;2
"280170 Cristinápolis";0;0;2;0;2
"280200 Divina Pastora";0;0;1;0;1
"280210 Estância";0;1;9;1;11
"280220 Feira Nova";0;0;1;0;1
"280250 General Maynard";0;0;1;0;1
"280270 Ilha das Flores";0;0;2;0;2
"280290 Itabaiana";1;1;9;0;11
"280300 Itabaianinha";0;0;1;0;1
"280320 Itaporanga d'Ajuda";0;0;1;0;1
"280330 Japaratuba";1;0;4;0;5
"280350 Lagarto";2;0;4;0;6
"280360 Laranjeiras";0;0;4;0;4
"280390 Malhador";0;0;1;0;1
"280400 Maruim";0;0;1;0;1
"280420 Monte Alegre de Sergipe";1;0;0;0;1
"280450 Nossa Senhora da Glória";0;0;1;0;1
"280460 Nossa Senhora das Dores";0;0;1;0;1
"280480 Nossa Senhora do Socorro";0;2;13;2;17
"280490 Pacatuba";0;0;1;0;1
"280500 Pedra Mole";0;1;0;0;1
"280510 Pedrinhas";0;0;1;0;1
"280540 Poço Redondo";1;0;1;0;2
"280560 Porto da Folha";0;0;2;0;2
"280570 Propriá";1;0;8;0;9
"280580 Riachão do Dantas";1;0;0;0;1
"280620 Salgado";0;0;2;0;2
"280630 Santa Luzia do Itanhy";1;0;2;0;3
"280640 Santana do São Francisco";0;0;2;0;2
"280660 Santo Amaro das Brotas";0;0;1;0;1
"280670 São Cristóvão";1;0;11;0;12
"280710 Simão Dias";1;0;2;0;3
"280740 Tobias Barreto";0;0;3;0;3
"280750 Tomar do Geru";0;0;2;0;2
"280760 Umbaúba";1;0;1;0;2
"Total";45;11;314;4;374
