 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
UF Residência: Sergipe
Período:2017
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Ignorado";"Total"
"280020 Aquidabã";2;0;0;2;1;5
"280030 Aracaju";43;5;0;180;1;229
"280040 Arauá";0;0;1;0;0;1
"280060 Barra dos Coqueiros";0;0;1;1;0;2
"280067 Boquim";0;0;0;1;0;1
"280070 Brejo Grande";0;0;0;1;0;1
"280100 Campo do Brito";1;0;0;0;0;1
"280120 Canindé de São Francisco";0;0;0;2;0;2
"280130 Capela";0;1;0;4;0;5
"280140 Carira";0;0;0;2;0;2
"280150 Carmópolis";0;0;0;3;0;3
"280160 Cedro de São João";1;0;0;0;0;1
"280170 Cristinápolis";1;0;0;2;0;3
"280210 Estância";0;0;0;5;0;5
"280240 Gararu";0;0;0;1;0;1
"280270 Ilha das Flores";0;0;0;1;0;1
"280290 Itabaiana";3;2;0;3;1;9
"280300 Itabaianinha";1;0;0;2;0;3
"280320 Itaporanga d'Ajuda";0;0;0;3;0;3
"280330 Japaratuba";0;0;0;4;0;4
"280350 Lagarto";1;0;0;1;0;2
"280360 Laranjeiras";0;0;0;1;0;1
"280380 Malhada dos Bois";1;0;0;2;0;3
"280390 Malhador";0;0;0;1;0;1
"280400 Maruim";0;1;0;1;0;2
"280420 Monte Alegre de Sergipe";0;0;0;2;0;2
"280440 Neópolis";0;0;0;1;0;1
"280450 Nossa Senhora da Glória";2;0;0;4;0;6
"280460 Nossa Senhora das Dores";0;0;0;1;0;1
"280480 Nossa Senhora do Socorro";3;0;0;16;0;19
"280530 Pirambu";0;0;0;1;0;1
"280540 Poço Redondo";0;0;0;5;0;5
"280550 Poço Verde";0;0;0;1;0;1
"280570 Propriá";0;0;0;5;0;5
"280580 Riachão do Dantas";0;0;0;1;0;1
"280630 Santa Luzia do Itanhy";0;0;0;1;0;1
"280660 Santo Amaro das Brotas";0;0;0;2;0;2
"280670 São Cristóvão";2;1;0;9;0;12
"280710 Simão Dias";0;0;0;2;0;2
"280760 Umbaúba";0;0;0;4;0;4
"Total";61;10;2;278;3;354
