 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Ano Diagnóstico
UF Residência: Sergipe
Período:2019
"Município (Res)";"2019";"Total"
"280010 Amparo de São Francisco";1;1
"280030 Aracaju";263;263
"280040 Arauá";1;1
"280050 Areia Branca";2;2
"280060 Barra dos Coqueiros";3;3
"280067 Boquim";1;1
"280070 Brejo Grande";1;1
"280100 Campo do Brito";1;1
"280120 Canindé de São Francisco";3;3
"280130 Capela";3;3
"280150 Carmópolis";2;2
"280160 Cedro de São João";2;2
"280170 Cristinápolis";1;1
"280210 Estância";4;4
"280290 Itabaiana";4;4
"280300 Itabaianinha";3;3
"280320 Itaporanga d'Ajuda";2;2
"280350 Lagarto";7;7
"280360 Laranjeiras";4;4
"280380 Malhada dos Bois";1;1
"280400 Maruim";1;1
"280420 Monte Alegre de Sergipe";2;2
"280430 Muribeca";1;1
"280450 Nossa Senhora da Glória";2;2
"280460 Nossa Senhora das Dores";1;1
"280480 Nossa Senhora do Socorro";28;28
"280490 Pacatuba";1;1
"280500 Pedra Mole";1;1
"280510 Pedrinhas";1;1
"280540 Poço Redondo";1;1
"280570 Propriá";3;3
"280580 Riachão do Dantas";1;1
"280600 Ribeirópolis";1;1
"280610 Rosário do Catete";1;1
"280670 São Cristóvão";11;11
"280680 São Domingos";1;1
"280710 Simão Dias";3;3
"280730 Telha";1;1
"280740 Tobias Barreto";2;2
"280760 Umbaúba";2;2
"Total";374;374
