 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
UF Residência: Sergipe
Período:2020
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Total"
"280020 Aquidabã";0;0;0;1;1
"280030 Aracaju";45;12;2;221;280
"280050 Areia Branca";0;0;0;1;1
"280060 Barra dos Coqueiros";0;0;0;1;1
"280100 Campo do Brito";0;0;0;1;1
"280110 Canhoba";0;0;0;1;1
"280120 Canindé de São Francisco";0;0;0;3;3
"280130 Capela";0;0;1;5;6
"280140 Carira";0;0;0;1;1
"280170 Cristinápolis";0;0;0;1;1
"280190 Cumbe";0;0;0;1;1
"280210 Estância";0;0;0;2;2
"280280 Indiaroba";0;0;0;2;2
"280290 Itabaiana";1;0;0;5;6
"280300 Itabaianinha";0;0;0;1;1
"280320 Itaporanga d'Ajuda";0;1;0;2;3
"280330 Japaratuba";1;0;0;0;1
"280350 Lagarto";2;0;0;5;7
"280360 Laranjeiras";0;0;0;4;4
"280380 Malhada dos Bois";0;0;0;1;1
"280390 Malhador";1;0;0;1;2
"280420 Monte Alegre de Sergipe";0;0;0;1;1
"280440 Neópolis";0;0;0;1;1
"280450 Nossa Senhora da Glória";1;0;0;1;2
"280460 Nossa Senhora das Dores";1;0;0;1;2
"280480 Nossa Senhora do Socorro";6;1;0;14;21
"280510 Pedrinhas";0;0;0;1;1
"280540 Poço Redondo";1;0;0;0;1
"280550 Poço Verde";0;0;0;4;4
"280570 Propriá";0;0;0;4;4
"280580 Riachão do Dantas";0;0;0;1;1
"280600 Ribeirópolis";1;0;0;0;1
"280670 São Cristóvão";1;0;0;7;8
"280680 São Domingos";0;0;0;1;1
"280710 Simão Dias";0;1;0;2;3
"280740 Tobias Barreto";0;0;0;1;1
"280760 Umbaúba";1;0;0;2;3
"Total";62;15;3;301;381
