 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
UF Residência: Sergipe
Período:2020
"Município (Res)";"Masculino";"Feminino";"Total"
"280020 Aquidabã";0;1;1
"280030 Aracaju";206;74;280
"280050 Areia Branca";0;1;1
"280060 Barra dos Coqueiros";1;0;1
"280100 Campo do Brito";0;1;1
"280110 Canhoba";1;0;1
"280120 Canindé de São Francisco";2;1;3
"280130 Capela";4;2;6
"280140 Carira";1;0;1
"280170 Cristinápolis";1;0;1
"280190 Cumbe";0;1;1
"280210 Estância";2;0;2
"280280 Indiaroba";2;0;2
"280290 Itabaiana";5;1;6
"280300 Itabaianinha";0;1;1
"280320 Itaporanga d'Ajuda";3;0;3
"280330 Japaratuba";0;1;1
"280350 Lagarto";6;1;7
"280360 Laranjeiras";1;3;4
"280380 Malhada dos Bois";0;1;1
"280390 Malhador";1;1;2
"280420 Monte Alegre de Sergipe";1;0;1
"280440 Neópolis";1;0;1
"280450 Nossa Senhora da Glória";2;0;2
"280460 Nossa Senhora das Dores";2;0;2
"280480 Nossa Senhora do Socorro";17;4;21
"280510 Pedrinhas";1;0;1
"280540 Poço Redondo";1;0;1
"280550 Poço Verde";3;1;4
"280570 Propriá";2;2;4
"280580 Riachão do Dantas";0;1;1
"280600 Ribeirópolis";1;0;1
"280670 São Cristóvão";6;2;8
"280680 São Domingos";1;0;1
"280710 Simão Dias";2;1;3
"280740 Tobias Barreto";1;0;1
"280760 Umbaúba";1;2;3
"Total";278;103;381
