 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Sergipe
Período:2021
"Município (Res)";"< 1 ano";"1-4";"5-9";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"Total"
"280010 Amparo de São Francisco";0;0;0;0;1;0;0;0;0;0;1
"280020 Aquidabã";0;0;0;0;0;0;0;0;1;0;1
"280030 Aracaju";1;1;0;8;93;79;59;35;12;1;289
"280060 Barra dos Coqueiros";0;0;0;0;1;0;2;1;0;0;4
"280067 Boquim";0;0;0;0;1;1;0;0;0;0;2
"280070 Brejo Grande";0;0;0;0;0;1;0;0;0;0;1
"280120 Canindé de São Francisco";0;0;0;0;1;0;0;0;0;0;1
"280130 Capela";0;0;1;0;2;2;4;0;0;0;9
"280140 Carira";0;0;0;0;0;0;0;0;1;0;1
"280150 Carmópolis";0;0;0;1;0;0;1;0;0;0;2
"280200 Divina Pastora";0;0;0;0;1;0;0;0;0;0;1
"280210 Estância";0;0;0;0;1;1;0;1;2;0;5
"280230 Frei Paulo";0;0;0;0;0;1;1;0;0;0;2
"280250 General Maynard";0;0;0;0;0;0;1;0;0;0;1
"280270 Ilha das Flores";0;0;0;0;0;0;0;1;0;0;1
"280280 Indiaroba";0;0;0;1;0;0;0;0;0;0;1
"280290 Itabaiana";0;0;0;0;3;2;4;0;0;0;9
"280300 Itabaianinha";0;0;0;0;1;0;0;0;0;0;1
"280310 Itabi";0;0;0;0;0;0;1;0;0;0;1
"280320 Itaporanga d'Ajuda";0;0;0;1;0;0;1;1;0;0;3
"280330 Japaratuba";0;0;0;0;1;0;0;0;0;0;1
"280340 Japoatã";0;0;0;0;0;0;1;0;0;0;1
"280350 Lagarto";0;0;0;1;3;1;1;0;0;0;6
"280360 Laranjeiras";0;0;0;0;1;0;0;1;0;0;2
"280400 Maruim";0;0;0;0;0;0;1;0;0;0;1
"280420 Monte Alegre de Sergipe";0;0;0;0;0;0;0;0;1;0;1
"280440 Neópolis";0;0;0;0;0;0;0;1;0;0;1
"280450 Nossa Senhora da Glória";0;0;0;0;3;2;0;0;0;0;5
"280460 Nossa Senhora das Dores";0;0;0;0;2;2;0;0;0;0;4
"280480 Nossa Senhora do Socorro";0;0;0;2;8;7;7;3;0;0;27
"280500 Pedra Mole";0;0;0;0;0;0;1;0;0;0;1
"280540 Poço Redondo";0;0;0;0;0;1;1;0;0;0;2
"280550 Poço Verde";0;0;0;0;1;0;0;1;0;0;2
"280570 Propriá";0;0;0;0;0;2;1;0;1;0;4
"280580 Riachão do Dantas";0;0;0;0;0;0;1;0;1;0;2
"280600 Ribeirópolis";0;0;0;0;1;1;1;0;0;0;3
"280620 Salgado";0;0;0;0;2;0;0;0;0;0;2
"280630 Santa Luzia do Itanhy";0;0;0;0;0;0;0;1;0;0;1
"280660 Santo Amaro das Brotas";0;0;0;0;1;0;0;0;0;0;1
"280670 São Cristóvão";0;0;0;0;3;5;2;1;2;0;13
"280680 São Domingos";0;0;0;0;0;1;0;0;0;0;1
"280710 Simão Dias";0;0;0;0;0;0;1;1;0;0;2
"280740 Tobias Barreto";0;0;0;0;1;2;0;0;0;0;3
"280760 Umbaúba";0;0;0;0;1;0;0;0;0;1;2
"Total";1;1;1;14;133;111;92;48;21;2;424
