 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Sergipe
Período:2022
"Município (Res)";"< 1 ano";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"280010 Amparo de São Francisco";0;0;0;0;1;0;0;0;0;0;0;1
"280030 Aracaju";1;0;1;7;91;91;69;32;19;1;0;312
"280040 Arauá";0;0;0;0;1;0;0;0;0;0;0;1
"280050 Areia Branca";0;0;0;0;0;0;0;1;2;0;0;3
"280060 Barra dos Coqueiros";0;0;0;1;1;1;0;1;0;0;0;4
"280067 Boquim";0;0;0;0;0;0;1;0;0;0;0;1
"280100 Campo do Brito";0;0;0;0;1;0;0;0;0;0;0;1
"280110 Canhoba";0;0;0;0;1;0;0;0;0;0;0;1
"280120 Canindé de São Francisco";0;0;0;0;1;0;2;0;0;0;0;3
"280130 Capela";0;0;0;0;0;3;2;0;0;0;0;5
"280150 Carmópolis";0;0;0;0;1;0;0;0;0;0;0;1
"280170 Cristinápolis";0;0;0;0;1;2;0;0;0;0;0;3
"280210 Estância";0;0;0;0;1;1;1;2;0;0;0;5
"280230 Frei Paulo";0;0;0;0;1;0;0;0;0;0;0;1
"280290 Itabaiana";0;1;0;0;1;1;0;1;1;0;0;5
"280300 Itabaianinha";0;0;0;0;1;0;0;0;0;0;1;2
"280320 Itaporanga d'Ajuda";0;0;0;0;2;0;1;0;0;0;0;3
"280330 Japaratuba";0;0;0;0;0;0;0;2;0;0;0;2
"280350 Lagarto";0;0;0;0;0;2;1;0;0;0;0;3
"280360 Laranjeiras";0;0;0;0;1;0;0;1;0;0;0;2
"280380 Malhada dos Bois";0;0;0;0;0;0;1;0;0;0;0;1
"280400 Maruim";0;0;0;0;0;1;0;0;0;0;0;1
"280450 Nossa Senhora da Glória";0;0;0;0;0;1;0;1;0;0;0;2
"280460 Nossa Senhora das Dores";0;0;0;0;1;0;0;0;0;0;0;1
"280480 Nossa Senhora do Socorro";0;0;0;1;3;7;8;5;3;1;0;28
"280500 Pedra Mole";0;0;0;0;0;1;0;0;0;0;0;1
"280530 Pirambu";0;0;0;0;0;0;1;0;0;0;0;1
"280540 Poço Redondo";0;0;0;0;1;0;0;0;0;0;0;1
"280550 Poço Verde";0;0;0;0;0;1;0;0;0;0;0;1
"280570 Propriá";0;0;0;0;1;1;2;0;0;0;0;4
"280600 Ribeirópolis";0;0;0;0;0;1;0;2;0;0;0;3
"280620 Salgado";0;0;0;0;0;0;1;0;0;0;0;1
"280660 Santo Amaro das Brotas";0;0;0;0;2;0;0;0;0;0;0;2
"280670 São Cristóvão";0;0;0;0;3;3;1;1;0;0;0;8
"280690 São Francisco";0;0;0;0;1;0;0;0;0;0;0;1
"280710 Simão Dias";0;0;0;0;0;0;1;0;0;0;0;1
"280740 Tobias Barreto";0;0;0;0;0;1;0;1;0;0;0;2
"280760 Umbaúba";0;0;0;0;0;1;4;2;0;0;0;7
"Total";1;1;1;9;118;119;96;52;25;2;1;425
