 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
UF Residência: Sergipe
Período:2023
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Ignorado";"Total"
"280020 Aquidabã";0;0;0;1;0;0;1
"280030 Aracaju";38;22;0;218;0;3;281
"280040 Arauá";0;0;0;2;0;0;2
"280050 Areia Branca";0;0;0;1;0;0;1
"280060 Barra dos Coqueiros";1;1;0;0;0;0;2
"280110 Canhoba";0;0;0;1;0;0;1
"280120 Canindé de São Francisco";0;0;0;4;0;0;4
"280130 Capela";0;0;0;5;0;0;5
"280150 Carmópolis";0;0;0;1;0;0;1
"280170 Cristinápolis";0;0;0;1;0;0;1
"280200 Divina Pastora";1;0;0;0;0;0;1
"280210 Estância";2;1;0;3;0;0;6
"280220 Feira Nova";0;0;0;2;0;0;2
"280240 Gararu";0;0;0;1;0;0;1
"280250 General Maynard";0;0;0;1;0;0;1
"280280 Indiaroba";0;1;0;0;0;0;1
"280290 Itabaiana";1;0;0;5;0;0;6
"280300 Itabaianinha";0;0;0;1;0;0;1
"280320 Itaporanga d'Ajuda";0;2;0;9;0;0;11
"280340 Japoatã";0;0;0;1;0;0;1
"280350 Lagarto";1;0;0;4;0;0;5
"280360 Laranjeiras";0;0;0;2;0;0;2
"280370 Macambira";0;0;0;1;0;0;1
"280390 Malhador";0;0;0;2;0;0;2
"280445 Nossa Senhora Aparecida";0;0;0;1;0;0;1
"280450 Nossa Senhora da Glória";1;0;0;2;0;0;3
"280460 Nossa Senhora das Dores";1;0;0;2;0;0;3
"280470 Nossa Senhora de Lourdes";0;0;0;1;0;0;1
"280480 Nossa Senhora do Socorro";4;2;1;22;1;0;30
"280520 Pinhão";0;0;0;2;0;0;2
"280540 Poço Redondo";1;0;0;2;0;0;3
"280550 Poço Verde";0;0;0;1;0;0;1
"280560 Porto da Folha";0;0;0;2;0;0;2
"280570 Propriá";1;0;0;6;0;0;7
"280620 Salgado";0;0;0;2;0;0;2
"280630 Santa Luzia do Itanhy";0;1;0;0;0;0;1
"280660 Santo Amaro das Brotas";0;0;0;1;0;0;1
"280670 São Cristóvão";2;0;0;6;0;0;8
"280710 Simão Dias";1;0;0;0;0;0;1
"280730 Telha";0;1;0;0;0;0;1
"280740 Tobias Barreto";1;0;0;1;0;0;2
"280760 Umbaúba";0;2;0;2;0;0;4
"Total";56;33;1;319;1;3;413
