 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Ano Diagnóstico
Ano Diagnóstico: 2025
UF Residência: Sergipe
Região Res.: Região Nordeste
Período:2025
"Município (Res)";"2025";"Total"
"280030 Aracaju";193;193
"280050 Areia Branca";2;2
"280060 Barra dos Coqueiros";1;1
"280120 Canindé de São Francisco";1;1
"280130 Capela";1;1
"280140 Carira";1;1
"280210 Estância";1;1
"280240 Gararu";2;2
"280290 Itabaiana";2;2
"280300 Itabaianinha";5;5
"280320 Itaporanga d'Ajuda";1;1
"280350 Lagarto";7;7
"280400 Maruim";1;1
"280420 Monte Alegre de Sergipe";1;1
"280450 Nossa Senhora da Glória";3;3
"280460 Nossa Senhora das Dores";1;1
"280480 Nossa Senhora do Socorro";21;21
"280600 Ribeirópolis";1;1
"280630 Santa Luzia do Itanhy";1;1
"280670 São Cristóvão";2;2
"280720 Siriri";1;1
"280740 Tobias Barreto";1;1
"280760 Umbaúba";1;1
"Total";251;251
