 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
UF Residência: Acre
Período:2018
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Ignorado";"Total"
"120001 Acrelândia";0;0;0;1;0;1
"120013 Bujari";1;0;0;0;0;1
"120020 Cruzeiro do Sul";0;0;0;2;0;2
"120033 Mâncio Lima";0;0;0;1;0;1
"120034 Manoel Urbano";1;0;0;0;0;1
"120038 Plácido de Castro";1;0;0;2;0;3
"120040 Rio Branco";11;1;1;75;3;91
"120050 Sena Madureira";1;0;0;4;0;5
"120060 Tarauacá";0;0;0;1;0;1
"120070 Xapuri";0;0;0;1;0;1
"Total";15;1;1;87;3;107
