 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Amazonas
Período:2016
"Município (Res)";"< 1 ano";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"130014 Apuí";0;0;0;0;0;1;1;0;0;0;0;0;2
"130030 Autazes";0;0;0;0;0;0;1;2;1;0;0;0;4
"130040 Barcelos";0;0;0;0;0;1;0;0;0;0;0;0;1
"130050 Barreirinha";0;0;0;0;1;3;1;0;0;0;0;0;5
"130068 Boa Vista do Ramos";0;0;0;0;0;1;0;1;0;0;0;0;2
"130080 Borba";0;0;0;0;0;1;0;0;0;0;0;0;1
"130083 Caapiranga";0;0;0;0;0;1;0;0;0;0;0;0;1
"130110 Careiro";0;0;0;0;0;1;2;0;0;0;0;0;3
"130115 Careiro da Várzea";0;0;0;0;0;0;1;0;0;0;0;0;1
"130120 Coari";0;0;0;0;0;4;2;0;2;0;0;0;8
"130130 Codajás";0;0;0;0;0;0;1;0;1;0;0;0;2
"130170 Humaitá";0;0;0;0;0;0;1;0;2;0;0;0;3
"130180 Ipixuna";0;0;0;0;0;0;0;1;0;0;0;0;1
"130185 Iranduba";0;0;0;0;0;3;3;2;0;0;0;0;8
"130190 Itacoatiara";0;0;0;0;0;2;2;2;1;0;0;0;7
"130240 Lábrea";0;0;0;0;0;1;0;0;1;0;0;0;2
"130250 Manacapuru";0;0;0;0;0;1;0;0;0;0;0;0;1
"130260 Manaus";8;6;2;1;49;446;335;161;96;27;7;1;1139
"130280 Maraã";0;0;0;0;0;1;0;0;0;0;0;0;1
"130290 Maués";0;0;1;0;0;1;0;1;0;0;0;0;3
"130310 Nova Olinda do Norte";0;1;0;0;0;0;3;1;0;0;0;0;5
"130320 Novo Airão";0;0;0;0;0;0;0;0;1;0;0;0;1
"130330 Novo Aripuanã";0;0;0;0;0;1;0;0;0;0;0;0;1
"130340 Parintins";0;0;0;0;1;4;2;4;1;1;0;0;13
"130353 Presidente Figueiredo";0;0;0;0;0;1;1;0;1;1;0;0;4
"130356 Rio Preto da Eva";0;0;0;0;1;0;0;0;0;0;0;0;1
"130380 São Gabriel da Cachoeira";0;0;0;0;0;1;0;0;0;0;0;1;2
"130390 São Paulo de Olivença";0;0;0;0;0;0;0;1;0;0;0;0;1
"130406 Tabatinga";0;0;0;0;0;1;1;0;0;0;0;0;2
"130410 Tapauá";0;0;0;0;0;0;0;1;0;0;0;0;1
"130420 Tefé";0;0;0;0;0;2;1;1;0;0;1;0;5
"130000 Município ignorado - AM";1;0;0;0;0;0;0;0;0;0;0;0;1
"Total";9;7;3;1;52;478;358;178;107;29;8;2;1232
